ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
ID,Name,Desc,BuyTips,EffectDesc1,EffectDesc2,EffectDesc3,EffectDesc4,EffectDesc5,EffectDesc6
1,باندا,صبي الباندا الذي يحب الخيرزان.,يمكنك الحصول علي كروت الملابس من خلال فاكهة الحديقة.,اثار الاقدام: ترك اثار اقدام الباندا بالاماكن التي تم المرور من خلالها.,صورة الرأس :فتح صورة الرأس للباندا .,@Null@,,,
2,القرد الملك الصغير,"كمية محدودة للبيع في مهرجان عيد الربيع لعام القرد, يصطحبك ملك القرود لقصاء عيد الربيع.",يمكنك الحصول علي كروت الملابس من خلال فاكهة الحديقة.,اثار الاقدام: ترك اثار السحب بالاماكن التي تم المرور من خلالها.,صورة الرأس :فتح صورة الرأس لملك القرود .,@Null@,,,
3,الارنب الجميل,"انثي الارنب اللطيفة, تترك اثار الفجل حينما تذهب.",يمكنك الحصول علي كروت الملابس من خلال فاكهة الحديقة.,اثار الاقدام: ترك اثار اقدام الفجل بالاماكن التي تم المرور من خلالها.,صورة الرأس :فتح صورة الرأس للارنب اللطيف .,@Null@,,,
4,ميسرا,احترس من ميسرا في العالم البدائي.,يمكنك الحصول علي كروت الملابس من خلال فاكهة الحديقة.,اثار الاقدام: ترك اثار مخالب التنين بالاماكن التي تم المرور من خلالها.,صورة الرأس :فتح صورة الرأس لميسرا .,@Null@,,,
5,النادلة الجميلة,دينج! مرحباً بك في مقهي مياو.,يمكنك فتح المعدات من خلال فاكهة الحديقة,اثار الاقدام: ترك اثار اقدام القطط بالاماكن التي تم المرور من خلالها.,صورة الرأس :فتح صورة الرأس للنادلة اللطيفة .,@Null@,,,
6,جورج,طفل محب للرياضة والموسيقي .,يمكنك فتح المعدات من خلال فاكهة الحديقة,اثار الاقدام: ترك القلوب الزرقاء بالاماكن التي تم المرور من خلالها.,صورة الرأس : فتح صورة الرأس لجورج .,@Null@,,,
7,انني,طفلة محبة للرقص والمقبلات .,يمكنك فتح المعدات من خلال فاكهة الحديقة,اثار الاقدام: ترك القلوب الحمراء بالاماكن التي تم المرور من خلالها.,صورة الرأس :فتح صورة الرأس لانني .,@Null@,,,
8,موهيست شياو في,"عضو من اعضاء مدرسة المواهب القديمة ,بارع في الصناعة.",@Null@,اثار الاقدام: ترك اجنحة الرياح بالاماكن التي تم المرور من خلالها.,صورة الرأس : فتح صورة الرأس للمعلم.,حركات طيران خاصة في الوضع المبتكر,إنشاء تأثيرات طيران وضع,,
9,دراكولا,"قبلت بداية احفاد العائلة المالكة, انيق وجميل الي الابد.",يمكنك فتح المعدات من خلال فاكهة الحديقة,تأثير خاص : اطلاق الدماء والخفافيش السوداء.,صورة الرأس : فتح صورة الرأس لدراكولا.,@Null@,,,
