接口ID,越南语,越南语,越南语,越南语,越南语,越南语,越南语
ID,TypeName,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,Game,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,Kết Thúc game,local result = Game:doGameEnd()
10002,Game,setScriptVar,"Game:setScriptVar(index, val)","index:number index from 1 , val:number customized value",ErrorCode.OK,Cài đặt đặc tính của script để tùy chỉnh,"local result = Game:setScriptVar(index, val)"
10003,Game,getScriptVar,Game:getScriptVar(index),index:number index from 1 ,"ErrorCode.OK, val:number User Value",Nhận đặc tính của script để tùy chỉnh,local result = Game:getScriptVar(index)
10004,Game,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,Tải lên đặc tính của script,local result = Game:sendScriptVars2Client()
10005,Game,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",Hiệu ứng toàn map mới,local result = Game:addRenderGlobalEffect(path)
10006,Game,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,Xóa hiệu ứng toàn map,local result = Game:removeRenderGlobalEffect(effectid)
10007,Game,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,Cài đặt vị trí của hiệu ứng toàn map,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,Game ,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,Cài đặt hiệu ứng phóng to toàn map,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,Game ,msgBox,Game:msgBox(msg),,,Hộp thư,local result = Game:msgBox(msg)
20001,Thế giới,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",Thời tiết vào ban ngày,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --If it is night, then give the torch to players
        local itemId, itemCnt = 817, 2 --Torch id and numbers
        Player:gainItems(playerId, itemId, itemCnt, 1)
end"
20002,Thế giới,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",Nếu là game tùy chỉnh,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('Customize mode') end"
20003,Thế giới,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",Đây có phải là một game sáng tạo,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('Creation mode') end"
20004,Thế giới,isGodMode,World:isGodMode(),none,"ErrorCode.OK, result:boolean",Chế độ nhiều người chơi hoặc chế độ tùy chỉnh,"local result = World:isGodMode()
if result==ErrorCode.OK then print('Multiplayer mode') end"
20005,Thế giới,isExtremityMode,World:isExtremityMode(),none,"ErrorCode.OK, result:boolean",Cực hạn,"local result = World:isExtremityMode()
if result==ErrorCode.OK then print('Hardcore mode') end"
20006,Thế giới,isFreeMode,World:isFreeMode(),none,"ErrorCode.OK, result:boolean",Chế độ mạo hiểm - Chế độ tự do,"local result = World:isFreeMode()
if result==ErrorCode.OK then print('Survival mode-Free mode') end"
20007,Thế giới,isSurviveMode,World:isSurviveMode(),none,"ErrorCode.OK, result:boolean",Chế độ chơi đơn - Chế độ mạo hiểm - Chế độ tự do,"local result = World:isSurviveMode()
if result==ErrorCode.OK then print('Single Survival mode') end"
20008,Thế giới,isCreateRunMode,World:isCreateRunMode(),none,"ErrorCode.OK, result:boolean",Chuyển từ chế độ sáng tạo sang sinh tồn,"local result = World:isCreateRunMode()
if result==ErrorCode.OK then print('Survival mode, turned from creation mode') end"
20009,Thế giới,isGameMakerMode,World:isGameMakerMode(),none,"ErrorCode.OK, result:boolean",Chế độ tự chỉnh sửa,"local result = World:isGameMakerMode()
if result==ErrorCode.OK then print('Customized edit mode') end"
20010,Thế giới,isGameMakerRunMode,World:isGameMakerRunMode(),none,"ErrorCode.OK, result:boolean",Chế độ vận hành tùy chỉnh,"local result = World:isGameMakerRunMode()
if result==ErrorCode.OK then print('Customized operation mode') end"
20011,Thế giới,getHours,World:getHours(),none,"ErrorCode.OK, result:number",Thời gian hiện tại(h),"local result, dayTime = World:getHours()
if result==ErrorCode.OK then print('Current time:', dayTime) end"
20012,Thế giới,getCameraEditState,World:getCameraEditState(),none,"ErrorCode.OK, state:number0Default，1Edit，2Test",Chỉnh sửa góc nhìn,"local result, state = World:getCameraEditState()
if result==ErrorCode.OK then print('Current view editing state:', state) end"
20013,Thế giới,setCameraEditState,World:setCameraEditState(state),state:CameraEditState,ErrorCode.OK,Cài đặt chỉnh sửa góc nhìn,"--Get Camera(userdata)，Back to nil
local result, config = World:getCustomCameraConfig()
if result==ErrorCode.OK and config~=nil then --Customized view
        config:setOption(CAMERA_OPTION_INDEX_CONFIG_SET, CCG_FLATVIEW)
end"
20014,Thế giới,getCustomCameraConfig,World:getCustomCameraConfig(),none,"ErrorCode.OK, config:CameraEditState",Nhận cấu hình máy ảnh tùy chỉnh,local result = World:getCustomCameraConfig()
20015,Thế giới,getRangeXZ,World:getRangeXZ(),none,"ErrorCode.OK, startX|startZ|endX|endZ:number",Nhận được phạm vi của khối (chunk),"local result, startX,startZ,endX,endZ = World:getRangeXZ()
if result==ErrorCode.OK then print('StartXZ=(',startX,', ',startZ,'), EndXZ=(',endX,', ',endZ,')')  end"
20016,Thế giới,getActorsByBox,"World:getActorsByBox(objtype, x1, y1, z1, x2, y2, z2)","type:number designate type, x1|y1|z1:number starting point, x2|y2|z2:number ending point","ErrorCode.OK, num:number, objids:tableobjid array",Có được actor trong phạm vi chỉ định ,"local actorType = 0 --OBJ_TYPE_MONSTER
local x1, y1, z1 = -5, 1, -5
local x2, y2, z2 = 15, 9, 15
local ret, num, array = World:getActorsByBox(actorType, x1,y1,z1, x2,y2,z2)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20017,Thế giới,getPlayerTotal,World:getPlayerTotal(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number Number",Có được tất cả người chơi. Có thể kiểm soát tình hình sinh tồn của họ,local result = World:getPlayerTotal(alive)
20018,Thế giới,getAllPlayers,World:getAllPlayers(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number number, array:table player uin array",Có được tất cả người chơi. Có thể kiểm soát tình hình sinh tồn của họ,"local aliveType = -1 --Get all players data
local ret, num, array = World:getAllPlayers(aliveType)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20019,Thế giới,randomOnePlayer,World:randomOnePlayer(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, uin:number",Người chơi ngẫu nhiên,"local aliveType = 1 --Any survivors Id
local ret, playerId = World:randomOnePlayer(aliveType)
if ret == ErrorCode.OK then print('Player ===>> ', playerId) end"
20020,Thế giới,despawnActor,World:despawnActor(objid),objid:number,ErrorCode.OK,Di chuyển actor,"local ret, num, array = World:getActorsByBox(aType, x1,y1,z1, x2,y2,z2)
if array and #array>0 then --Remove Actor
        local result = World:despawnActor(array[#array])
        if result == ErrorCode.OK then print('Despawn the last actor') end
end"
20021,Thế giới,spawnCreature,"World:spawnCreature(x, y, z, actorid, num)","x|y|z:number, mobid:number, num:number","ErrorCdoe.OK, objids:tableobjid array","Tạo sinh vật ( bao gồm quái thú, NPC, động vật..v..v)","local x, y, z = 6, 7, 8
local actorId, actorCnt = 3812, 2 --Little cow
local ret, objids = World:spawnCreature(x, y, z, actorId, actorCnt)
if objids and #objids>0 then
        for idx = 1, #objIds do --Set the Oxygen dependence
                Creature:setOxygenNeed(objids[idx], true)
        end 
end"
20022,Thế giới,despawnCreature,World:despawnCreature(objid),objid:number,ErrorCode.OK,Di chuyển sinh vật,"local result = World:despawnCreature(objids[1])
if result == ErrorCode.OK then print('Despawn the creature') end"
20023,Thế giới,spawnItem,"World:spawnItem(x, y, z, itemid, num)","x|y|z:number, itemid:number, num:number","ErrorCode.OK, objid:number",Tạo công cụ ở vị trí chỉ định,"local xPos, yPos, zPos = 5, 6, 7
local itemId, itemCnt = 15003, 30 --Item's id and number
local ret, objIds = World:spawnItem(xPos, yPos, zPos, itemId, itemCnt)
if ret == ErrorCode.OK then print(""Item[1]====>>>"", objIds[1]) end"
20024,Thế giới,despawnItemByBox,"World:despawnItemByBox(x1, y1, z1, x2, y2, z2)","x1|y1|z1:number starting point, x2|y2|z2:number ending point",ErrorCode.OK,Di chuyển công cụ (Thông qua khu vực),"local x1, y1, z1 = -5, 5, -5
local x2, y2, z2 = 15, 9, 15
local result = World:despawnItemByBox(x1,y1,z1, x2,y2,z2)
if result == ErrorCode.OK then print('Successfully remove Item in designate region') end"
20025,Thế giới,despawnItemByObjid,World:despawnItemByObjid(objid),objid:number,ErrorCode.OK,Di chuyển công cụ ( Thông qua ID),"local result = World:despawnItemByObjid(objIds[1])
if result == ErrorCode.OK then print('Successfully remove designate item') end"
20026,Thế giới,spawnProjectile,"World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)","shooter:number, itemid:number, x|y|z:number, dirx|diry|dirz:number, speed:number",ErrorCode.OK,Tạo vật ném,"local result = World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)"
30001,Khối vuông,isSolidBlock,"Block:isSolidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Khối vuông có phải là thực thể,"local result = Block:isSolidBlock(x, y, z)"
30002,Khối vuông,isLiquidBlock,"Block:isLiquidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Khối vuông có phải là chất lỏng,"local result = Block:isLiquidBlock(x, y, z)"
30003,Khối vuông,isAirBlock,"Block:isAirBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Khối vuông có phải là không khí,"local result = Block:isAirBlock(x, y, z)"
30004,Khối vuông,getBlockID,"Block:getBlockID(x, y, z)",x|y|z:number,"ErrorCode.OK, id:number",Nhận khối vuông với ID tương ứng,"local result = Block:getBlockID(x, y, z)"
30005,Khối vuông,setBlockAll,"Block:setBlockAll(x, y, z, blockid, data)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Cài đặt blockalldata Cập nhật+ Thông báo,"local result = Block:setBlockAll(x, y, z, blockid, data)"
30006,Khối vuông,destroyBlock,"Block:destroyBlock(x, y, z, dropitem)","x|y|z:number, dropitem:boolean",ErrorCode.OK,Phá khối ,"local result = Block:destroyBlock(x, y, z, dropitem)"
30007,Khối vuông,placeBlock,"Block:placeBlock(blockid, x, y, z, face)","blockid:number, x|y|z:number, face:number","ErrorCode.OK, ret:boolean whether it is placed right",Cài đặt khối,"local result = Block:placeBlock(blockid, x, y, z, face)"
30008,Khối vuông,setBlockAllForUpdate,"Block:setBlockAllForUpdate(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Cài đặt blockalldata Thông báo các khối xung quanh,"local result = Block:setBlockAllForUpdate(x, y, z, blockid)"
30009,Khối vuông,setBlockAllForNotify,"Block:setBlockAllForNotify(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Cài đặt blockalldata Cập nhật vị trí khối vuông hiện tại,"local result = Block:setBlockAllForNotify(x, y, z, blockid)"
