序号,法语
No,Name
1,Entrer UID
2,Mot de passe
3,pluginres\btn_text_fra.png
4,Rappelez-vous UID
5,Accord
6,pluginres\btn_policy_fra.png
7,Choisissez question
8,Entrez la réponse
9,pluginres\btn_num_fra.png
10,Personne le plus impressionnant
11,Ton repas préféré
12,Votre animal préféré
13,endroit préféré à visiter
14,Votre premier cadeau
15,Votre numéro chanceux
16,Nouveau compte
17,Cons. incorrect
18,de liaison
19,pluginres\btn_orange_e1_fra.png
20,pluginres\btn_quickplay_fra_h.png
21,pluginres\btn_quickplay_fra_n.png
22,pluginres\option1_1_fra.png
23,pluginres\option1_2_fra.png
24,pluginres\option1_3_fra.png
25,pluginres\en01.png
26,pluginres\en02.png
27,pluginres\en03.png
28,UID est incorrect
29,s'il vous plait entrez votre mot de passe
30,S'il vous plaît vérifier la politique de l'utilisateur
31,S'il vous plaît entrer votre réponse
32,Miniworld est mise à jour:%d%%
33,pluginres\btn_orange_e1_fra_h.png
34,pluginres\btn_orange_e1_fra_s.png
35,14
36,Notification
37,"Votre :%s compte a mis le mot de passe, pour maintenir la sécurité de votre compte, s'il vous plaît vous connecter avec votre mot de passe."
38,S'identifier
39,Identification
40,Téléphone mobile
41,E-mail
42,Code de vérification
43,Vérification mobile
44,vérification de l'E-mail
45,Envoyer
46,S'il vous plaît vérifier la connexion pour vous assurer que votre compte est en sécurité.
47,Échec de la vérification. S'il vous plaît vérifier votre e-mail et le code de vérification.
48,Échec de la vérification. S'il vous plaît vérifier votre numéro de téléphone mobile et le code de vérification.
49,Envoyer（%d）
50,Code de vérification envoyé
51,Désolé ， vous ne pouvez pas vous connecter au compte sur cette plateforme. Errors Erreurs multiplateformes）
