ID,名字,描述
ID,Name,Desc
1001,sampel kelajuan gerakan,@Null@
1002,sampel kelajuan gerakan,@Null@
1003,sampel kelajuan gerakan,@Null@
2001,sampel kelajuan penggalian,@Null@
3001,Pemulihan nyawa (LV1),Pulih 5 poin nyawa setiap 4 saat
3002,Pemulihan nyawa (LV2),Pulih 5 poin nyawa setiap 2 saat
3003,Pemulihan nyawa (LV3),Pulih 5 poin nyawa setiap saat
4001,Lari Pecut (Lv. 1),Meningkatkan kelajuan lari sebanyak 25%
4002,Lari Pecut (Lv. 2),Meningkatkan kelajuan lari sebanyak 50%
4003,Lari Pecut (Lv. 3),Meningkatkan kelajuan lari sebanyak 75%
4004,Lari Pecut (Lv. 4),Meningkatkan kelajuan lari sebanyak 75%
5001,Berenang Laju (LV1),Meningkatkan kelajuan berenang sebanyak 25%
5002,Berenang Laju (LV2),Meningkatkan kelajuan berenang sebanyak 50%
5003,Berenang Laju (LV3),Meningkatkan kelajuan berenang sebanyak 75%
6001,Lompat Tinggi (LV1),Meningkat ketinggian melompat.
6002,Lompat Tinggi (LV2),Meningkat ketinggian melompat.
6003,Lompat Tinggi (LV3),Meningkat ketinggian melompat. Berhati-hati jangan jatuh dan patah kaki.
6004,Lompat Tinggi (LV4),Meningkat ketinggian melompat. Berhati-hati jangan jatuh dan patah kaki.
6005,Parkour yang dipertingkatkan,"Kelajuan asas dinaikkan 90%, lompatan dinaikkan sebanyak 25."
7001,Menggali Gila (LV1),Meningkatkan kelajuan menggali sebanyak 25%
7002,Menggali Gila (LV2),Meningkatkan kelajuan menggali sebanyak 50%
7003,Menggali Gila (LV3),Meningkatkan kelajuan menggali sebanyak 75%
8001,Perlahan (LV1),Mengurangkan kelajuan lari sebanyak 25%
8002,Perlahan (LV2),Mengurangkan kelajuan lari sebanyak 50%
8003,Perlahan (LV3),Mengurangkan kelajuan lari sebanyak 75%
9001,Kepenatan menggali (LV1),Mengurangkan kelajuan menggali sebanyak 25%
9002,Kepenatan menggali (LV2),Mengurangkan kelajuan menggali sebanyak 50%
9003,Kepenatan menggali (LV3),Mengurangkan kelajuan menggali sebanyak 75%
10001,Penyerapan Kecederaan (LV1),2 poin utk penyerapan cedera
10002,Penyerapan Kecederaan (LV2),4 poin utk penyerapan cedera
10003,Penyerapan Kecederaan (LV3),6 poin utk penyerapan cedera
11001,Serangan Kritikal (LV1),Meningkatkan kecederaan serangan sebanyak 25%
11002,Serangan Kritikal (LV2),Meningkatkan kecederaan serangan sebanyak 50%
11003,Serangan Kritikal (LV3),Meningkatkan kecederaan serangan sebanyak 75%
12001,Tolakan belakang yang kuat(LV1),Jarak mundur lawan tambah 2m
12002,Tolakan belakang yang kuat(LV2),Jarak mundur lawan tambah 4m
12003,Tolakan belakang yang kuat(LV3),Jarak mundur lawan tambah 6m
13001,Ketahanan tolakan belakang(LV1),Kurangkan 1m jarak mundur setelah diserang
13002,Ketahanan tolakan belakang(LV2),Kurangkan 2m jarak mundur setelah diserang
13003,Ketahanan tolakan belakang(LV3),Kurangkan 3m jarak mundur setelah diserang
14001,Ketahanan tolakan belakang(LV1),Kemungkinan mendapat kejatuhan benda unik meningkat 1%
14002,Penggalian bertuah (LV2),Kemungkinan mendapat kejatuhan benda unik meningkat 2%
14003,Penggalian bertuah (LV3),Kemungkinan mendapat kejatuhan benda unik meningkat 3%
15001,Berburu Bertuah (LV1),Kemungkinan mendapat kejatuhan benda unik meningkat 1%
15002,Berburu Bertuah (LV2),Kemungkinan mendapat kejatuhan benda unik meningkat 2%
15003,Berburu Bertuah (LV3),Kemungkinan mendapat kejatuhan benda unik meningkat 3%
16001,Penglihatan malam (LV1),Penglihatan waktu malam meningkat sebanyak 20
16002,Penglihatan malam (LV2),Penglihatan waktu malam meningkat sebanyak 40
16003,Penglihatan malam (LV3),Penglihatan waktu malam meningkat sebanyak 50
16004,Penglihatan malam (LV4),Penglihatan waktu malam meningkat sebanyak 60
16005,Penglihatan malam (LV5),Penglihatan waktu malam meningkat sebanyak 50
17001,Pukulan Kuat (LV1),Kecederaan serangan dekat meningkat sebanyak 25%
17002,Pukulan Kuat (LV2),Kecederaan serangan dekat meningkat sebanyak 50%
17003,Pukulan Kuat (LV3),Kecederaan serangan dekat meningkat sebanyak 75%
18001,Tembakan Kuat (LV1),Kecederaan serangan jauh meningkat sebanyak 25%
18002,Tembakan Kuat (LV2),Kecederaan serangan jauh meningkat sebanyak 50%
18003,Tembakan Kuat (LV3),Kecederaan serangan jauh meningkat sebanyak 75%
19001,Ledakan Kuat (LV1),Kecederaan ledakan meningkat sebanyak 25%
19002,Ledakan Kuat (LV2),Kecederaan ledakan meningkat sebanyak 50%
19003,Ledakan Kuat (LV3),Kecederaan ledakan meningkat sebanyak 75%
20001,Serangan api (LV1),Kecederaan terbakar meningkat sebanyak 100%
21001,Serangan beracun (LV1),Kecederaan keracunan meningkat sebanyak 100%
22001,Serangan gelap(LV1),Kecederaan huru-hara meningkat sebanyak 100%
23001,Pemburu Elit Lv1,Kerosakan terhadap Elit meningkat sebanyak 25%
23002,Pemburu Elit Lv2,Kerosakan terhadap Elit meningkat sebanyak 50%
23003,Pemburu Elit Lv3,Kerosakan terhadap Elit meningkat sebanyak 75%
24001,Pemburu Haiwan Lv1,Kerosakan terhadap haiwan meningkat sebanyak 25%
24002,Pemburu Haiwan Lv2,Kerosakan terhadap haiwan meningkat sebanyak 50%
24003,Pemburu Haiwan Lv3,Kerosakan terhadap haiwan meningkat sebanyak 75%
25001,Pemburu manusia(LV1),Kecederaan terhadap manusia meningkat sebanyak 25%
25002,Pemburu manusia(LV2),Kecederaan terhadap manusia meningkat sebanyak 50%
25003,Pemburu manusia(LV3),Kecederaan terhadap manusia meningkat sebanyak 75%
26001,Pertahanan serangan dekat (LV1),Kecederaan disebabkan oleh serangan dekat menurun 25%
26002,Pertahanan serangan dekat (LV2),Kecederaan disebabkan oleh serangan dekat menurun 50%
26003,Pertahanan serangan dekat (LV3),Kecederaan disebabkan oleh serangan dekat menurun 75%
