ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
ID,Name,Desc,BuyTips,EffectDesc1,EffectDesc2,EffectDesc3,EffectDesc4,EffectDesc5,EffectDesc6
1,Panda,Panda pemalu dan manja yang suka makan bambu,Dapatkan kad pakaian dari Kebun.,Tapak kaki: Tapak kaki panda,Avatar: Buka kunci avatar Panda,@Null@,,,
2,Raja Anak Monyet,Jualan terhad pada Pesta spring tahun monyet. Raja monyet kecil ini akan menemani anda menyambut Pesta Spring.,Dapatkan kad pakaian dari Kebun.,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk awan,Avatar: Buka kunci avatar Little Monkey King,@Null@,,,
3,Si Arnab Cantik,"Arnab comel.
Meninggalkan tapak kakik setiap kali berjalan.",Dapatkan kad pakaian dari Kebun.,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk lobak,Avatar: Buka kunci avatar Bunny Beauty,@Null@,,,
4,Misra,Berhati dengan Misra pada zaman Purba dunia!,Dapatkan kad pakaian dari Kebun.,Tapak kaki: Meninggalkan kesan tapak kaki dinosaur,Avatar: Buka kunci avatar Misra,@Null@,,,
5,Liuli Comel,Meow! Selamat datang ke Kafe Meow!,Dapatkan kad pakaian dari Kebun.,Tapak kaki: Meninggalkan kesan tapak kaki kucing,Avatar: Buka kunci avatar Waitress Sweety,@Null@,,,
6,George,Anak muda yang suka musik dan olahraga,Dapatkan kad pakaian dari Kebun.,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk hati berwarna biru,Avatar: Buka kunci avatar George,@Null@,,,
7,Anny,Gadis yang energetik yang suka menari dan makan manisan.,Dapatkan kad pakaian dari Kebun.,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk hati berwarna merah,Avatar: Buka kunci avatar Anny,@Null@,,,
8,Mohist Xiaofei,"Seorang dari Sekolah lama Mohist. 
Pakar jentara.",@Null@,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk sayap angin,Avatar: Buka kunci avatar Mohist Xiaofei,Special flying actions in the Creation mode,Create mode flight effects,,
9,Dracula VI,"Terima gigtan pertama, elegan dan terpersona.",Dapatkan prop untuk unlock di Kebun,Kesan Istimewa: Mengeluarkan kabus merah dan kelawar hitam,Avatar: Buka kunci avatar Dracula VI,@Null@,,,
