购买ID,道具ID,意大利语
ProductID,ID,Desc
1,24601,Uso Dopo l'acquisto: può utilizzare la maggior parte skin personalizzate fai da te per 30 giorni
4,12856,Uso Dopo l'acquisto: Rinomina una volta
8,12965,Contiene 3 pergamene che ti possono portare a casa all'istante. Molto comodo.
13,10025,"Contiene 3 biglietti che possono essere utilizzati per istantaneamente teletrasporto tornare a casa posizione del pianeta in corso, che è molto comodo"
10,1055,"Caso codice piccolo, digitare il codice corretto che l'host è impostato per aprire."
11,1056,"Big Code Case, digitare il codice corretto che l'host ha impostato per aprire."
5,845,Dedicato al padrone di casa. Molto duro. Scaccia orsi.
6,846,Dedicato al padrone di casa. Grande e solido. Scaccia orsi.
2,12751,"Dopo l'uso, spara un fuoco d'artificio con il modello di gashapon nel cielo (acquisto e ottieni #c0aaa1a gashapon ticket * 1 #n)"
3,12752,"Dopo l'uso, spara un fuoco d'artificio con il modello di frutta nel cielo (acquisto e ottieni # c0aaaa1a biglietto evento * 1 #n)"
7,12831,Spara nel cielo fuochi d'artificio e fai piovere punti esperienza!
9,12750,Può sparare nel cielo fuochi d'artificio a forma di sorriso. (Ottieni 300 #c5aea0aMini Beans#n per ogni acquisto)
12,10023,"Dopo l'uso, è possibile ottenere la stagione punti Passo"
