ID,名称,描述,说明
ID,Name,Desc,Notes
100001,Текущий глобальный режим погоды,Текущий глобальный режим погоды,
100002,Расстояние от местоположения к местоположению,Расстояние между%1 и%2,
100006,Позиция находится в области суждения,%1%2 в%3,
100007,Тип блока в указанном месте,Тип блока для%1,
100008,Позиция к ориентации позиции,Направление от%1 до%2,
100009,Абсолютное триаксиальное направление координат,"Ориентация X%1, Y%2, Z%3",
10001,Преобразование местоположения в область,"Площадь размера (%2,%3,%4) с центральной точкой%1",
100010,Абсолютное сферическое координатное направление,"Азимут%1, направление возвышения%2",
100011,расположение,Позиция%1,
100012,площадь,Площадь%1,
100013,таймер,Таймер%1,
100014,Расположение группы,Группа местоположений%1,
100015,Региональная группа,Региональная группа%1,
100016,Группа таймеров,Группа таймеров%1,
100017,Случайная погода,Случайная погода,
100018,Погода для групп местности,Погода для%1,
10002,Смещение площади,"%1 смещение по оси (%2,%3,%4)",
10003,Расширить область,"Разверните размер трех осей%1 на X%2, Y%3, Z%4 квадратов соответственно",
10005,Укажите координатную позицию,Положение координатного значения X%1Y%2Z%3,
10006,Сдвиг позиции (изменить исходное положение),"%1 смещение по оси (%2,%3,%4)",
10007,Центральное расположение района,Центральное расположение%1,
10008,Случайное расположение в районе,Случайное расположение%1,
10009,Время таймера,%1 раз,
10010,Укажите длину направленного луча,"Отбрасывать%3 лучей от%1 до%2, возвращая длину луча между блоком и начальной позицией",
10011,Струнная строчка,%1 и%2,
10012,Преобразовать значение в строку,Преобразовать%1 в строку,
10015,"Тип квадрата, пораженного лучом","Тип квадрата, пораженного обжигом%3 квадратов с%1 до%2",
10016,Направление относительно триаксиальной системы координат,"Ориентация X%2, Y%3, Z%4 перед%1",
10017,Направление относительно сферической системы координат,"Азимут%2 обращен к%1, направление возвышения%3",
10018,Объект игрока,%1 объект,
10019,биологический объект,%1 объект,
10020,Метание предмета,%1 объект,
10021,Сбросить объект,%1 объект,
10022,Преобразование тонов в значения,Преобразовать%1 в значение,
10024,Смещение положения (без изменения исходного положения),"%1 смещение по оси (%2,%3,%4)",
