ID,内容
ID,Content
1000000,Uyuma! Uyan!
1000001,"Sonunda uyandın, puf! Beni ölümüne korkuttu!"
1000002,"İyi gidiyordu, ama büyük miktarda Boşluk Gücü Myra Star 'a varmadan önce yıldız zincirinde aniden yoğunlaştı!"
1000003,"Bir anda herkes dağıldı. Şu anda, Myra 'ya ancak biz ulaştık gibi görünüyor. Diğerlerine ne olduğunu bilmiyorum..."
1000004,"Nasılsınız, önce durumu kontrol etsek iyi olur."
1000011,"Şuna bakın, bu parça sağlık noktalarını ve dayanıklılık değerlerini gösteriyor."
1000012,Kırmızı olan mevcut sağlık seviyenizi gösterir. Çok düşükse çok tehlikeli olacaktır. Lütfen her zaman buna dikkat edin!
1000013,"Sarı olan, kalan fiziksel gücünüzdür."
1000014,"Çok düşükse çok yorulacak ve verimlilik düşecektir. Tehlikeyle karşılaştığınızda bunalmış olabilirsiniz, bu yüzden lütfen her zaman dikkat edin!"
1000021,"Altta ""kısayol çubuğu"" adı verilen bir alan var. Bu ızgaralara tıklarsanız, tuttuğunuz öğeler arasında hızla geçiş yapabilirsiniz."
1000022,"Şu anki durumunuz pek iyi değil, iyileşmek için bir şeyler yiyelim!"
1000023,Izgaraya tıklayın ve elinizde tutun.
1000031,"Alt parça, ""kısayol çubuğu"" adı verilen bir alandır. İlgili ""sayı tuşlarına"" basarak elinizdeki öğeleri hızla değiştirebilirsiniz."
1000032,"Şu anki durumunuz pek iyi değil, iyileşmek için bir şeyler yiyelim!"
1000033,"Bu ızgaraya geçmek için karşılık gelen ""sayı anahtarını"" bulun ve elinizde tutun."
1000041,"Bak! Yemek sende! Şimdi yemek yemek için ""kullan düğmesini"" basılı tutun."
1000051,"Bak! Yemeği aldım buhehe. Şimdi yemek için ""sağ fare düğmesine"" uzun basın."
1000061,"Şimdi çok daha iyi, fiziksel durumumuzu kontrol edelim."
1000062,Beni takip et ve iki adım ileri git. İlerlemek için joystick 'e tıklayın ve ilerleyebileceksiniz.
1000063,"İleride sorun yok, şimdi biraz geri dönelim. Geri dönmek için geri itmek için joystick 'e tıklayın."
1000064,"Güzel, şimdi sola gidelim. Rock 'çıyı sola itmeyi deneyin."
1000065,"Bu doğru, sonunda sağa. Sallayıcıyı sağa doğru itin."
1000071,"Şimdi çok daha iyi, fiziksel durumumuzu kontrol edelim."
1000072,"Beni takip et ve ileri git. İlerlemek için klavyedeki ""W"" tuşuna basın."
1000073,"İleride sorun yok, şimdi biraz geri dönelim. Geri dönmek için klavyedeki ""S"" tuşuna basın."
1000074,"Tamam, şimdi sola gidelim. Klavyedeki ""A"" tuşuna basmayı deneyin."
1000075,"Bu doğru, sonunda sağa. Klavyenin ""D"" tuşuna tıklayın."
1000081,"Görünüşe göre vücutla ilgili büyük bir sorun yok, sonra atlamayı deneyelim."
1000082,"Atlamak için bu ""atlama"" düğmesine basın."
1000083,"Zıplama da normal görünüyor. Sonra düşünüyorum... gizliliği dene. ""Gizli"" düğmesine basın ve gizli bir duruma girebilirsiniz."
1000091,"Görünüşe göre vücutla ilgili büyük bir sorun yok, sonra atlamayı deneyelim."
1000092,"Atlamak için ""boşluk"" düğmesine basın."
1000093,"Zıplama da normal görünüyor. Sonra düşünüyorum... gizlilik deneyin. Gizli duruma girmek için ""kaydır"" düğmesine basın ve basılı tutun."
1000101,"Harika, zıplama ve gizlilik çok normal. Gizli kalırken, bloğun kenarından düşmeyeceğiz, unutmayın."
1000102,"Kontrol edilecek son bir öğe kaldı, pozisyonuma bakmak için başınızı çevirmeyi deneyin."
1000103,"Talimatlarıma dikkat edin, çevirmek için ekranı benim yönüme doğru kaydırın ve hazır olduğunuzda başlayacağız."
1000104,"Birincisi sol, ben buradayım, ekranı sola kaydırın."
1000105,Sonra sağ. Ekranı sağa kaydırın.
1000106,"Şimdi en üste bakalım. Nerede olduğumu öğrenmek için ekranı kaydırın, hehe."
1000107,Sonra aşağıdakiler var. Beni bulabilir misin?
1000108,"Son olarak, arka var. Bu sefer alt vuruş biraz daha uzun."
1000111,"Harika, zıplama ve gizlilik çok normal. Gizli kalırken, bloğun kenarından düşmeyeceğiz, unutmayın."
1000112,"Kontrol edilecek son bir öğe kaldı, pozisyonuma bakmak için başınızı çevirmeyi deneyin."
