id编号,标题,内容,作者,是否匿名
Id,Title,Context,Author,ShouldAnonymity
1,Para petualang,Belajar dari kegagalan adalah hal yang bijak.,Misra,
2,Ada Angpau kan?,"wkwkwk, Selamat Tahun Baru Imlek ya------ke siapa ambil botol ini",Gak Ada Nama,
3,Tahu nggak tahu nggak,"Aku baru tahu...Misra menyukai Bunny Beauty, wkwkwk",Null,
4,Sepesan Motto,"Ada tekat yang bulat disertai kerja keras, pasti akan berhasil!",Mini Kapten,
5,Kalimat Cinta,Jakey mencintai Lily selalu!!! Mencintaimu aku tenang.,Jakey&Lily,
6,Nunggu..,Kenapa gak ada seorang pun bisa jawab botolku..Sedih,Gak kasih tahu,
7,Kata-Kata Mutiara Hari ini,"Berakit-rakit ke hulu, berenang-renang ke tepian; bersakit-sakit dulu, bersenang-senang kemudian",Kaka,
8,Tebak Tebakan,Artis Hollywood yang bikin baper siapa?~~ Jack Sparrow..Sparow jiwaku pergi~,Nini,
9,Jokes Receh,"Kalau Cinta masih mandang Fisik, Pacaran aja sama ikan banyak fisiknya~wkwk",Shelly,
10,Jokes Receh,"Waktu tak dapat diputar, dijilat, apalagi dicelupin.",,
11,Jokes Receh,"Jika seseorang melemparmu dengan batu, balaslah dengan bunga......sekalian dengan potnya.",,
12,,Kadang aku senang saat seseorang berhenti jadi temanku. Itu seperti sebuah sampah yang membuang dirinya sendiri.,,
13,,"Jangan kau memberi tahu orang yang bertanya, karena mungkin ia sukanya tempe.",,
14,,"Hidup itu seperti bumerang, apa pun yang Anda buang akan selalu kembali.",,
15,,"Ketika tuhan mengambil sesuatu dari genggamanmu, Dia tidak menghukummu. Namun hanya membuka tanganmu untuk menerima yang lebih baik.",,
16,,"Biar lelah, tapi tetap indah. Itulah senja.",,
17,,"Kamu stres karena tugas menumpuk? Tenang, ada solusinya! Dijejerin ada tugasnya biar enggak numpuk.",,
18,,"Aku memang pendiam, diam-diam aku jatuh cinta padamu,hahaha",,
19,,"Kenapa anak kodok suka sekali loncat? Namanya juga anak-anak, ya wajar aja kalo iseng.",,
20,,Gajah apa yang paling baik? Gajahat.,,
21,,Hewan apa yang bisa bikin damai? Adem ayam.,,
22,,Ikan yang suka berenti? Ikan Pause,,
23,,Sayur apa yang ikut perang? Sayur Mayor,,
24,,Kenapa kalau ayam berkokok matanya merem? Soalnya udah hafal textnya kwkwkw,,
25,,"Kenapa air mata warnanya bening? Soalnya kalau hijau air matcha, hehehe",,
26,,"Kendaraan apa yang bunyinya paling imut? Kereta, naik kereta api cute cute cute..",,
27,,"Jika kamu hidup, kamu adalah orang yang kreatif.",,
28,,"Beri nilai dari usahanya, jangan dari hasilnya. Baru kita bisa menilai kehidupan.",Albert Einstein,
29,,Saya telah gagal berulang kali dalam hidup saya. Dan itulah mengapa saya berhasil.,Michael Jordan,
30,,"Betapapun sulitnya hidup, selalu ada sesuatu yang dapat kamu lakukan dan berhasil.",Stephen Hawking,
31,,Jangan pernah menyesali apa pun yang membuatmu tersenyum.,,
32,,Kebahagiaan hidupmu bergantung pada kualitas pikiranmu.,,
33,,"Jangan berdoa untuk kehidupan yang mudah, doakanlah kekuatan untuk menanggung kehidupan yang sulit.",,
34,,"Hidup adalah petualangan, beranikan dirimu.",,
35,,"Pelajaran paling berharga dalam hidup tidak dapat diajarkan, itu harus dialami.",,
36,,Percayalah bahwa hidup itu layak dijalani dan keyakinanmu akan membantu menciptakan fakta.,,
37,,"Waktumu terbatas, jadi jangan sia-siakan dengan menjalani hidup orang lain.",,
38,,Terkadang orang menggunakan pikiran untuk tidak berpartisipasi dalam kehidupan.,Steve Jobs,
39,,Hal terbaik dalam hidup bukanlah benda.,,
40,,Kekayaan terbesar adalah hidup puas dengan sedikit.,,
41,,Cintai hidup yang kau jalani. Jalani hidup yang kau cintai.,,
42,,Hidup bukan tentang menemukan dirimu sendiri. Hidup adalah bagaimana membangun dirimu.,,
43,,Hidup itu seperti bumerang; apa pun yang Anda buang akan selalu kembali.,,
44,,"Hitunglah umurmu dengan teman, bukan tahun. Hitunglah hidupmu dengan senyum, bukan air mata.",,
45,,Hidup adalah tarian antara mewujudkan dan membiarkannya terjadi.,,
46,,"Hidup itu sangat sederhana, tapi kita berkeras untuk membuatnya menjadi rumit.",,
47,,"Setiap orang berpikir untuk mengubah dunia, tapi tidak ada yang berpikir untuk mengubah dirinya sendiri.",,
48,,"Tuhan tidak pernah memberikan harapan, tanpa kepantasan untuk mencapainya.",,
49,,"Hidup itu singkat, dan terserah kamu untuk membuatnya manis.",,
50,,Hidup bukan tentang menemukan dirimu sendiri. Hidup adalah bagaimana membangun dirimu.,,
51,,"Halo apa kabar mu hari ini? Jika semuanya baik maka bagus, jika tidak, jangan bersedih karena ada banyak hal di dunia ini yang akan membuatmu lebih bahagia dari hari ini.",Arendona,
52,Kisah dari Misel--Bab I,"Suatu hari aku terbangun di sebuah pondok yang dekat dengan tepi pantai, aku melihat ke arah jendela. Saat ini langitnya cerah, pasir berkilau seperti kristal karena pantulan sinar mentari, dan terbentang lautan yang sangat luas. Bersambung..~",Misel,
53,Kisah dari Misel--Bab II,"Terdapat suara burung camar yang sedang mendekatiku, aahh tidak..... dia mencuri rotiku (aku merasa sedih). Aku berjalan menyusuri pantai sambil mengumpulkan berbagai macam kerang dan batu untuk hiasan. Bersambung..~",Misel,
54,Kisah dari Misel--Bab III,"Karena mendengarkan suara deburan ombak yang merdu, aku jadi ingin berenang. Wow laut ini sangat indah, terdapat banyak terumbu karang, rumput laut, dan ikan kecil. Aku ingin semua orang bisa melihat keindahan ini, aku harap semua orang bisa melihat dan menikmatinya ...",Misel,
55,,"Game,Game apa yang bikin aku seneng dan bahagia?,Tentu saja mini world yg bikin aku seneng dang Happy! Karena Gameplay yang seru dan survival yang beragam unik nya! Terima kasih telah membuat game yang sangat unik dan mempunyai banyak gameplay multiplayer dan singleplayer Miniwan.Tech!",-Syakira_-,
56,,Dari tahun 2016 aku dah suka banget sama game ini yang seru survival nya tetapi sayang nya akun lama 2016 hilang. Dan kangen banget dan nostalgia sama game ini dan membuat akun baru! Terima kasih sudah menemani aku mini world dari awal tahun 2016 ~(>3<)~ -Salam Syakira,-Syakira_-,
57,,Aku rela ditangkap polisi asal tuduhannya atas pencurian hatimu. XD,(RALF),
58,,"Telor apa yang sangar? 
Jawab: Telor Paskah, soalnya ada tatonya. XD",(RALF),
59,,"Semakin keras kamu bekerja untuk sesuatu, semakin besar perasaanmu saat mencapainya. :)",(RALF),
60,,"Selamat Hari Musim Semi, Selamat Hari Valentine, Selamat Hari Cap Go Meh, Selamat Hari Ulang Tahun Mamaku, Dan Selamat Ulang Tahun Papaku. :)",(RALF),
61,,Saya Pengen Jadi Orang Yang Sukses Dan Jadi Orang Baik Dan Saat Saya Ke Sekolah Tidak Ada Pembullian Dan Tidak Melawan Guru. :),(RALF),
62,,Lebih Pilih Bubur Diaduk Atau Tidak Diaduk,(RALF),
63,,"Menurut Saya Game Mini World Memang Game Yang Bagus Dan Seru Karena Bisa Bermain Multiplayer Secara Bebas Dan Terbuka, Gameplay Petualangannya Seru Kalo Update Ocean Jadi Lebih Seru Dan Masih Banyak Lagi Saya Gak Bisa Bicarakan. :)",(RALF),
