ID,内容
ID,Content
1000000,Não durma! Acorda logo!
1000001,Finalmente você acordou! Quase morri de susto!
1000002,"Tudo estava indo bem, até que a corrente estelar em que estávamos de repente começou a se concentrar em uma grande quantidade de energia do vazio, antes de chegarmos a Miras."
1000003,"Num piscar de olhos, todo mundo foi dispersado. Por enquanto, apenas nós conseguimos chegar em Miras. Não sei como estão os outros..."
1000004,Você tá de boa? Melhor dar uma checada no seu estado antes.
1000011,"Dá uma olhada aqui, isso mostra seu HP e sua energia."
1000012,"A barra vermelha representa o seu estado de saúde atual, se estiver muito baixo, será muito perigoso. Fique sempre atento!"
1000013,"Aqui, a barra amarela indica a sua energia atual."
1000014,"Se for muito baixo, você ficará cansado e sua eficiência diminuirá. Se você enfrentar algum perigo, poderá ficar sobrecarregado. Por isso, preste sempre atenção!"
1000021,"Abaixo está a área chamada de ""Barra de Atalhos"". Clicando nesses quadrados, você pode mudar rapidamente o item em suas mãos."
1000022,"A sua condição não está muito boa agora, vamos comer algo para se recuperar!"
1000023,"Clique aqui, pegue-o na mão."
1000031,"Abaixo está a área chamada ""Barra de Atalho"". Pressionando a tecla correspondente ao número, você pode alternar rapidamente entre os itens que está segurando."
1000032,"A sua condição não está muito boa agora, vamos comer algo para se recuperar!"
1000033,Mude para a grade correspondente e segure o objeto em sua mão.
1000041,"Olha só! Comida na mão, hehe. Agora segura esse ""botão de usar"" e come!"
1000051,Olha só! A comida tá na mão hehe. Agora segura o botão direito do mouse pra comer.
1000061,Agora você está se sentindo melhor. Vamos verificar a nossa condição física.
1000062,"Segue comigo, dá dois passos à frente. Mova o joystick para frente e você será capaz de seguir em frente."
1000063,"Sem problema seguindo em frente, agora vamos recuar um pouco. Mova o joystick para trás para poder voltar."
1000064,"Muito bem, agora vamos andar para a esquerda. Tente empurrar o joystick para a esquerda."
1000065,"Isso mesmo, agora é para a direita. Empurre o joystick para a direita."
1000071,"Está muito melhor agora, vamos verificar nossa condição física."
1000072,"Vem comigo, vamos em frente. Pressiona a tecla ""W"" do teclado para avançar."
1000073,"Sem problema avançar, agora vamos dar uma recuada. Aperte a tecla ""S"" do teclado para recuar."
1000074,"Ótimo, vamos virar à esquerda agora. Tente pressionar a tecla ""A"" no teclado."
1000075,"Isso mesmo! Por fim, vire à direita. Pressione a tecla ""D"" no teclado."
1000081,"Parece que o seu corpo está tudo bem, agora vamos tentar pular, vamos lá!"
1000082,"Aperta o botão abaixo pra pular, vamos lá, pula!"
1000083,"Tudo parece estar em ordem, agora vamos... opa, vamos nos esconder! Clique no botão abaixo para ficar em postura furtiva."
1000091,Não parece que você está confuso. Vamos tentar algo mais ousado. Que tal um SALTO?
1000092,"Aperte a ""Barra de Espaço"" para pular, vamos lá!"
1000093,"Tudo parece estar em ordem, agora vamos... opa, vamos nos esconder! Pressione ""shift"" para entrar em posição furtiva."
1000101,"Legal, saltitante e furtivo você é bom. Vou te dar um conselho, lembre-se que no modo furtivo você não conseguirá cair das bordas dos blocos."
1000102,"Vamos lá, última prova! Vire a cabeça para a esquerda e olhe pra minha direção!"
1000103,"Fique ligado nas minhas instruções, tá? Deslize a tela na direção indicada e quando acabar, a gente começa."
1000104,"Primeiro é à esquerda, estou aqui, deslize a tela para a esquerda."
1000105,Então a direita. Deslize a tela para a direita.
1000106,"Agora vamos olhar para o topo. Deslize a tela para saber onde estou, hehe."
1000107,E depois abaixo. Você pode me encontrar?
1000108,"Finalmente é a parte de trás! Desta vez, você deve fazer um slide mais longo."
1000111,"Legal! Seu salto e esgueirar-se são incríveis! Vou te dar um conselho, lembre-se que no modo furtivo você não conseguirá cair das bordas dos blocos."
1000112,"Um último teste, vamos ver, vire a cabeça para a esquerda, olhe a minha posição."
1000113,"Fique ligado nas minhas instruções, tá? Deslize o mouse na direção indicada e quando acabar, a gente começa."
1000114,"Primeiro é para a esquerda, estou aqui, mova o mouse para a esquerda."
1000115,Então a direita. Mova o mouse para a direita.
1000116,"Agora vamos olhar para o topo. Mova o mouse para saber onde estou, hehe."
