ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
ID,Name,Desc,BuyTips,EffectDesc1,EffectDesc2,EffectDesc3,EffectDesc4,EffectDesc5,EffectDesc6
1,Pandaa,Un ragazzo panda che ama il bambù!,La Carta travestimento può essere ottenuta tra i Frutti del giardino.,Impronte: impronte di panda.,Avatar: sblocca l'avatar di Panda.,@Null@,,,
2,Piccolo Re Scimmia,In edizione limitata durante il festival di Primavera dell'Anno della Scimmia. Il Piccolo Re Scimmia ti fa compagnia durante i festeggiamenti.,La Carta travestimento può essere ottenuta tra i Frutti del giardino.,Impronte: nuvolette.,Avatar: sblocca l'avatar del Piccolo Re Scimmia,@Null@,,,
3,Coniglietta,Una coniglietta carina che lascia carote ovunque passa.,La Carta travestimento può essere ottenuta tra i Frutti del giardino.,Impronte: carote fiammanti.,Avatar: sblocca l'avatar di Coniglietta,@Null@,,,
4,Misra,"Fa' attenzione al Misra, quando sei nel mondo presistorico!",La Carta travestimento può essere ottenuta tra i Frutti del giardino.,Impronte: impronte di dinosauro.,Avatar: sblocca l'avatar di Misra.,@Null@,,,
5,Cameriera Sweety,Ding! Benvenuto al Caffè di Sweety!,Gli attrezzi per sbloccare possono essere ottenuti tra i Frutti del Giardino.,Impronte: impronte di gatto.,Avatar: sblocca l'avatar della cameriera Sweety.,@Null@,,,
6,George,Un ragazzo vivace e solare che ama fare sport e ascoltare musica.,Gli attrezzi per sbloccare possono essere ottenuti tra i Frutti del Giardino.,Impronte: cuoricini blu.,Avatar: sblocca l'avatar di George.,@Null@,,,
7,Anny,"Può sembrare una cheerleader ma l'apparenza inganna, lei è una ragazza energica che ama danzare e consumare deliziosi dessert.",Gli attrezzi per sbloccare possono essere ottenuti tra i Frutti del Giardino.,Impronte: cuoricini rossi.,Avatar: sblocca l'avatar di Anny.,@Null@,,,
8,Il moista Xiaofei,Un membro dell'antica Scuola Moisti. Un mastro nei macchinari.,@Null@,Impronte: ali di vento.,Avatar: sblocca l'avatar di Xiaofei.,Speciali abilità di volo in Creativa.,Crea modalità effetti di volo,,
9,Dracula VI,Io sono Dracula VI un nobile vampiro discendente da una generazione di eleganti ed egregi vampiri,Gli attrezzi per sbloccare possono essere ottenuti tra i Frutti del Giardino.,Effetti speciali: nebbia di sangue e pipistrelli neri.,Avatar: sblocca l'avatar di Dracula VI,@Null@,,,
10,Renna Jingle,"Una piccola renna, carina e biricchina, la quale vive nella Felice Valle del Natale.",@Null@,Effetti speciali: aurea natalizia.,Avatar: sblocca l'avatar di Jingle.,Impronte: impronte di Renna natalizia.,,,
11,Cacciatore Snow,"Il cacciatore Snow proviene dalle fredde brughiere, vicino all'artico. Con il tempo e la devota pazienza, ha conquistato l'amicizia delle acquile.",@Null@,Effetti speciali: fiocchi di neve.,Avatar: sblocca l'avatar del Cacciatore Snow.,Impronte: palline di neve.,,,
12,Yuji,"Una fata caduta dal cielo sul nostro mondo, la quale incontra Murong per caso.",@Null@,Effetti speciali: petali di pesco.,Avatar: sblocca l'avatar di Yuji.,@Null@,,,
13,Murong,Un eremita che vive sulle montagne e incontra Yuji per caso.,@Null@,Effetti speciali: venticello freddo.,Avatar: sblocca l'avatar di Murong,Impronte: soffio luminoso.,,,
14,Joey,"Mi dispiace, ma vedo che alle mie pallottole non non piaci molto.",@Null@,Effetti speciali: fumo e polvere.,Avatar: sblocca l'avatar di Joey.,Impronte: stella dello sceriffo.,,,
15,Lucas,"Con una superba intelligenza, veloci scatti sul campo, e potenti schiacciate... È senz'altro il migliore sul campo da basket.",@Null@,@Null@,Avatar: sblocca l'avatar di Lucas,Impronte: palle da basket.,,,
16,Clair,"Questa ragazza, come Lucas, é così vivace da far cadere lo sguardo di tutti su di lei.",@Null@,@Null@,Avatar: sblocca l'avatar di Clair.,Impronte: vivaci coriandoli.,,,
17,Rose,"C'é, per caso, qualcuno disposto ad accompagnarmi in un'avventura  nelle terre sconosciute?",@Null@,Effetti speciali: cuoricini rossi.,Avatar: sblocca l'avatar di Rose.,@Null@,,,
18,Capitano Teach,"Voglio essere il più famoso capitano dei pirati, e cercare succosi tesori nelle immense profondità oceaniche.",@Null@,@Null@,Avatar: sblocca l'avatar di capitano Teach.,Impronte: piccole ondicelle.,,,
19,Mary,Voglio essere la più famosa aiutante del capitano dei pirati in tutti e 7 i mari.,@Null@,Effetti speciali: Bollicine rosa profumate.,Avatar: sblocca l'avatar di Mary.,@Null@,,,
20,Jinyi,Non ho paura della spada.,@Null@,Impronta: vento plantare,Avatar: sblocca l'avatar,@Null@,,,
21,Xiaolou,"Essere sempre al centro dell'attenzione, come un attraente fior di loto.",@Null@,Effetti speciali: petali di pesco.,Avatar: sblocca l'avatar di Xiaolou.,@Null@,,,
22,Lilith,Dolcetto o scherzetto?,@Null@,Effetti speciali: Aria delle notti di Halloween.,Avatar: sblocca l'avatar di Lilith.,@Null@,,,
23,Wushuang,Non credere che la mia apparenza mi rendi debole. l'esteriorità inganna!,@Null@,Effetti speciali: fiori blu.,Avatar: sblocca l'avatar di Wushuang,@Null@,,,
24,Dragonet,Sono io il difensore del tuo mondo!,@Null@,Impronta: fumo nero,Avatar: sblocca l'avatar di Dragonet,@Null@,,,
25,Erlang,"Aiuterò a tenere lontani gli spiriti maligni, e ti manterrò al sicuro.",@Null@,Effetti speciali: scosse energetiche.,Avatar: sblocca l'avatar di Erlang,@Null@,,,
26,Mermale,"La mamma mi ha sempre detto ""non correre! non correre senza un sogno, figliolo!""",@Null@,Effetti speciali: bollicine.,Avatar: sblocca l'avatar di Mermale.,@Null@,,,
27,Misoso,Capo costruttore di sogni del World Protector Plan (piano per proteggere il pianeta). Da sempre combatte per rendere il mondo un luogo migliore.,Gli articoli sbloccati possono essere ottenuti dal World Guardian Program.,effetti speciali: foglioline.,Avatar: sblocca l'avatar di Misoso.,@Null@,,,
28,Mini-X,"Guardia del tempo, ama viaggiare sempre alla ricerca di nuove avventure e, nel mentre, ascoltare musica.",@Null@,effetti speciali: particelle elettriche.,Avatar: sblocca l'avatar di Mini-X.,@Null@,,,
29,Mini-T,"Quello che si cela dentro la mia ferrea armatura, non é altro che la mia anima ardente, nutrita dal coraggio e dall'audacia. Qualità fondamentali per esplorare la vastità della nostra galassia.",@Null@,effetti speciali: particelle elettriche.,Avatar: sblocca l'avatar di Mini-T.,@Null@,,,
30,Fata della luna,Lei balla al chiaro di luna.,@Null@,Effetti speciali: lune crescenti.,Avatar: sblocca l'avatar della fata della luna.,@Null@,,,
31,Pumpkie,"Un mago, misterioso e potente. Non esce mai di casa senza il suo libro magico, pieno di stravaganti incantesimi, e il suo inseparabile cappelo a forma di zucca, apparentemente inutile, ma da cui deriva il suo nome.",@Null@,Effetti speciali: aura magica.,Avatar: sblocca l'avatar di Pumpkie.,@Null@,,,
32,Shelley,La piccola principessa proveniente dal misterioso regno oceanico si perde in Mini World. Coloro che la renderanno felice ascolteranno il suo dolce canto.,@Null@,Effetti speciali: goccioline fluttuanti.,Avatar: Sblocca l'avatar di Shelley.,Impronte:  conchiglie.,,,
33,Christopher,Il segreto dell'inverno è che ogni fiocco di neve è vivo e ognuno di loro si protegge a vicenda.,@Null@,Effetti speciali: fiocchi di neve.,Avatar: sblocca l'avatar di Christopher.,@Null@,,,
34,Popo,"Dodo e Bobo sono migliori amici con Misra. Sono tanto deboli quanto bassi di morale. Sono alla ricerca di un pianeta dove possono ottenere il magia dei colori, con la speranza di diventare più forti.",@Null@,"Effetti speciali: cambia il suo colore in armonia con l'ambiente, in modo da mimetizzarsi.",Avatar: sblocca l'avatar di Popo.,@Null@,,,
35,Dodo,"Dodo e Bobo sono migliori amici con Misra. Sono tanto deboli quanto bassi di morale. Sono alla ricerca di un pianeta dove possono ottenere il magia dei colori, con la speranza di diventare più forti.",@Null@,Avatar: sblocca l'avatar di Dodo.,@Null@,@Null@,,,
36,Bobo,Dodo e Bobo sono migliori amici con Misra. Hanno molto bassa autostima come sono deboli. Essi fissano su un viaggio alla ricerca di un pianeta dove possono ottenere il Magic Color con la speranza di diventare più forte.,@Null@,Avatar: sblocca la foto del profilo,@Null@,@Null@,,,
37,Sakura,"Una ragazza che lasciò i suoi sogni per viaggiare. Non solo per avventurarsi, ma anche per seguire la strada che scelse.",@Null@,Avatar: sblocca l'avatar di Sakura.,Impronte: petali di pesco.,@Null@,,,
38,Maresciallo Zhanlang,"Questo maresciallo é stato presente in molte guerre, e ha accumulato molta esperienza nella vita. Sembra un comandante della Heavenly Naval Forces.",@Null@,Effetti speciali: onde magnetiche.,Avatar: sblocca l'avatar del maresciallo Zhanlang.,Impronte: ondicelle d'acqua.,,,
39,Eva,"Eva, gentile ed onesta usa il suo scettro magico per spargere amore e speranza in qualsiasi luogo di Mini World e custodisce tutte le generazioni dei coraggiosi esploratori. 
(Eva può essere vinta solo con gli eventi).",Sblocca dall'evento,Effetti speciali: piume angeliche.,Avatar: sblocca avatar di Eva.,@Null@,,,
40,Mini-Beat,"Un DJ, proveniente dall'ingnoto, ama il metal. Nel mondo della musica, é il migliore sul palcoscenico, accompagnato da un notevole senso del ritmo.",@Null@,Effetti speciali: striscie di fulmine.,Avatar: sblocca avatar di Mini-Beat.,Impronte: note musicali.,,,
41,Lancillotto,"Che cos'è la cavalleria? Dove la spada punta, la giustizia sarà raggiunta!",@Null@,Effetti speciali: luce stellare.,Avatar: sblocca avatar di Lancillotto.,@Null@,,,
42,Mecha Meow,"Connessione ad internet controllata. La torretta elettromagnetica é pronta. Chiamarmi un geek? No, no, é l'amore dello scienziato! 
Ah! La batteria é scarica! Ricaricala!",@Null@,@Null@,Avatar: sblocca avatar di Mecha Meow.,Impronte: particelle elettriche.,,,
43,Samurai Senbei,"Bei movimenti, ma sei sicuro che riuscirai a competere contro la mia forza?",@Null@,@Null@,Avatar: sblocca avatar del samurai Senbei.,Impronte: polvere.,,,
44,Meow Racer,"Questo trofeo è il mio regalo di compleanno! Meow Racer, che ama la vita in città, appare ancora una volta in campo. Per lei, sfoggiarsi con stile,  è molto più importante della semplice vittoria.",@Null@,@Null@,Avatar: sblocca avatar di Meow Racer.,Impronte: cuori.,,,
45,Assassino Li,Un energico assassino che si rallegra sempre. ama usare i suoi aghi per fare un'acconciaura perfetta a tutti.,@Null@,@Null@,Avatar: sblocca l'avatar dell'assassina Li.,Impronte: Gomitoli.,,,
46,Assassino An,"Lui vuole fare colpo su tutti. Però é sempre criticato dal suo partner, causa la sua spiccata noncuranza.",@Null@,@Null@,Avatar: sblocca l'avatar dell'assassino An.,Impronte: dardi.,,,
47,Parrot YOYO,Credi che ogni nuvola ha il suo odore? Io voglio essere le tue ali che ti porteranno nel posto più bello del mondo: il cielo.,@Null@,Effetti speciali: luce dorata brilla sulla corona.,Avatar: sblocca avatar.,@Null@,,,
48,Mini-S,È mio dovere proteggere la pace per i miei amici e la mia casa!,@Null@,Effetti speciali: Mecha sulla schiena illuminato da raggi dorati.,Avatar: sblocca l'avatar di Mini-S.,@Null@,,,
49,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
50,Joker,"Ehi, caro avventuriero, ti piacerebbe vedere un'incredibile spettacolo di magia? Tutti le performance sono fantastiche qui!",@Null@,@Null@,Avatar: sblocca l'avatar di Joker.,Impronte: sagome magiche.,,,
51,Kana,Sono qui per fare la ribelle. Vuoi degustare qualche caramella o il mio martello?,@Null@,@Null@,Avatar: sblocca l'avatar di Kana.,Impronte: lecca-lecca.,,,
