任务ID(末3位是任务的id，前面位表示归属的目标id，1001001即目标id=1001、任务id=1),归属目标(SurviveObjectiveDef的ID),名称,描述(加上@1会显示任务计数，使用@item_道具id#添加可查看详情的道具),任务追踪框描述(使用@item_道具id#添加道具文本，默认颜色#cfa7a0f),任务完成事件类型【1自动完成，2破坏方块，3获得道具，4加工道具，5冶炼道具，6道具损坏，7使用道具，8击败生物，9繁殖生物，10驯服生物，11玩家死亡，12（未用），13设置复活点，14抵达生态，15生存时间，16跳过夜晚，17方块交互(手持GoalID1:item点GoalID2:item，GoalID1=0为直接点击方块，GoalID2=0为放置方块)，18符文镶嵌(消耗指定符文石道具)，19修复道具，20烹饪道具，21施肥，22生物交互(手持GoalID1:item点GoalID2:monster，GoalID1=0为直接点击生物，不允许GoalID2=0)，23NPC交易，24游戏开始完成，25抵达星球，26编书，27钓鱼，28拆书，29符文镶嵌(消耗指定副材料道具)，30（未用），31符文镶嵌(获得指定效果类型EnchantType)，32种植，33放置方块（A放在B顶面），34穿戴装备】,任务完成对象(道具：I_itemID(若使用组则填“IG_道具ID”)、生物：M_monsterID、生态：B_biometypename、星球：P_planet(0=迷拉星，1=烈焰星，2=萌眼星)、T_tunestoneEnchantType，0代表任意),任务完成对象交互对象(17、22类型的任务需要配置Goal ID1和Goal ID2，使用1去交互2),任务完成对象所需数值,X轴(在任务展示框中的横轴坐标),Y轴(在任务展示框中的纵轴坐标),前置任务ID1,前置任务ID2,前置任务ID3,前置任务ID4,前置任务ID5,自动跟踪下个任务ID,任务奖励类型(0道具，1星星),任务奖励(奖励为星星则不填或填0),奖励数量,奖励发放类型(1=自动发放 2=手动领取),任务icon(填写“id”，获取显示对应item的图标，填写“#id”表示使用生物头像，路径：Assetruntime\Assets\Resources\ui\roles),指引图片(读取Assetruntime\Assets\Resources\ui\survivetaskguide目录下的文件名),旧版成就ID(对应achievement.csv)
ID,ObjectiveID,Name,Desc,TrackDesc,Type,GoalID1,GoalID2,GoalNum,GridX,GridY,FrontID1,FrontID2,FrontID3,FrontID4,FrontID5,NextTrack,RewardType,RewardID,RewardNum,RewardDistributionType,Icon,GuidePicture,OldTaskID
1001001,1001,摆放神圣果实,在生命石座上放置@item_587#@1#r(“神圣果实”代表了“昔日者”曾经最辉煌的基因改造技术。),在生命石座上放置@item_587#,33,I_587,I_140,1,1,1,,,,,,1001002,1,0,1,1,140,1001001,1266
1001002,1001,摆放烈焰断剑,在勇气石座上放置@item_588#@1#r(“烈焰断剑”代表了“昔日者”曾经与“黑龙”长久合作的象征。),在勇气石座上放置@item_588#,33,I_588,I_141,1,1,2,,,,,,1001003,1,0,1,1,141,1001002,1266
1001003,1001,摆放石人之眼,在智慧石座上放置@item_589#@1#r(“石人之眼”代表了“昔日者”曾经引以为傲的人工智慧。),在智慧石座上放置@item_589#,33,I_589,I_142,1,1,3,,,,,,1001004,1,0,1,1,142,1001003,1266
1001004,1001,决战虚空幻影！,击败虚空幻影！#r(已经无法回头了，为了迷你宇宙！),击败虚空幻影！,8,M_3516,,1,2,2,1001001,1001002,1001003,,,1001005,0,200099,1,2,#3515,1001004,1267
1001005,1001,接触虚空,获得@item_11333##r(这是……新的开始？……),获得@item_11333#,3,I_11333,,1,3,2,1001004,,,,,4001001,0,11331,3,1,11333,1001005,1267
1002001,1002,重返迷拉星,总算是安全抵达迷拉星了。#r但是突破星链封锁的时候，整支队伍都被打散了，不知道还有其他伙伴抵达迷拉星了吗？,抵达迷拉星,24,,,1,1,1,,,,,,1002002,1,0,1,2,595,,
1002002,1002,我需要些石头,采集@item_110#获取@item_11627#@1#r(长按石块采集，也可以打开控制面板，在加工界面加工@item_104#获取@item_11627#),采集@item_110#获取@item_11627#@1,3,I_11627,,3,2,1,1002001,,,,,1002003,0,11627,3,2,110,1002002,1221
1002003,1002,更多的材料,采集树枝获取@item_11323#@1#r(长按树枝采集，有些树的树枝长在比较高的地方，有什么办法能把自己垫高些呢),采集树枝获取@item_11323#@1,3,I_11323,,2,3,1,1002002,,,,,1002004,0,11323,2,2,11006,1002003,1222
1002004,1002,开始美好的生活~,用@item_11627#和@item_11323#加工@item_11002#@1#r(趁手的工具可以更快的采集资源),打开控制面板加工@item_11002#@1,4,I_11002,,1,4,1,1002003,,,,,1002005,0,11627,3,2,11002,1002004,1226
