ID,名字
ID,EnumName
10001,"Vừa nắng vừa mưa "
10002,Nắng
10003,Mưa
10004,Sấm Sét
10005,Thời tiết xấu
10006,Tuyết rơi
10007,Bão cát
10008,Mưa bão
10009,Bão tuyết
20001,Đông
20002,Nam
20003,Tây
20004,Bắc
20005,Trên
20006,Dưới
30001,Góc nhìn chính
30002,Góc nhìn phía sau
30003,Góc nhìn thẳng
30004,Góc nhìn từ trên xuống
30005,Góc nhìn tùy chỉnh
30006,
40001,X
40002,Y
40003,Z
50001,Hệ thống góc
50002,Hệ thống hồ quang
60001,Log
60002,Ln
70001,Hướng xuống
70002,Làm tròn
70003,Hướng lên
80001,Sát thương cận chiến
80002,Sát thương tầm xa
80003,Sát thương gây nổ
80004,Sát thương đốt cháy
80005,Sát thương gây độc
80006,Sát thương hỗn loạn
80007,Sát thương khi rơi
80008,Sát thương do kim loại
80009,Sát thương đóng băng
90001,Ok
90002,Không
100001,Mở
100002,Tắt
110001,Max.
110002,Min.
120001,Bằng
120002,Không bằng
120003,Lớn hơn
120004,Nhỏ hơn
120005,Lớn hơn hoặc bằng
120006,Nhỏ hơn hoặc bằng
130001,Cộng
130002,Trừ
130003,Nhân
130004,Chia
140001,Mức HP tối đa
140002,Mức HP hiện tại
140003,Hồi sinh
140006,Độ đói
140008,Lượng Oxy hiện tại
140010,Tốc độ di chuyển
140011,Tốc độ chạy
140012,Tốc độ tàng hình
140013,Tốc độ bơi
140014,Nhảy
140015,Tỷ lệ Dodge
140016,Tấn công cận chiến
140017,Tấn công viễn chiến
140018,Phòng thủ cận chiến
140019,Phòng thủ viễn chiến
140020,Kích thước mô hình
140022,Sao
140023,EXP hiện tại
140024,Level hiện tại
140025,Thể lực tối đa
140026,Thể lực hiện tại
140027,Tỷ lệ hồi phục thể lực
150001,Đứng yên
150002,Di chuyển
150004,Chạy
150005,Nhảy
150006,Nhảy kép
150007,Tàng hình
150011,Tiếp đất
160001,Có thể di chuyển
160002,Có thể đặt khối vuông
160003,Có thể tương tác với khối vuông
160004,Có thể đập vỡ khối
160005,Có thể sự dụng công cụ
160006,Có thể tấn công
160007,Có thể bị thương
160008,Có thể bị giết
160009,Có thể thu thập công cụ
160010,Có thể bị rơi đồ khi chết
160011,Có thể vứt bỏ vật phẩm
170001,Team1Đỏ
170002,Team2Xanh
170003,Team3Lục
170004,Team4Vàng
