ID,内容
ID,Content
1000000,"¡No te duermas, despierta!"
1000001,"¡Aah, finalmente has despertado! ¡Estaba con los pelos de punta!"
1000002,"Todo iba bien, pero de repente, una enorme cantidad de Vacío apareció en la cadena estelar antes de llegar a la estrella de Miras"
1000003,"En menos de lo que canta un gallo, todos se han dispersado. Actualmente, parece que solo nosotros llegamos a Miras... No sé qué habrá sido de los demás."
1000004,"¿Te encuentras bien?, deberíamos revisar tu estado de salud primero, solo por si acaso."
1000011,"Mira esto, aquí se muestran los puntos de salud y de resistencia."
1000012,"La barra roja es tu indicador de salud actual, debes tener cuidado que no baje demasiado, debes prestarle atención."
1000013,La barra amarilla indica la resistencia que te queda.
1000014,"Si baja demasiado sentirás cansancio, y serás menos eficiente, si el peligro toca a tu puerta en ese estado puede ser peligroso, mantente al tanto  de ello también."
1000021,"En la parte inferior hay un área llamada ""barra de acceso directo"". Si haces clic en estas cuadrículas, puedes cambiar rápidamente el elemento que sostienes en tu mano."
1000022,"Mírate tu estado actual no es muy bueno, ¡comamos algo para recuperarnos!"
1000023,Haz clic en esta casilla y sostenlo con tu mano.
1000031,"La cuadrícula en la parte inferior es llamada ""Barra de acceso directo"". Puedes cambiar rápidamente los elementos que sostienes en tu mano presionando las ""teclas numéricas"" correspondientes a la cuadrícula que quieres sostener."
1000032,"No pareces estar en muy buena forma, adelante ¡Comamos algo!"
1000033,Cambia a la cuadrícula correspondiente y sostén el objeto en tu mano.
1000041,"¡Mira! ¡Tienes la comida! Ahora mantén presionado el ""botón de uso"" para comer."
1000051,"¡Mira! Tienes la comida, jeje. Ahora mantén presionado el ""botón derecho del mouse"" para comer."
1000061,"Ahora está mucho mejor, revisemos nuestra condición física."
1000062,Sígueme y da dos pasos hacia adelante. Mueve el joystick hacia adelante y podrás avanzar.
1000063,"Genial, no hay problema para avanzar, ahora retrocedamos un poco. Mueve el joystick hacia atrás para poder retroceder."
1000064,"Muy bien, que tal si lo mueves hacia la izquierda ahora. ¡Inténtalo!"
1000065,"¿Qué nos faltaba?, o si ahora hacia la derecha."
1000071,"Eso esta mucho mejor, ahora comprobemos el estado de tu cuerpo."
1000072,"Primero avanza un poco hacia adelante, presiona la tecla ""W"" para caminar."
1000073,"Nada mal eh, ahora presiona la tecla ""S"" para retroceder."
1000074,"Excelente, ahora intenta moverte hacia la izquierda presionando la tecla ""A""."
1000075,"¿Qué nos falta?, o si, hacia la derecha, presiona la tecla ""D"" para hacerlo."
1000081,"No parece que estés desorientado probemos algo mas fuerte, que tal un SALTO!"
1000082,"Usa el siguiente botón para saltar, vamos, ¡Salta!"
1000083,"Todo se ve en orden, ahora vamos a..... ohm ¡escabullirnos!, pulsa el siguiente botón para colocarte en posición de sigilo."
1000091,"No parece que estés desorientado probemos algo mas fuerte, que tal un SALTO!"
1000092,"Presiona la ""Barra espaciadora"" para saltar, ¡Vamos haz una prueba!"
1000093,"Todo se ve en orden, ahora vamos a..... ohm ¡escabullirnos!, pulsa ""shift"" para colocarte en posición de sigilo."
1000101,"Cool, saltar y ser sigiloso se te da bien. Te doy un consejo, recuerda que en modo sigilo no podrás caerte por los bordes de los bloques."
1000102,"Una ultima prueba, a ver, gira tu cabeza hacia la izquierda, mira hacia mi posición."
1000103,"Pon atención a mis instrucciones ¿Vale?, Desliza la pantalla en la dirección que se indica, cuando termines podremos comenzar."
1000104,"Primero es a la izquierda, estoy aquí, desliza la pantalla hacia la izquierda."
1000105,Luego la derecha. Desliza la pantalla hacia la derecha.
1000106,"Ahora veamos la parte superior. Desliza la pantalla para saber dónde estoy, jeje."
1000107,Ahora veamos esto. ¿Puedes encontrarme?
1000108,"Por último, está la espalda. Esta vez debes hacer un deslizamiento mas largo."
1000111,"Cool, saltar y ser sigiloso se te da bien. Te doy un consejo, recuerda que en modo sigilo no podrás caerte por los bordes de los bloques."
1000112,"Una ultima prueba, a ver, gira tu cabeza hacia la izquierda, mira hacia mi posición."
1000113,"Pon atención a mis instrucciones ¿Vale?, Mueve el mouse en la dirección que se indica, cuando termines podremos comenzar."
1000114,"Primero es a la izquierda, estoy aquí, mueve tu mouse hacia la izquierda."
1000115,Luego la derecha. Mueva el mouse hacia la derecha.
1000116,"Ahora veamos la parte superior. Mueve el mouse para encontrar dónde estoy, jeje."
1000117,Ahora veamos esto. ¿Puedes encontrarme?
1000118,"Por último, está la espalda. Esta vez debes hacer un movimiento con el mouse mas largo."
1000121,"¡Examen de cuerpo completo terminado! Genial, todo esta normal. Oye, ¿Qué es eso?"
1000122,"Tiene pinta de ser un sitio abandonado, si lo reparamos, ¡debería poder ser nuestra fortaleza temporal!"
1000131,"Uy jeje nos estamos desviando del tema, ¡repasemos la misión que tenemos pendiente!"
1000132,Actualmente el fantasma del vacío reside sellado en la superficie del volcán de Miras.
1000133,"Pero sus apóstoles le han enviado en secreto mucho poder creativo, ahora este sello es tan frágil como una vela en el viento."
1000134,"Sin embargo, justamente ahora que el fantasma del vacío intenta abrir la puerta triangular es que esta gastando mucho poder del vacío. ¡Ahora es el mejor momento para destruirlo!"
1000135,"Pero primero tenemos que recoger las tres llaves que forman parte del sello del volcán, obligarlo a salir usando la fuerza ¡y destruirlo cuando este desprevenido!"
1000136,"Las llaves del sello pueden ser encontradas en Miras, Llamas y Horas respectivamente."
1000137,"El accidente que te mencione antes arruino nuestros equipos, enfrentarlo con nuestros equipos actuales, es prácticamente imposible."
1000138,"¡Pero no te desanimes! Te daré una serie de objetivos, ¡y definitivamente no es un problema cumplirlos para ti!"
1000141,"Mira aquí. Esta es la ""Interfaz de seguimiento de tareas"", y las tareas a las que actives el seguimiento se mostrarán aquí."
1000142,"Una vez completado, se rastreará automáticamente a la siguiente tarea."
1000143,"Si deseas ver contenido relacionado a las tareas con mayor detalle, simplemente haz clic en él para abrir el panel de control."
1000144,Esta es la primera tarea que he personalizado para ti. ¡Venga vamos a recoger algunas @item_11627#!
2000001,"¿Qué dices?, Vamos al muelle por algunos@item_12541# eh?."
2000002,"Oye, te ves algo cansado, ¿Quieres encontrar un lugar para descansar?"
2000003,"Miras es un lugar realmente maravilloso, espero poder hacer un hogar aquí cuando termine la crisis."
2000004,"No te olvides de comer cuando explores en las afueras, ¡la baja fuerza física pone en peligro la vida!"
2000005,"Estás confundido de nuevo, si tienes algo en mente o encuentras alguna dificultad, ¡puedes contar conmigo!"
2000006,Actualmente no puedes ver rastros de la gran batalla que tomo lugar en las tierras de miras.
2000007,"Los apóstoles del vacío suelen esconderse detrás de las criaturas para robar energía, ¡es realmente abominable!"
2000008,"En las Islas flotantes de Miras hay un animal conocido como ""Pollo Volador"" es gordo y rojo. ¡Aliméntalo con unos melocotones y podrás montarlo para volar!"
2000009,"Si vamos a las islas flotantes, también podremos encontrar aleación de titanio sobre la superficie, si te lo encuentras no dudes en recolectarlo, es un material increíblemente resistente."
2000010,"Algunos bloques incluso pueden cambiar su forma cuando se combinan en una forma específica. Por ejemplo, en las profundidades las aguas termales se forman gracias a una mezcla de piedra con manchas negras."
2000011,"Si mi memoria no me falla, según los estudios los minerales pueden ser extraídos en mejor abundancia entre las capas  10 a 30 de profundidad."
2000012,"Si queremos ir a otros planetas, primero tenemos que reactivar la estación estelar."
2000013,"¡Los pobres salvajes que habitan en miras han sido poseídos por el vacío, debemos rescatarlos lo antes posible!"
2000014,"En el desierto, a menudo se puede ver una sombra negra en la arena amarilla. De hecho, es un escorpión de cola venenosa que se esconde en la arena. ¡Ten cuidado!"
2000015,"Intenta no comer alimentos crudos, ten cuidado o te puede dar una diarrea."
2000016,"Algunas hojas en los arboles altos de la selva tropical brillarán por la noche, recuerda prestar atención a ellos, pueden ser importantes."
