ID,名称
ID,Name
1000001,تبديل الضباب
100001,مفتوح
100002,قريب
10001,مطر ولمعان
10002,يوم مشمس
10003,يوم ممطر
10004,عاصفة رعدية
10005,سوء الاحوال الجوية
10006,ثلج
10007,عاصفة رملية
10008,عاصفه
10009,عاصفة ثلجية
1010001,عمق التبديل المجال
110001,القيمة القصوى
110002,القيمة الدنيا
120001,=
120002,≠
120003,>
120004,<
120005,≥
120006,≤
130001,+
130002,- ماذا ؟
130003,*
130004,/
140001,أقصى نقطة صحية
140002,نقطة الصحة الحالية
140003,انتعاش الحياة
140006,الجوع الحالي
140008,مستوى الأكسجين الحالي
140010,سرعة الحركة
140011,سرعة الجري
140012,سرعة التخفي
140013,سرعة السباحة
140014,اقفز
140015,معدل التهرب
140016,هجوم المشاجرة
140017,هجوم بعيد
140018,دفاع المشاجرة
140019,الدفاع بعيد المدى
140020,نموذج حجم
140022,عدد النجوم
140023,الخبرة الحالية
140024,المستوى الحالي
140025,أقصى قدرة على التحمل
140026,القدرة على التحمل الحالية
140027,القدرة على التحمل معدل استرداد القيمة
140028,الهجوم الجسدي
140029,هجوم عنصري
140030,الدفاع الجسدي
140031,الدفاع العنصري
150001,مازال
150002,حركه
150004,اجري
150005,اقفز
150006,قفزة مزدوجة
150007,خلسة
150011,الهبوط
160001,متحرك
160002,يمكن وضعها الساحات
160003,يمكن التفاعل مع كتل
160004,مكعب التدمير
160005,البنود المتاحة
160006,قابل للهجوم
160007,يمكن أن تتأذى
160008,يمكن قتلو
160009,البنود بيك اب
160010,سقوط مميت
160011,الأصناف التي تستخدم لمرة واحدة
170001,فريق 1 الأحمر
170002,فريق 2 الأزرق
170003,فريق 3 الأخضر
170004,فريق 4 الأصفر
170005,فريق 5 البرتقالي
170006,فريق 6 بيربل
170007,لا فريق
180001,عدد اللاعبين
180002,يسجلي
190001,يمكن تدميرها
190002,يمكن التفاعل مع
190003,يمكن دفعها
190004,البنود القابلة للإسقاط
200001,فاضي
200002,الاستعداد
200003,شنق
200004,هجوم المشاجرة
200005,هجوم بعيد
200006,فولو
200007,السباحة
200008,اهرب
200009,التدمير الذاتي
20001,الشرق
200010,انجذب
200011,تزاوج
20002,الجنوب
20003,الغرب
20004,الشمال
20005,فوق
20006,أسفل
2030001,لا يوجد
2030002,تعطيل الذات
2030003,تعطيل الأولوية الضعيفة
2030004,الكل
2040001,أي فرع فرعي ناجح
2040002,جميع الأفرع الفرعية ناجحة
2050001,لا يوجد
2050002,أي مهمة فرعية تفشل
2050003,فشلت جميع الأفرع الفرعية
2060001,أي
2060002,ودية
2060003,عدائي
2060004,محايد
2070001,أي
2070002,محايد عدائي
2070003,تماسك محايد
2070010,لايوجد فريق.
2070011,الفريق 1 الأحمر
2070012,الفريق 2 الأزرق
2070013,فريق 3 الأخضر
2070014,الفريق 4 الأصفر
2070015,Team 5 برتقالي
2070016,فريق بنفسجي 6
2090001,القريبة
2090002,أمام
2090003,عودة
2100001,تابع المؤلف
2100002,أضف الخريطة إلى المفضلة
2100003,سطر الخريطة
210001,أقصى نقطة صحية
210002,نقطة الصحة الحالية
210003,انتعاش الحياة
210005,الجوع الحالي
210007,مستوى الأكسجين الحالي
210009,سرعة الحركة
210011,سرعة السباحة
210012,قوة القفز
210014,معدل التهرب
210015,هجوم المشاجرة
210016,هجوم بعيد
210017,دفاع المشاجرة
210018,الدفاع بعيد المدى
210019,نموذج حجم
210020,الرؤية
210021,معدل الدوران
210022,الهجوم الجسدي
210023,هجوم العناصر
210024,الدفاع الجسدي
210025,الدفاع العنصري
220001,متحرك
220002,يمكن أن تتعرض للهجوم
220003,يمكن قتلو
220004,البنود بيك اب
220005,سقوط مميت
230001,اختر منطقة في العالم
240001,الموقع في الحدث
240002,نقطة الميلاد
240003,اختيار موقع في العالم
250001,اللاعب الذي أطلق الحدث
250002,هدف اللاعب في الحدث
260001,مكعب الهواء
260002,نوع الكتلة في الحدث
260003,آخر نوع كتلة تم إنشاؤه
270001,نوع البند في الحدث
270002,تم إنشاء نوع العنصر الأخير
280001,القاذف الذي يطلق الحدث
290001,يسقط في الحدث
300001,المخلوق الذي أثار الحدث
300002,المخلوق المستهدف في الحدث
300003,اختيار المخلوقات في العالم
300004,اخر مخلوق خلق
30001,زاوية الرؤية الرئيسية
30002,منظر ظهري
30003,زاوية نظر إيجابية
30004,أعلى زاوية الرؤية
30005,منظور مخصص
30006,منظور العمل
310001,التعبيرات المتحركة في الأحداث
320001,صح
320002,مزيف
330001,الخطيئة
330002,كوس
330003,تان
340001,أنواع التأثير في الأحداث
340002,آخر نوع تأثير تم إنشاؤه
350001,اتجاه إيجابي
350002,الاتجاه الهابط
350003,يمين يسار
350004,الاتجاه الصحيح
350005,إلى الأمام
350006,اتجاه إيجابي
360001,كائن تنفيذ الإجراء
370001,التريبل 1
370002,التريبل 1 (لتر)
370003,التريبل 2
370004,التريبل 2 (ل)
370005,التريبل 3
370006,التريبل 4
