ID,内容
ID,Content
1000000,Ne dormez pas! Réveillez-vous!
1000001,"Tu t'es enfin réveillé, pouf! Cela m'a fait peur!"
1000002,"Cela se passait bien, mais une grande quantité de Void Power s'est soudainement condensée dans la chaîne d'étoiles avant d'arriver à Myra Star!"
1000003,"En un instant, tout le monde fut éparpillé. A l'heure actuelle, il semble que seul nous avons à peine atteint Myra. Je ne sais pas ce qui est arrivé aux autres..."
1000004,"Comment allez-vous, nous ferions mieux de vérifier le statut d'abord."
1000011,"Regardez ceci, cette pièce montre les points de santé et les valeurs d'endurance."
1000012,"Le rouge indique votre niveau de santé actuel. S'il est trop bas, il sera très dangereux. Veuillez toujours y prêter attention!"
1000013,Le jaune est votre force physique restante.
1000014,"S'il est trop bas, il sera très fatigué et l'efficacité sera réduite. Une fois que vous rencontrez un danger, vous risquez d'être débordé, alors faites toujours attention!"
1000021,"En bas se trouve une zone appelée ""barre de raccourcis"". Si vous cliquez sur ces grilles, vous pouvez rapidement basculer entre les éléments que vous tenez."
1000022,"Ton état actuel n'est pas très bon, mangeons de quoi récupérer!"
1000023,Cliquez sur la grille et tenez-la dans votre main.
1000031,"La pièce du bas est une zone appelée ""barre de raccourcis"". Vous pouvez basculer rapidement les éléments dans votre main en appuyant sur les ""touches numériques"" correspondantes."
1000032,"Ton état actuel n'est pas très bon, mangeons de quoi récupérer!"
1000033,"Trouvez la ""clé numérique"" correspondante pour passer à cette grille et tenez-la dans votre main."
1000041,"Regardez! Vous avez la nourriture! Maintenant, appuyez et maintenez le bouton ""utiliser"" pour manger."
1000051,"Regardez! J'ai la nourriture, buhehe. Maintenant, appuyez longuement sur le ""bouton droit de la souris"" pour manger."
1000061,"C'est beaucoup mieux maintenant, vérifions notre condition physique."
1000062,Suivez-moi et faites deux pas en avant. Cliquez sur le joystick pour avancer et vous pourrez avancer.
1000063,"Pas de problème pour aller de l'avant, maintenant revenons un peu en arrière. Cliquez sur le joystick pour repousser pour revenir en arrière."
1000064,"Bien, maintenant allons à gauche. Essayez de pousser la bascule vers la gauche."
1000065,"C'est à droite, enfin à droite. Poussez la bascule vers la droite."
1000071,"C'est beaucoup mieux maintenant, vérifions notre condition physique."
1000072,"Suivez-moi et allez de l'avant. Appuyez sur la touche ""W"" du clavier pour aller de l'avant."
1000073,"Pas de problème pour aller de l'avant, maintenant revenons un peu en arrière. Frappez la touche ""S"" du clavier pour revenir en arrière."
1000074,"OK, maintenant allons à gauche. Essayez de frapper la touche ""A"" du clavier."
1000075,"C'est à droite, enfin à droite. Cliquez sur la touche ""D"" du clavier."
1000081,"Il semble qu'il n'y ait pas de gros problème avec le corps, essayons de sauter ensuite."
1000082,"Appuyez sur ce bouton ""sauter"" pour sauter."
1000083,"Sauter semble normal aussi. Ensuite, je pense... essayez la furtivité. Appuyez sur le bouton ""furtif"" et vous pouvez entrer dans un état furtif."
1000091,"Il semble qu'il n'y ait pas de gros problème avec le corps, essayons de sauter ensuite."
1000092,"Appuyez sur le bouton ""espace"" pour sauter."
1000093,"Sauter semble normal aussi. Ensuite, je pense... essayez la furtivité. Appuyez et maintenez le bouton ""shift"" pour entrer dans l'état furtif."
1000101,"Super, le saut et la furtivité sont très normaux. En restant furtif, nous ne tomberons pas du bord du bloc, rappelez-vous."
1000102,"Il reste un dernier élément à vérifier, essayez de tourner la tête pour regarder ma position."
1000103,"Faites attention à mes instructions, faites glisser l'écran dans ma direction pour tourner, et quand vous serez prêt, nous commencerons."
1000104,"Le premier est à gauche, je suis là, glissez l'écran vers la gauche."
1000105,Puis la droite. Faites glisser l'écran vers la droite.
1000106,"Maintenant, regardons en haut. Faites glisser l'écran pour savoir où je suis, héhé."
1000107,"Ensuite, il y a ce qui suit. Pouvez-vous me trouver?"
1000108,"Enfin, il y a le dos. Cette fois le dessous de course est un peu plus long."
1000111,"Super, le saut et la furtivité sont très normaux. En restant furtif, nous ne tomberons pas du bord du bloc, rappelez-vous."
1000112,"Il reste un dernier élément à vérifier, essayez de tourner la tête pour regarder ma position."
1000113,"Faites attention à mes instructions, déplacez la souris dans ma direction pour diriger, et nous commencerons quand nous serons prêts."
1000114,"La première est la gauche, je suis là, bougez la souris vers la gauche."
1000115,Puis la droite. Déplacez la souris vers la droite.
1000116,"Maintenant, regardons en haut. Déplacez la souris pour trouver où je suis, héhé."
1000117,"Ensuite, il y a ce qui suit. Pouvez-vous me trouver?"
1000118,"Enfin, il y a le dos. Déplacez maintenant la souris un peu plus longtemps."
1000121,"L'examen du corps entier est terminé! Super, tout est normal. Hé, qu'est-ce que c'est que ça?"
1000122,"Il semble que ce soit une maison délabrée, si elle est réparée, elle devrait pouvoir être notre fief provisoire!"
1000131,"Bu Bu, c'est trop loin Bu. Passons rapidement en revue cette mission Bu!"
1000132,"Maintenant, le fantôme du vide est toujours scellé dans le volcan de Myra à la surface."
1000133,"Mais ses apôtres lui ont secrètement envoyé beaucoup de puissance créatrice, et ce sceau est maintenant une bougie dans le vent."
1000134,"Or, c'est justement parce que le fantôme du vide est impatient d'ouvrir la porte triangulaire maintenant, ce qui consomme beaucoup de puissance du vide. C'est le moment idéal pour le détruire!"
1000135,"Mais maintenant, nous devons récupérer les trois clés du sceau du volcan et le sortir de force du sceau avant de pouvoir le détruire."
1000136,"Et ces trois clés sont stockées respectivement sur Myra, Flame Star et Cute Eye Star."
1000137,L'accident pendant le processus de téléportation a déjà perdu tout le matériel que nous avons apporté. Il est fondamentalement impossible de le compléter avec notre matériel actuel.
1000138,"Mais ne vous découragez pas! Je vous ai fixé une série d'objectifs, et ce n'est certainement pas un problème de les suivre!"
1000141,"Regardez ici. C'est la ""boîte de suivi des tâches"", et la tâche avec le suivi activé sera affichée ici."
1000142,"Une fois terminé, il passera automatiquement à la tâche suivante."
1000143,"Si vous souhaitez voir un contenu de tâche plus détaillé, cliquez simplement dessus pour ouvrir le panneau de configuration."
1000144,Cherchez-vous à gagner de l'argent?
2000001,"Vous dites, allons-nous aller à la jetée à l'heure @item_12541#poof."
2000002,"Hey, je vois que tu sembles un peu fatigué, tu veux trouver un endroit pour te reposer?"
2000003,"Le paysage de Myra est vraiment merveilleux, et j'espère faire une maison ici quand la crise sera terminée."
2000004,"N'oubliez pas de manger lorsque vous explorez à l'étranger, une faible force physique met votre vie en danger!"
2000005,"Vous êtes à nouveau dans un état second, si vous avez quelque chose en tête ou rencontrez des difficultés, vous pouvez m'en parler!"
2000006,L'étoile Myra actuelle ne peut pas du tout voir les traces de la guerre.
2000007,"Les apôtres du vide se cachent toujours derrière des créatures pour voler de l'énergie, c'est vraiment abominable!"
2000008,Il y a un animal gras appelé un poulet volant sur l'île Myra Starry Sky. Nourrissez-le de quelques pêches et vous pouvez le monter pour voler!
2000009,"Si vous allez sur l'île vide, vous pouvez déterrer l'alliage de titane exposé à la surface. Ce métal est très dur. N'oubliez pas d'en collecter davantage lorsque vous le rencontrez!"
2000010,"Certains blocs changent de forme lorsqu'ils sont combinés en une forme spécifique, comme une source chaude cachée dans la mer profonde, qui est composée de blocs de pâte noire."
2000011,"Selon les nouvelles détectées, les mines d'argent secrètes sont relativement concentrées dans la position où la hauteur est d'environ 10-30 couches sous le sol!"
