ID,名字,描述
ID,Name,Desc
1,ลูกสัตว์ขี่,สัตว์ขี่ที่มีสกิลนี้เมื่อเล่นในแมพเป็นระยะเวลาหนึ่ง จะเกิดลูกสัตว์ขี่1ตัว ซึ่งมอบให้เพื่อนในห้องได้
2,วิ่ง,ความเร็วในการเคลื่อนที่เพิ่มขึ้น 30% ระหว่างการชาร์จ
3,เดินในน้ำ,เดิน(กระโดดไม่ได้)บนน้ำด้วยความรวดเร็วได้
4,กระโดดสูง,มีความสามารถที่สูงในการกระโดด
5,ลอย,ลอยไปตามลมในอากาศได้
6,เดินในลาวา,เดินบนแมกมาได้
7,พุ่งตัว,หากกดปุ่มกระโดดหลังกระโดด จะพุ่งตัวไปยังฝั่งที่หันไปอย่างเร็ว
9,นั่ง 2 คน,ผู้เล่นนั่งบนสัตว์ขี่ได้ 2 คน~
10,โลดเต้น,กดปุ่มกระโดดต่อเนื่องสามารถบินขึ้น แต่ตกลงมาได้อย่างเร็ว
11,แข็งแกร่ง,มีค่าHPที่ค่อนข้างสูง
12,ลอยน้ำ,ลอยอยู่บนนํ้า
13,ดำน้ำ,สามารถดำน้ำได้
14,ว่ายน้ำ,กดปุ่มกระโดดในนํ้า จะว่ายน้ำไปยังด้านหน้าอย่างรวดเร็ว
15,หุ่นยนต์โจมตี,พุ่งสุดตัวไปข้างหน้าและกระแทก
16,ปืนใหญ่ฟิวชั่น,ยิงจรวดเชิงเส้นตรง
17,บัมเบิลบีสแลช,พุ่งสุดตัวไปข้างหน้าเป็นระยะเวลาหนึ่ง
18,กระโจนเข้าใส่,กดปุ่มกระโดดค้างไว้เพื่อสะสมพลัง นำ buff ช้าลงให้กับสิ่งมีชีวิตที่อยู่ข้างหน้าเมื่อกระโดดลงสู่พื้น
19,คุกคามด้วยกำลัง,กดปุ่มกระโดดค้างไว้เพื่อสะสมพลัง สามารถโจมตีสิ่งมีชีวิตที่อยู่ข้างหน้าให้ถอยหลังระยะสั้นเมื่อกระโดดลงสู่พื้น
20,ล่องลอย,สามารถล่องลอยในอากาศและบินได้ในระยะสั้น และจะไม่ลดเลือดในระหว่างการตก
21,บิน,สามารถบินได้ในระยะไกลในอากาศ และจะไม่ลดเลือดในระหว่างการตก
22,นั่งสองคน,สามารถบรรทุกผู้โดยสารสองคน
