ID,描述
ID,Desc
1,Tidak boleh tidur saat status ini
2,Butuh kasur utk tidur
3,Tak bisa tidur pada siang hari
4,Terlalu jauh dari kantong tidur
5,"Terlalu panas, tidak bisa menuangkan air"
6,Tidak bisa menempatkan kantong tidur di bintang Flamas
7,Butuh lebih banyak peluru
8,Peta sedang diupload/download. Coba lagi nanti.
9,Peta sedang didownload. Coba lagi nanti.
10,"Peta yang dapat disimpan terbatas, silakan hapus beberapa"
11,Peta telah berhasil di share. Ayo ajak temanmu utk download!
12,Koneksi error. Sistem share terputus. Periksa kembali jaringan internet dan coba lagi
13,Pilih peta
14,Permintaanmu sedang diproses. Kamu tidak dapat masuk ke peta sebelum upload selesai
15,"Kamu tak bisa masuk sekarang, peta belum selesai didownload."
16,Yakin hapus peta yang sedang kamu download?
17,Yakin hapus peta ini secara permanen? #cef2d2d (Backup peta juga akan otomatis terhapus) (File yg dihapus tak dapat dikembalikan)
18,Jaringan terputus. Hubungkan WiFi untuk membagikan map.
19,Jaringan terputus. Hubungkan WiFi untuk download map.
20,Jaringan terputus. Hubungkan WiFi untuk update map.
21,Peringatan : Kamu sedang menggunakan kuota dalam bermain. Yakin untuk lanjut? (Kami menyarankan kamu bermain dengan jaringan WIFI)
22,Download gagal karena koneksi error. Sambung ulang internet dan coba lagi
23,Tidak ada map. Share map kamu sekarang.
24,Tak ada peta lain yg difollow
25,"Jumlah follow penuh, silakan hapus beberapa peta terlebih dahulu"
26,Peta telah berhasil ditambahkan. Lihat peta di halaman follow
27,Yakin untuk unfollow?
28,Jumlah download penuh. Silakan hapus beberapa.
29,Gagal download. Periksa kembali jaringan internet dan coba lagi
30,Peta ini telah di rating hari ini. Silakan datang lagi besok.
31,Jumlah likes yang dapat kamu berikan hari ini sudah habis. Datang lagi besok.
32,Peta terbatas : Buat peta secara acak dengan ukuran yang tetap. Cocok utk jenis perangkat biasa.
33,Peta super besar : Buat peta dengan ukuran yg tak terbatas. Cocok utk jenis perangkat yg tinggi.
34,Peta datar : Buat peta dengan bentuk datar. Cocok utk mebuat bangunan.
35,Pilih item utk dibuat
36,Yakin ingin menghapus teman ini?
37,"Koneksi kurang stabil, silakan coba lagi nanti"
38,Sudah berteman
39,Jumlah max teman
40,Dilarang menambahkan diri sendiri
41,Penambahan teman gagal. Silakan coba lagi nanti
42,Teman berhasil dihapus
43,Kamu tidak bisa download peta disini. Silakan balik ke lobby game utk download.
44,Tidak ada teman disekitar. Coba lagi nanti.
45,Pakai huruf/angka sebagai nama akun
46,Nama ini sudah ada (ketuk utk edit)
47,High-end
48,Mid-range
49,Low-end
50,Orang ke-tiga
51,Depan
52,Orang pertama
53,Penglihatan
54,Penglihatan
55,Penglihatan
56,Kotak penyimpanan penuh!
57,Poin tugas akun:
58,Kosong
59,(Survival)
60,(Kreasi)
61,Perlu @1
62,Pembuatan @1 x @2 berhasil
63,Hapus teman
64,@1 adalah temanmu sekarang
65,Keluar dari halaman hias
66,Butuh lebih banyak bintang utk menghias
67,Belum ada properti yang tersedia
68,Properti acak
69,Item ini sudah dihias
70,Item sekunder akan hilang setelah tergabung
71,Simpan item sekunder
72,Silakan pilih item penghias
73,Bintang
74,Mini Coin
75,Item yang dapat dihias :
76,Item primer yg tersedia
77,Item sekunder yg tersedia
78,Tidak ada properti yg cocok
79,@1 telah berhasil dihias
80,Simpan item yg ingin dihias
81,Item yang dihias telah dipindahkan ke tas
82,"Ayo, bertahan hidup di alam bebas! Kumpulkan alat dan bahan. Jelajahi dunia!"
83,Miliki sumber daya alam yang tak terbatas dan buat semuanya sesuai imajinasimu
84,Buat berbagai peta baru\n. Ayo berpetualang!
85,"Kamu belum membuat peta apapun. Buruan ke#cfa7a0f, buat peta\n sekarang!"
86,Lebih banyak peta utk #cfa7a0f download! #n
87,Kamu baru disini? Yuk lihat dulu tutorial newbie dan belajar cara bermain game ini!
88,Pilih karakter\n
89,Pilih karakter
90,"Tutorial belum selesai, lanjut?"
91,Kami menyarankan kamu untuk mempelajari cara bermain di #c0aaa1a peta pembimbing yang disediakan#n
92,Tutorial
93,Mendarat di : underworld
94,Mendarat di : aboveworld
95,Kamu kalah saat bertarung dgn @other
96,Kaki @self keram saat berenang
97,@self menjauh dari benda panas
98,@self jatuh dari ketinggian
99,Kamu perlu baju penerbangan
100,Awas ada kaktus!
101,Kamu hoki banget!
102,Minum susu segar jika Anda keracunan!
103,@self layu seperti bunga
104,Memasuki mode berlari
105,Memasuki mode  menyelinap
106,Ayo masuk ke room yg penuh  pertualangan! Kami tunggu!
107,Room petualangan ini sangat seru!
108,Siapa yg mau masuk ke room pertualanganku?
109,"Kita teman kan? Masuk ke room pertualanganku, yuk!"
110,Siapa yg mau bantu aku gali dan mencari berlian? Datang ke room pertualanganku!
111,"Datang ke room kreasi ku, asik banget loh!"
112,"Datang ke room kreasi  ku, mari berpesta!"
113,Selamat datang ke room kreasi ku
114,Room ini sudah menunggumu lama loh! Silakan masuk..
115,"Di room kreasiku ada rumah mewah loh, ayo lihat!"
116,"Bulan purnama, malam ini sangat spesial"
117,"Bulan sabit, malam ini sangat spesial"
118,"Aku mempunyai banyak item disini, apa yg kamu butuhkan? Kamu jg bisa pergi ke gurun pasir dan padang salju utk mencari saudaraku"
119,Aku tumbuh besar di gurun pasir. Butuh banyak item utk mengubahnya menjadi tempat yang lebih indah
120,"Aku butuh banyak item di padang salju ini, bisakah kamu membantuku?"
121,Terdeteksi kata yang tidak pantas. Silakan tulis ulang.
122,Kotak penyimpanan tuan rumah. Tidak boleh dibuka.
123,Ketik nama baru
