ID,内容
ID,Content
1000000,Не спи! Просыпайся!
1000001,"Наконец-то ты проснулся, пуф! Это напугало меня до смерти!"
1000002,"Все шло хорошо, но большое количество Пустотной Силы внезапно конденсировалось в звездной цепочке, прежде чем прибыть в Миру Стар!"
1000003,"В одно мгновение все рассеялись. В настоящее время кажется, что только мы едва добрались до Майры. Я не знаю, что случилось с остальными..."
1000004,"Как дела, лучше сначала проверить статус."
1000011,"Посмотрите на это, эта часть показывает очки здоровья и ценности выносливости."
1000012,"Красный указывает на ваш текущий уровень здоровья. Если он будет слишком низким, это будет очень опасно. Пожалуйста, всегда обращайте на это внимание!"
1000013,Желтый - это ваша оставшаяся физическая сила.
1000014,"Если он слишком низкий, он будет очень усталым, а эффективность снизится. Как только вы столкнетесь с опасностью, вы можете быть перегружены, поэтому, пожалуйста, всегда обращайте внимание!"
1000021,"Внизу находится область под названием ""панель быстрого доступа"". Если вы нажмете на эти сетки, вы сможете быстро переключаться между удерживаемыми вами предметами."
1000022,"Ваше текущее состояние не очень, давайте есть что-нибудь, чтобы выздороветь!"
1000023,Нажмите на сетку и держите ее в руке.
1000031,"Нижняя часть представляет собой область, называемую ""короткой полосой"". Вы можете быстро переключать предметы в руке, нажав соответствующие ""цифровые клавиши""."
1000032,"Ваше текущее состояние не очень, давайте есть что-нибудь, чтобы выздороветь!"
1000033,"Найдите соответствующий ""цифровой ключ"", чтобы переключиться на эту сетку, и держите ее в руке."
1000041,"Смотреть! У тебя есть еда! Теперь нажмите и удерживайте кнопку ""использовать"", чтобы поесть."
1000051,"Смотреть! Я получил еду, бухехе. Теперь долго нажимайте ""правую кнопку мыши"", чтобы поесть."
1000061,"Сейчас намного лучше, давайте проверим наше физическое состояние."
1000062,"Следуй за мной и сделай два шага вперед. Нажмите на джойстик, чтобы двигаться вперед, и вы сможете двигаться вперед."
1000063,"Нет проблем в будущем, теперь давайте вернемся немного назад. Нажмите на джойстик, чтобы оттолкнуть назад, чтобы вернуться."
1000064,"Хорошо, теперь пойдем налево. Попробуйте подтолкнуть качалку влево."
1000065,"Правильно, наконец вправо. Нажмите на качалку вправо."
1000071,"Сейчас намного лучше, давайте проверим наше физическое состояние."
1000072,"Следуй за мной и иди вперед. Нажмите клавишу ""W"" на клавиатуре, чтобы двигаться вперед."
1000073,"Нет проблем в будущем, теперь давайте вернемся немного назад. Нажмите клавишу ""S"" на клавиатуре, чтобы вернуться."
1000074,"Хорошо, теперь пойдем налево. Попробуйте нажать клавишу ""А"" на клавиатуре."
1000075,"Правильно, наконец, вправо. Нажмите клавишу ""D"" клавиатуры."
1000081,"Кажется, с телом больших проблем нет, попробуем прыгать дальше."
1000082,"Нажмите эту кнопку ""прыжок"", чтобы прыгнуть."
1000083,"Прыжки тоже кажутся нормальными. Далее я думаю... попробуйте стелс. Нажмите кнопку ""стелс"", и вы сможете войти в стелс-состояние."
1000091,"Кажется, с телом больших проблем нет, попробуем прыгать дальше."
1000092,"Нажмите кнопку ""пробел"", чтобы прыгнуть."
1000093,"Прыжки тоже кажутся нормальными. Далее я думаю... попробуйте стелс. Нажмите и удерживайте кнопку ""shift"", чтобы войти в стелс-состояние."
1000101,"Отлично, прыжки и скрытность - это нормально. Оставаясь скрытными, мы не упадем с края блока, помните."
1000102,"Осталось проверить последний пункт, попробуйте повернуть голову, чтобы посмотреть на мое положение."
1000103,"Обратите внимание на мои инструкции, проведите экраном в мою сторону, чтобы повернуться, и когда вы будете готовы, мы начнем."
1000104,"Первый слева, я здесь, проведите экраном влево."
1000105,Затем вправо. Проведите экраном вправо.
1000106,"Теперь давайте посмотрим вверху. Проведите по экрану, чтобы узнать, где я, хе-хе."
1000107,Тогда есть следующее. Можете ли вы найти меня?
1000108,"Наконец, есть задняя часть. На этот раз нижняя часть немного длиннее."
1000111,"Отлично, прыжки и скрытность - это нормально. Оставаясь скрытными, мы не упадем с края блока, помните."
1000112,"Осталось проверить последний пункт, попробуйте повернуть голову, чтобы посмотреть на мое положение."
1000113,"Обратите внимание на мои инструкции, двигайте мышью в моем направлении, чтобы управлять, и мы начнем, когда будем готовы."
1000114,"Первый - левый, я здесь, двигай мышью влево."
1000115,Затем вправо. Переместите мышь вправо.
1000116,"Теперь давайте посмотрим на вершину. Двигай мышью, чтобы найти, где я, хе-хе."
1000117,Тогда есть следующее. Можете ли вы найти меня?
1000118,"Наконец, есть задняя часть. Теперь двигайте мышь немного дольше."
1000121,"Обследование всего тела завершено! Отлично, все нормально. Эй, что это?"
1000122,"Кажется, это полуразрушенный дом, если его отремонтировать, он должен быть нашим временным оплотом!"
1000131,"Бу Бу, это слишком далеко Бу. Давайте быстро рассмотрим эту миссию Бу!"
1000132,Сейчас призрак пустоты все еще запечатан в вулкане Майра на поверхности.
1000133,"Но его апостолы тайно послали ему много творческой силы, и эта печать теперь свеча на ветру."
1000134,"Однако именно потому, что призрак пустоты сейчас стремится открыть треугольную дверь, которая потребляет много энергии пустоты. Сейчас идеальное время, чтобы уничтожить его!"
1000135,"Но теперь нам нужно собрать три ключа от уплотнения вулкана и насильно вытащить его из уплотнения, прежде чем мы сможем его уничтожить."
1000136,"И эти три ключа хранятся на Myra, Flame Star и Cute Eye Star соответственно."
1000137,"Авария во время процесса телепортации уже потеряла все оборудование, которое мы привезли. В принципе невозможно завершить его с нашим текущим оборудованием."
1000138,"Но не унывайте! Я поставил перед вами ряд целей, и следовать им определенно не проблема!"
1000141,"Смотри сюда. Это ""окно отслеживания задач"", и задача с включенным отслеживанием будет отображаться здесь."
1000142,После завершения он автоматически перейдет к следующей задаче.
1000143,"Если вы хотите увидеть более подробный контент задачи, просто нажмите на него, чтобы открыть панель управления."
1000144,"Это первое задание, которое я настроил для вас, давайте сначала соберем @item_11627#."
2000001,"Вы говорите, мы пойдем на пирс в час @item_12541# poof."
2000002,"Эй, я вижу, ты выглядишь немного уставшим, не хочешь найти место для отдыха?"
2000003,"Пейзаж Майры действительно прекрасен, и я надеюсь обосноваться здесь, когда кризис закончится."
2000004,"Не забывайте есть во время учебы за границей, низкая физическая сила опасна для жизни!"
2000005,"Вы снова в оцепенении, если у вас что-то на уме или вы столкнулись с какими-либо трудностями, вы можете рассказать мне об этом!"
2000006,Нынешняя звезда Майры вообще не видит следов войны.
2000007,"Пустые апостолы всегда прячутся за существами, чтобы украсть энергию, это действительно отвратительно!"
2000008,"На Майре Звездное небо есть толстое животное по имени летающая курица. Покормите его несколькими персиками, и вы сможете на нем летать!"
2000009,"Если вы отправитесь на пустой остров, вы можете выкопать открытый титановый сплав на поверхности. Этот металл очень твердый. Не забудьте собрать больше, когда столкнетесь с ним!"
2000010,"Некоторые блоки меняют форму, когда их объединяют в определенную форму, например, горячий источник, скрытый в глубоком море, который состоит из блоков черной мякоти."
2000011,"Согласно обнаруженным новостям, секретные серебряные рудники относительно сконцентрированы в положении, где высота составляет около 10-30 слоев под землей!"
2000012,"Если мы хотим полететь на другие планеты, мы должны сначала активировать звездную станцию."
2000013,"Эти бедные дикари были уничтожены силой пустоты, и мы должны спасти их как можно скорее!"
2000014,"В пустыне часто можно увидеть черную тень на желтом песке. На самом деле, это ядовитохвостый скорпион, прячущийся в песке. Будьте осторожны!"
2000015,"Старайтесь не есть сырую пищу, будьте осторожны, что у вас будет диарея."
2000016,"Некоторые листья высоких деревьев в тропическом лесу будут светиться ночью, не забудьте обратить внимание на морскую свинью."
2000017,"На звезде Мира есть музыкальный инструмент под названием суона. Я слышал, что звук очень характерный. Давайте попробуем."
2000018,"Хотя сила звездной энергии и руны также происходят от силы творения, окончательное направление применения совершенно другое."
2000019,"Давайте рассмотрим цель этой поездки. Сейчас самое подходящее время, чтобы устранить призрак пустоты, но вам нужно получить священный плод, пылающий сломанный меч и глаз каменного человека, чтобы насильно вытащить призрак пустоты из вулканического алтаря."
2000020,"Никогда не стойте на облаке, оно не выдержит такого веса!"
2000021,"Если мы пойдем к пылающей звезде, мы сможем выкопать звездную энергетическую руду!"
2000022,"Говорят, что в пустыне иногда мы можем встретить группу бизнесменов, их цель - отправиться в оазис, чтобы заниматься бизнесом, мы можем следовать за ними, чтобы найти оазис."
2000023,"Если дикий партнер, к сожалению, умирает, не забудьте найти оставленный ими пакет, сувениры внутри записывают истории их жизни."
2000024,"При посадке растений не забывайте различать тип растений. Урожай можно высаживать только на пахотной земле, а цветы и деревья необходимо высаживать в ямах почвы."
2000025,Ночь на улице на Мире очень опасна. Не рекомендуется действовать ночью. Мы можем спать и просыпаться на рассвете.
2000026,"Вы заметили, что уши зверя Воворта одни большие и одни маленькие? Это так мило ~"
2000027,"Не забудьте надеть гидрокостюм при подводной деятельности, чем глубже вода, тем выше давление воды, и тело не сможет его выдержать."
2000028,"Глубокое море содержит другой минерал, который может сделать стекло более твердым."
2000029,"Прошло много времени, и кажется, что память немного изношена. Священный плод находится в теле бога Перьевого Змея, пылающий сломанный меч должен пройти испытание черным драконом, а глаз каменного человека - центр управления древним гигантом."
2000030,"Если это кошмар, надеюсь скоро проснуться."
2000031,"Экологическая структура здесь сильно изменилась, я должен обновить информацию."
2000032,"Рождение жизни действительно совпадение, даже планета с тонким кислородом, такая как Cute Eye Star, может родить жизнь, что действительно удивительно!"
2000033,"Пылающая звезда находится так близко к звезде, что без огнеупорного рюкзака ходить было бы невозможно."
2000034,"Не забудьте поздороваться с местными жителями, которые сталкиваются с Мирой."
2000035,"В первой пустотной войне давным-давно древние гиганты были конечным боевым оружием первых, сражаясь против пустых сил в течение нескольких лет!"
2000036,"Элементарные формы жизни, такие как Песочный Дух и Приветствие Майры, в основном управляются рунной силой, которая принципиально отличается от форм жизни, таких как Рами и я, управляемых звездной энергией!"
2000037,"Ты выглядишь таким тихим, о чем ты думаешь?"
2000038,"Глядя на тебя так, кажется немного хлопотно. Почему бы нам не пойти погулять. Может, откроем что-то новое!"
2000039,"Хотя я не могу помочь тебе победить врага, я всегда буду рядом с тобой и полностью поддерживаю тебя духом!"
2000040,"Человеческое воображение бесконечно, и только постоянно исследуя, мы можем открыть для себя больше возможностей."
2000041,Иногда нам нужно побыть в одиночестве и хорошо успокоить свои сердца.
2000042,"Неудача не страшна, ужасно то, что ты сдаешься из-за неудачи. Давай, найди правильный путь, я верю, что ты сможешь это сделать!"
2000043,"Каждый выбор принесет разные результаты, поэтому нам нужно тщательно подумать и принимать мудрые решения."
2000044,Будьте готовы иметь дело с неожиданными ситуациями в любое время и не воспринимайте это легкомысленно.
2000045,"Всякий раз, когда вы выходите на улицу, не забывайте брать с собой оборудование и расходные материалы, в случае опасности вы можете справиться с этим более спокойно."
2000046,"Не забудьте вовремя отремонтировать оборудование, чтобы обеспечить его срок службы. Неважно, если вы забудете его отремонтировать, вы можете сделать еще один."
2000047,"Климат и окружающая среда в некоторых местах могут повлиять на нас, поэтому мы должны обратить внимание на своевременную корректировку."
2000048,"Привет, что ты делаешь? Хотите поиграть вместе?"
2000049,"Ты потерялся? Посмотрите на небольшую карту в правом верхнем углу, она может сказать вам направление."
2000050,"Не забывайте собирать фрукты на дереве по своему желанию, это лучшая еда."
2000051,"Обратите внимание на безопасность на дороге, сохраняйте больше звезд и бойтесь опасности."
2000052,"Не бойтесь, сталкиваясь с трудностями, смело сталкивайтесь с ними!"
2000053,"О, о, небо на этой планете такое красивое!"
2000054,"Если вы чувствуете усталость или замешательство, не волнуйтесь, я всегда буду рядом с вами!"
2000055,"Ты не один, я здесь с тобой! Есть и потерянные партнеры, они тоже ждут тебя в будущем путешествии!"
2000056,"Знаете ли вы, что проклятые дикари засыпают днем?"
2000057,Иногда вам все равно нужно проверить оборудование на вашем теле.
2000058,"Иногда неудача - это неплохо, она заставит вас расти лучше."
2000059,"Бабочки Майры превратят траву в цветы, но они переполнятся, если не будут осторожны."
3001001,"""@item_588#"" Проверка настроек завершена! Статус нормальный! К счастью, фантом пустоты нас еще не нашел, будьте осторожны."
3001002,"""@item_589#"" Настройки проверены! Статус нормальный!"
3001003,"""@item_587#"" Настройки проверены! Статус нормальный!"
3001004,Наконец-то я могу встретиться лицом к лицу с призраком пустоты! Приготовьтесь к бою!!
3001005,Большой! После победы над призраком пустоты мини-вселенная наконец-то в безопасности!
3001006,"Призрак пустоты, кажется, что-то уронил поблизости, так что ищите его внимательно."
3001007,"Это @item_11333# poof, но, похоже, он проник в старлинк."
3001008,"Тем не менее, мы можем использовать его для связи с отремонтированной звездной станцией и попробовать."
3002001,"Очень хорошо, @item_11627# собрал часть!"
3002002,"Вы можете выкопать еще несколько кусочков для подготовки или открыть панель управления, чтобы получить вознаграждение за задание прямо сейчас."
3002003,"Я обновил для вас новое задание, @item_11627# достаточно, чтобы вырезать какое-то @item_11006#."
3002004,"Кажется, что @item_11323# также собрал его, попробуйте открыть панель управления, чтобы обработать @item_11002#!"
3002005,"Этот @item_11002# выглядит очень хорошо, теперь рубить дрова должно быть намного быстрее, чем раньше."
3002006,"Найди дерево и попробуй, на этот раз нам не нужны ветки, давай срубим ствол и соберём немного @item_11323#."
3002007,"Ха! С этими @item_11323# мы можем обрабатывать @item_206#! Майра ночью очень опасна, приходится быстро возводить временный оплот."
3002008,"Помните полуразрушенное здание возле Звездного вокзала, когда мы впервые прибыли?"
3002009,"Если мы отремонтируем это здание с помощью @item_206#, возможно, его можно будет использовать в качестве нашего временного оплота!"
3002010,"Немного удивительно разговаривать с вами в чате, хе-хе. Вы можете смотреть, как я ""говорю"", делая что-то. Иди и поставь @item_206#."
3002011,"Созданные опорные пункты можно использовать только для обороны, вам также нужно удобное оружие на случай чрезвычайных ситуаций. Обработайте @item_12012#, он вам понадобится."
3002012,"Как насчет этого? С @item_12012# боевая эффективность была значительно улучшена. Однако каменное оружие может поддерживать только наш нынешний этап боя, и мы должны продолжать укреплять себя!"
3002013,"Кстати, чтобы благополучно пережить ночь, нам также нужно немного освещения."
3002014,"Давайте соберем @item_11226# и @item_11323#, чтобы мы могли обработать @item_298#."
3002015,"Сейчас есть источник света. Но такого рода маленький фонарик долго не горит, если будет @item_1200#, будет безопаснее."
3002016,"Я помню, что в полуразрушенном здании есть @item_1200#, вы можете использовать @item_298#, чтобы зажечь его и попробовать."
3002017,"(Аплодисменты) @item_1200# Так тепло ~ Видя, как этот обнадеживающий свет выходит бессознательно ~"
3002018,Световое оборудование готово! Следующий шаг самый важный @item_828#! С @item_828# можно почувствовать рассвет!
3002019,"Я чуть не забыл, что @item_800# не может сделать @item_828#, мы все еще должны сделать @item_800# первым."
3002020,"Хотя этот @item_800# не так уж и полон, он уже может сделать больше!"
3002021,"Попробуйте ""свежеиспеченный"" @item_800#, просто нажмите на него, чтобы открыть страницу обработки."
3002022,"Сырье для изготовления @item_828# должно быть незаменимым, достаточно ли @item_11226# и @item_11006#?"
3002023,"На этот раз все, наконец, готово, просто нажмите @item_828#, чтобы лечь."
3002024,"Но вам нужно обращать внимание на время в правом верхнем углу, не забывайте, что вы можете использовать только @item_828# после 18: 00, чтобы пропустить ночь!"
3002025,"Когда придет время, не забудьте поспать. Сначала я сделаю перерыв. Если вы хотите что-то обработать, просто нажмите кнопку ниже, которая очень похожа на меня, и зовите меня Бу ~"
3003001,"Мясо приготовлено!! Возьми мясо и ешь его, не сжигай."
3003002,"Он такой ароматный ~ Ненавистный дизайнер не установил для меня модуль для еды. Теперь я могу только чувствовать вкус и не могу его есть. Я очень надеюсь, что однажды я тоже смогу полакомиться им."
3003003,После еды вы должны быть более энергичными! Пришло время обновить наши инструменты и оборудование.
3003004,"Во-первых, нам нужно собрать сырье для модернизации, @item_11201# и @item_11329# незаменимы."
3003005,"Но если вы хотите их получить, вы должны сначала подготовить специальные инструменты для майнинга, @item_11012#! Сначала сделайте @item_11012#, а я продолжу позже."
3003006,"Делать вещи становится все более и более искусным, хе-хе ~ С @item_11012# теперь вы можете заняться майнингом ~"
3003007,"Давайте сначала соберем @item_11201#, @item_402# обычно распространяется в подземелье Майры Стар, и копать очень глубоко не нужно. Они находятся на относительно мелководье и редко распространены на поверхности."
3003008,"Поверхность руды в основном рассеянные синие кристаллы, которые относительно легко найти."
3003009,"Вы можете найти его на земле или выкопать небольшой туннель, он должен быть найден в ближайшее время. Ну давай же!"
3003010,"Нашел @item_402# так быстро, есть ли у тебя талант к майнингу?"
3003011,"Шучу, пошли искать @item_11329# прямо сейчас!"
3003012,"Распределение @item_451# мало чем отличается от распределения @item_402#, а поверхность руды в основном усеяна осколками оранжево-желтого металла, что вполне узнаваемо."
3003013,"Может быть, я только что видел его, когда копал @item_402# ~ Но руды не слишком много, давайте соберем еще."
3003014,Действительно ли есть талант к майнингу?! Нашел @item_451# так быстро.
3003015,"Теперь, когда все сырье собрано вместе, следующим шагом является плавка минералов."
3003016,"Выплавка займет некоторое время. Чтобы быть в безопасности, мы можем сначала вернуться на базу. Если вы хотите повысить эффективность, не кажется большой проблемой решить ее на месте."
3003017,"Сначала сделаем @item_802#, об остальном поговорим позже."
3003018,"Если вы получаете @item_802#, вы можете пахнуть минералы. Решите, где пахнуть, и выпустите @item_802#."
3003019,"После выпуска просто нажмите квадрат @item_802#, чтобы открыть интерфейс плавки."
3003020,"Затем вставьте @item_451 и @item_11201#, которые мы только что собрали, и все будет хорошо. Когда будете готовы, начните выплавку."
3003021,"Ой! @item_11329# выплавлен, откройте @item_802# переработайте его."
3003022,Плавильный стол из камня можно выплавлять только один за другим. После этого @item_11329# может сделать латунный плавильный стол для повышения эффективности.
3003023,"Но это все другое, давайте сначала воспользуемся этой партией @item_11329#, чтобы обновить инструменты. С @item_11011# эффективность майнинга будет намного выше!"
3003024,"Поздравляем! Похоже, вы выполнили все миссии по цели ""Новый исследователь"", а не новичок сейчас!"
3003025,Есть еще много способов выжить в дикой природе. Я добавил их в панель управления. Вы можете открыть их для подтверждения.
3003026,"Но не забывайте о нашей конечной цели, вся мини-вселенная сейчас в опасности, а задача спасения мира лежит на наших плечах, и мы не можем относиться к этому легкомысленно."
3003027,"Обычно я отдыхаю в космическом мезонине, просто позвоните мне, если вам это нужно. Продолжайте отправляться, когда будете готовы!"
3004001,"Бу Бу, ты на самом деле сделал @item_11032#. Теперь вы можете обрабатывать пахотные земли для выращивания сельскохозяйственных культур, и душа сельского хозяйства горит Бу!"
3004002,"Растениям нужно подождать некоторое время, чтобы созреть после посадки, если вы хотите, чтобы они росли быстрее, вы можете взять немного @item_11311# для их удобрения."
3004003,"Текстура @item_812# недостаточно твердая, и ее легко повредить дикари. Если вокруг крепости будет круг перил, будет намного безопаснее."
3004004,"Если я поставлю звезду @item_104#, я смогу записать это место. Если в будущем будет какая-то опасность, я могу принудительно отправить вас обратно."
3004005,"Поздравляем с достижением еще одной большой цели!! Пришло время сделать шаг вперед и посмотреть, какие новые задачи есть!"
3005001,"Эти кожицы очень прочные, если их перерабатывать в медное оборудование вместе с @item_11329#, это точно поможет нам выжить в дикой природе!"
3005002,"Хе-хе, этот набор оборудования кажется более величественным, чем раньше. Всего есть 4 предмета латунного оборудования, и было бы еще мощнее, если бы его можно было собрать."
3005003,"Оружие и доспехи готовы, пришло время преподать урок Апостолам Пустоты! Эти плохие парни повсюду воруют творческую силу, и их нужно быстро остановить!"
3005004,"@item_11911#, брошенный Апостолами Пустоты, сгущен из творческой силы, которую они украли. Если вы установите его на @item_800#, вы можете получить @item_797#!"
3005005,"Нажмите на @item_797#, чтобы увидеть все рецепты! Но есть еще некоторые реквизиты, которые нужно найти на рисунках, чтобы разблокировать, так что уделяйте больше внимания будущему путешествию."
3005006,"Плавильный стол был модернизирован, и теперь за один раз можно выплавить два минерала! Идем искать @item_401#, @item_11209# он выплавляет очень важный металл!"
3005007,"С @item_11209# мы можем делать больше вещей, подойдите к столу мастера, чтобы посмотреть, что нового можно сделать!"
3005008,"Теперь скорость рытья должна быть очень высокой, мы можем уйти под землю, чтобы выкопать несколько мин, прежде чем делать @item_785#!"
3005009,"Согласно записям, рунный камень - это минерал, уникальный для Майры. При инкрустации на оружие или инструменты он может получить неожиданную силу!"
3005010,Ооо! Вы изучили все основы выживания на Мире!
3005011,"Следующий... подожди минутку, дай мне взглянуть... Ой, пришло время ремонтировать звездную станцию."
3005012,"Или, если есть что-то еще, что вы хотите сделать, просто нажмите на поле отслеживания задач на экране, чтобы увидеть другие задачи!"
3006001,"Позвольте мне увидеть, что эти энергетические фрагменты долгое время спят в земле, и, надеюсь, их можно будет объединить в энергетическое ядро."
3006002,"У меня действительно получилось! Ядро в руках, и теперь мне нужно найти @item_11334#. База данных показывает, что оно находится в экологии пустого острова, поехали."
3006003,"Это действительно впечатляюще. Но остров такой высокий. Нам придется придумать, как туда подняться. Давайте сначала осмотримся."
3006004,"Как этот парень с крыльями получил так много фишек, но он, наконец, получил их, теперь он может обрабатывать @item_11335#."
3006005,"Компоненты и ядро готовы, пришло время починить звездную станцию! Присмотритесь к описанию реквизита @item_11331#!"
3006006,"О, консоль успешно активирована! Эта звездная станция снова подключена к звездной ссылке, используйте @item_11335# для обновления модуля телепортации!"
3006007,"Соединение прошло успешно! Эта звездная станция восстановила функцию межпланетной передачи. Отремонтируйте еще несколько звездных станций, и наше путешествие станет удобнее."
3006008,"Итак, вы готовы, пришло время найти ""Три священных предмета""! Ознакомьтесь с последними обновленными миссиями."
3007001,"Похоже, мы нашли тропический лес. Тропический лес полон опасностей, вы должны быть осторожны."
3007002,"Эти @item_11601# - кристаллы, осажденные избыточной творческой силой внутри деревьев тропического леса, и @item_11329# может создать @item_11597#."
3007003,"Недавно обработанный @item_11597# является ключом к храму, но нам нужно найти правильный храм, чтобы активировать идола, давайте заглянем в тропический лес."
3007004,"Это Храм Тропического леса?! Хотя я видел это в материалах, фактическое ощущение того, что я его вижу, все еще довольно шокирует!"
3007005,"Монстр, известный как ""Пернатый змей"", находится внутри храма, и если вы хотите получить @item_591#, вы должны сначала победить его. Вы готовы?"
3007006,"Быстро ищите, что Бог Перьевой Змеи сбросил на близлежащую землю, не падайте в магму..."
3007007,"Священный плод на самом деле переваривался в теле Бога Перьевого Змея, и остались только семена. Найдите пустое место, чтобы посадить его."
3007008,"Такое маленькое семя может вырасти в такое огромное дерево! Плод должен быть близко к кроне, поэтому мы должны найти способ подняться."
3007009,"Наконец-то получил @item_591#, тяжелая работа. Будьте осторожны, когда спускаетесь, я немного боюсь высоты по пути..."
3007010,"О-хо-хо, эти крылья такие красивые, они намного безопаснее при падении с высоты."
3007011,"Эта пыль такая красивая и блестящая, такого же цвета, как моя, хе-хе."
3007012,"Это то, что держит дикий священник, как будто чего-то не хватает."
3007013,"Такой красивый, попробуй посмотреть, какие вещи можно запустить."
3008001,"Боже, это Пылающая Звезда? В этом месте слишком жарко. Это так близко к солнцу."
