"序号","中文名称","英文名称","繁体中文名字","泰语","西班牙语","巴西葡萄牙语","法语","阿拉伯语","日语","韩语","越南语","俄语","土耳其语","意大利语","德语","印尼语"
"No","Name","ENName","TWName","THAName","ESNName","PTBName","FRAName","ARAName","JPNName","KORName","VIEName","RUSName","TURName","ITAName","GERName","INDName"
1,"迷你號","Please enter your UID","迷你號","UID","Introducir UID","Insira UID","Entrer UID","Please enter your UID","UID","당신의 UID를 입력하십시오","Số UID","Введите UID","Lütfen UID'nızı giriniz","Inserisci il tuo UID","Bitte geben Sie Ihre UID","Masukkan UID Anda"
2,"密碼","Password","密碼","รหัสผ่าน","Contraseña","Senha","Mot de passe","Password","パスワード","암호","Mật khẩu","пароль","Şifre","Parola d'ordine","Passwort","Kata sandi"
3,"pluginres\btn_text_tw.png","pluginres\btn_text_en.png","pluginres\btn_text_tw.png","pluginres\btn_text_tha.png","pluginres\btn_text_esn.png","pluginres\btn_text_ptb.png","pluginres\btn_text_fra.png","pluginres\btn_text_en.png","pluginres\btn_text_jpn.png","pluginres\btn_text_kor.png","pluginres\btn_text_vie.png","pluginres\btn_text_rus.png","pluginres\btn_text_tur.png","pluginres\btn_text_ita.png","pluginres\btn_text_ger.png","pluginres\btn_text_ind.png"
4,"記住賬號","Remember UID","記住賬號","จดจำ UID","Recordar UID","Lembre-se UID","Rappelez-vous UID","Remember UID","UIDを覚える","UID를 기억","Ghi nhớ UID","Запомнить UID","UID'yi hatırla","Ricordate UID","Denken Sie daran, UID","Ingat UID"
5,"已閱讀並同意","I agree to the","已閱讀並同意","ฉันเห็นด้วย","Acuerdo","Eu concordo com","Accord","I agree to the","読んで同意する","나는 동의 함","Đồng ý","Я согласен","Katılıyorum","Accordo","Vereinbarung","Saya setuju dengan"
6,"pluginres\btn_policy_tw.png","pluginres\btn_policy_en.png","pluginres\btn_policy_tw.png","pluginres\btn_policy_tha.png","pluginres\btn_policy_esn.png","pluginres\btn_policy_ptb.png","pluginres\btn_policy_fra.png","pluginres\btn_policy_en.png","pluginres\btn_policy_jpn.png","pluginres\btn_policy_kor.png","pluginres\btn_policy_vie.png","pluginres\btn_policy_rus.png","pluginres\btn_policy_tur.png","pluginres\btn_policy_ita.png","pluginres\btn_policy_ger.png","pluginres\btn_policy_ind.png"
7,"請選擇問題","Please select questions","請選擇問題","กรุณาเลือกคำถาม","Elija pregunta","Selecione as perguntas","Choisissez question","Please select questions","質問を選んでください","질문을 선택하세요","Hãy chọn câu hỏi","Выберите вопросы","Lütfen soruları seçin","Si prega di selezionare le domande","Bitte wählen Sie Fragen","Silakan pilih pertanyaan"
8,"請輸入答案","Please enter your answer","請輸入答案","กรุณากรอกคำตอบ","Introduzca la respuesta","Coloque sua resposta","Entrez la réponse","Please enter your answer","答えを入力してください","답변을 입력하세요","Nhập câu trả lời","Введите ответ","Lütfen cevabınızı yazınız","per favore inserisci LA TUA RISPOSTA","Bitte gib deine Antwort ein","tolong masukan jawaban anda"
9,"pluginres\btn_num_tw.png","pluginres\btn_num_en.png","pluginres\btn_num_tw.png","pluginres\btn_num_tha.png","pluginres\btn_num_esn.png","pluginres\btn_num_ptb.png","pluginres\btn_num_fra.png","pluginres\btn_num_en.png","pluginres\btn_num_jpn.png","pluginres\btn_num_kor.png","pluginres\btn_num_vie.png","pluginres\btn_num_rus.png","pluginres\btn_num_tur.png","pluginres\btn_num_ita.png","pluginres\btn_num_ger.png","pluginres\btn_num_ind.png"
10,"讓你印象深刻的人","Most impressive person","讓你印象深刻的人","คนที่ทำให้คุณประทับใจ","Persona Más Impresionante","Pessoa mais impressionante","Personne le plus impressionnant","Most impressive person","一番印象深い人","가장 인상적인 사람","Người để lại ấn tượng sâu sắc nhất với bạn","Величайший человек","En etkileyici insan","persona più impressionante","Am eindrucksvollsten Person","orang yang paling mengesankan"
11,"您最喜歡的食物","Your favourite food","您最喜歡的食物","อาหารโปรดของคุณ","Tu Comida Favorita","Sua comida favorita","Ton repas préféré","Your favourite food","大好きな食べ物","좋아하는 음식","Món ăn bạn thích nhất","Любимое блюдо","En sevdiğin yemek","Il tuo cibo preferito","Ihr Lieblingsessen","makanan favorit Anda"
12,"您最喜歡的動物","Your favourite animal","您最喜歡的動物","สัตว์ที่คุณชอบ","Tu Animal Favorito","Seu animal favorito","Votre animal préféré","Your favourite animal","大好きな動物","좋아하는 동물","Con vật bạn thích nhất","Любимое животное","En sevdiğin hayvan","Il tuo animale preferito","Ihr Lieblingstier","hewan favorit Anda"
13,"您最想去的地方","The most eager visit place","您最想去的地方","ที่ที่คุณอยากไปมากที่สุด","Lugar favorito para visitar","Lugar favorito para visitar","endroit préféré à visiter","The most eager visit place","一番行きたいところ","가장 열망 방문 장소","Nơi bạn muốn đến nhất","Самый нетерпеливый визит место","En istekli ziyaret yeri","Il luogo visita più ansiosi","Die eifrigsten Besuch statt","Yang paling bersemangat mengunjungi tempat"
14,"您的第一份禮物","Your first gift","您的第一份禮物","ของขวัญชิ้นแรกของคุณ","Tu primer regalo","Seu primeiro presente","Votre premier cadeau","Your first gift","最初もらえたギフト","첫 번째 선물","Món quà đầu tiên của bạn","Первый подарок","İlk hediyen","Il tuo primo dono","Ihr erstes Geschenk","hadiah pertama Anda"
15,"您的幸運號碼","Your lucky number","您的幸運號碼","เลขนำโชคของคุณ","Tu número de suerte","Seu número da sorte","Votre numéro chanceux","Your lucky number","ラッキーナンバー","당신의 행운의 숫자","Số may mắn của bạn","Счастливое число","Şanslı numaran","Il tuo numero fortunato","Ihre Glückszahl","angka keberuntungan Anda"
16,"快速進入","Quick Play","快速進入","Quick Play","Nueva Cuenta","Jogo Rápido.","Nouveau compte","Quick Play","早めに遊ぶ","빠른 플레이","Đăng nhập ngay","Быстрая игра","Hızlı Gir","Partita veloce","Schnelles Spiel","Quick Play"
17,"認證失敗","Incorrect Password","認證失敗","รหัสผ่านไม่ถูกต้อง","Contras. Incorrecta","Senha Incorreta","Cons. incorrect","Incorrect Password","認証失敗","잘못된 비밀번호","Mật khẩu không đúng","Неверный пароль","Yanlış parola","Password errata","Falsches Passwort","Kata kunci Salah"
18,"連接中","Connecting","連接中","กำลังเชื่อมต่ออยู่","Conectando","Conectando","de liaison","Connecting","接続中","연결","Kết nối","Соединительный","Bağlanıyor","Collegamento","Anschließen","menghubungkan"
19,"pluginres\btn_orange_e1_tw.png","pluginres\btn_orange_e1_en.png","pluginres\btn_orange_e1_tw.png","pluginres\ty4.png","pluginres\btn_orange_e1_esn.png","pluginres\btn_orange_e1_ptb.png","pluginres\btn_orange_e1_fra.png","pluginres\btn_orange_e1_en.png","pluginres\btn_orange_e1_jpn.png","pluginres\hy4.png","pluginres\yn1.png","pluginres\btn_orange_e1_rus.png","pluginres\tur1.png","pluginres\btn_orange_e1_ita.png","pluginres\btn_orange_e1_en.png","pluginres\btn_orange_e1_en.png"
20,"pluginres\btn_quickplay_tw_h.png","pluginres\btn_quickplay_en_h.png","pluginres\btn_quickplay_tw_h.png","pluginres\btn_quickplay_en_h.png","pluginres\btn_quickplay_esn_h.png","pluginres\btn_quickplay_ptb_h.png","pluginres\btn_quickplay_fra_h.png","pluginres\btn_quickplay_en_h.png","pluginres\btn_quickplay_jpn_h.png","pluginres\btn_quickplay_kor_h.png","pluginres\btn_quickplay_vie_h.png","pluginres\btn_quickplay_rus_h.png","pluginres\btn_quickplay_tur_h.png","pluginres\btn_quickplay_ita_h.png","pluginres\btn_quickplay_ger_h.png","pluginres\btn_quickplay_en_h.png"
21,"pluginres\btn_quickplay_tw_n.png","pluginres\btn_quickplay_en_n.png","pluginres\btn_quickplay_tw_n.png","pluginres\btn_quickplay_en_n.png","pluginres\btn_quickplay_esn_n.png","pluginres\btn_quickplay_ptb_n.png","pluginres\btn_quickplay_fra_n.png","pluginres\btn_quickplay_en_n.png","pluginres\btn_quickplay_jpn_n.png","pluginres\btn_quickplay_kor_n.png","pluginres\btn_quickplay_vie_n.png","pluginres\btn_quickplay_rus_n.png","pluginres\btn_quickplay_tur_n.png","pluginres\btn_quickplay_ita_n.png","pluginres\btn_quickplay_ger_n.png","pluginres\btn_quickplay_en_n.png"
22,"pluginres\option1_1_tw.png","pluginres\option1_1_en.png","pluginres\option1_1_tw.png","pluginres\ty1.png","pluginres\option1_1_esn.png","pluginres\option1_1_en.png","pluginres\option1_1_fra.png","pluginres\option1_1_en.png","pluginres\option1_1_jpn.png","pluginres\option1_1_kor.png","pluginres\option1_1_en.png","pluginres\option1_1_rus.png","pluginres\option1_1_en.png","pluginres\option1_1_ita.png","pluginres\option1_1_en.png","pluginres\option1_1_en.png"
23,"pluginres\option1_2_tw.png","pluginres\option1_2_en.png","pluginres\option1_2_tw.png","pluginres\ty2.png","pluginres\option1_2_esn.png","pluginres\option1_2_en.png","pluginres\option1_2_fra.png","pluginres\option1_2_en.png","pluginres\option1_2_jpn.png","pluginres\option1_2_kor.png","pluginres\option1_2_en.png","pluginres\option1_2_rus.png","pluginres\option1_2_en.png","pluginres\option1_2_ita.png","pluginres\option1_2_en.png","pluginres\option1_2_en.png"
24,"pluginres\option1_3_tw.png","pluginres\option1_3_en.png","pluginres\option1_3_tw.png","pluginres\ty3.png","pluginres\option1_3_esn.png","pluginres\option1_3_en.png","pluginres\option1_3_fra.png","pluginres\option1_3_en.png","pluginres\option1_3_jpn.png","pluginres\option1_3_kor.png","pluginres\option1_3_en.png","pluginres\option1_3_rus.png","pluginres\option1_3_en.png","pluginres\option1_3_ita.png","pluginres\option1_3_en.png","pluginres\option1_3_en.png"
25,"pluginres\en01.png","pluginres\en01.png","pluginres\en01.png","pluginres\en01.png","pluginres\en01.png","pluginres\en01.png","pluginres\en01.png","pluginres\en01.png","pluginres\en01.png","pluginres\en01.png","pluginres\en01.png","pluginres\en01.png","pluginres\en01.png","pluginres\en01.png","pluginres\en01.png","pluginres\en01.png"
