姓或形容词，显示在前,名，只男角色随机，显示在后,名，只女角色随机，显示在后
Surname,Male,Female
ไก่,หล่อ,สวย
แก้ว,เท่ห์,น่ารัก
ตาล,ซุกซน,งดงาม
กล้วย,ซ่า,สดใส
แตงโม,เฟี้ยว,เรียบร้อย
ทุเรียน ,ฉลาด,ไฉไล
น้อยหน่า,ขยัน,มีเสน่ห์
บลูเบอร์รี่,ขึ้เกียจ,เก๋
บ๊วย,สุภาพ,มอมแมม
เบอรี่,บ้าคลั่ง,ร่าเริง
พลับ,โรแมนติก,แจ่มใส
พลัม,ว่องไว,เขินอาย
พุทรา,สง่า,เบิกบาน
ลูกแพร,เย็นชา,ใจกว้าง
มะกอก,ก้าวร้าว,ดื้อ
มะขาม,อดทน,ฟรุ้งฟริ้ง
มะตูม,ใจร้อน,ดี้ด้า
มะปราง,ใจเย็น,เรี่ด
มะพร้าว,,
มะเฟือง,,
มะไฟ,,
มะม่วง,,
มะยม,,
มะละกอ,,
มังคุด,,
ราสเบอร์รี่,,
ลองกอง,,
ละมุด,,
ลำไย,,
ลิ้นจี่,,
สตรอเบอร์รี่,,
ส้ม,,
สละ,,
สับปะรด,,
สาลี่,,
เสาวรส,,
ลูกหว้า,,
องุ่น,,
แอปเปิล,,
กระต่าย,,
กุ้ง,,
เก้า,,
กร,,
กันต์,,
กาย,,
กริช,,
กานต์,,
กาฟิว,,
กังฟู,,
กราฟ,,
กล้า,,
กัส,,
โกลด์,,
กิลล์,,
เกรฟ,,
เก่ง,,
เจ๋ง,,
กันดั้ม,,
ขนมต้ม,,
ขุนพล,,
ไข่ตุ๋น,,
คิม,,
คีย์,,
คอมพ์,,
คูล,,
คูเปอร์,,
คิว,,
คอปเปอร์,,
ค็อกเทล,,
ชัตเตอร์,,
ชอปเปอร์,,
ชาร์ป,,
ทราย,,
ซอฟต์,,
แซนดี้,,
เซียน,,
เซนท์,,
เซฟ,,
โซดา,,
ดราก้อน,,
ไตตั้น,,
โตโต้,,
ติวเตอร์,,
ตังตัง,,
ไทเกอร์,,
ทิคเกอร์,,
ทรัพย์,,
ทอร์ก,,
ตาว,,
ทิพ,,
ทิว,,
ทะเล,,
ธรณ์,,
ธรรศ,,
บัส,,
บาส,,
ธรรม,,
ธาม,,
บาร์ต,,
บรูค,,
บราวนี่,,
ป็อบ,,
ปลื้ม,,
ปาร์ค,,
พอร์ช,,
พอล,,
พอลลี่,,
เพชร,,
ฟิวส์,,
ฟลุค,,
ไฟท์,,
ฟีฟ่า,,
ภัทร,,
ภูผา,,
มันเดย์,,
มิทซ์,,
ม่อน,,
มอลต์,,
ร็อคกี้,,
รุกกี้,,
เรดาร์,,
เรน,,
แร๊พ,,
เวกเตอร์,,
แวน,,
เว็บ,,
เวฟ,,
ศิลฟ์,,
สตรอง,,
สปาย,,
สนูปปี้,,
