ID,名称,描述,说明
ID,Name,Desc,Notes
100001,當前全局天氣模式,當前全局天氣模式,
100002,位置與位置的距離,%1與%2的距離,
100006,位置處於區域判斷,%1%2處於%3中,
100007,指定位置的方塊類型,%1的方塊類型,
100008,位置到位置的方向,%1到%2的方向,
100009,絕對三軸座標方向,X%1，Y%2，Z%3的方向,
10001,位置轉化爲區域,以%1爲中心點，尺寸爲（%2，%3，%4）的區域,
100010,絕對球座標方向,方位角%1，仰角%2的方向,
100011,位置,位置%1,
100012,區域,區域%1,
100013,計時器,計時器%1,
100014,位置組,位置組%1,
100015,區域組,區域組%1,
100016,計時器組,計時器組%1,
100017,隨機天氣,隨機天氣,
100018,地形組的天氣,%1的天氣,
10002,區域偏移,%1沿座標軸偏移（%2，%3，%4）,
10003,擴大區域,將%1三軸大小分別擴大X%2，Y%3，Z%4格,
10005,指定座標位置,座標值 X%1Y%2Z%3的位置,
10006,位置偏移（改變原位置）,%1沿座標軸偏移（%2，%3，%4）,
10007,區域的中央位置,%1的中央位置,
10008,區域中的隨機位置,%1的隨機位置,
10009,計時器時間,%1的時間,
10010,指定方向射線的長度,從%1向%2投射%3格的射線，返回阻擋方塊到起始位置之間的射線長度,
10011,字符串拼接,%1和%2,
10012,數值轉化爲字符串,%1轉化爲字符串,
10015,射線打到的方塊類型,從%1向%2發射%3格的射線打到的方塊類型,
10016,相對三軸座標系方向,%1面向的X%2，Y%3，Z%4的方向,
10017,相對球座標系方向,%1面向的方位角%2，仰角%3的方向,
10018,玩家對象,%1對象,
10019,生物對象,%1對象,
10020,投擲物對象,%1對象,
10021,掉落物對象,%1對象,
10022,音調轉化爲數值,%1轉化爲數值,
10024,位置偏移（不改變原位置）,%1沿座標軸偏移（%2，%3，%4）,
10025,布爾值,布爾值%1,
10026,數值,數值%1,
10027,字符串,字符串%1,
10028,外觀類型,外觀類型%1,
10029,布爾值組,布爾值組%1,
10030,數值組,數值組%1,
10031,字符串組,字符串組%1,
10032,獲取任意組中值的數量,獲取%1中值的數量,
10033,獲取任意組中任意值的數量,獲取%1中%2的數量,
10034,獲取任意組中任意值的編號,獲取%1中%2的編號,
10035,任意組中存在任意值判斷,%1中存在%2,
10036,任意組指定編號存在值判斷,%1中編號爲%2的位置存在值,
10037,截取字符串,截取%1的%2- %3位文本,
10038,字符串轉化爲數值,%1轉化爲數值,
10039,獲取主機設備時間,獲取設備的%1時間,
10040,獲取完整主機設備時間,獲取完整設備時間,
10041,隨機方塊類型,隨機方塊類型,
10042,分割字符串,分割%1，分割符爲%2，截取分割後的第%3段,
10043,獲取JSON指定標記的字符串,獲取JSON中%1，鍵名為%2的內容,
10044,獲取遊戲服務器時間,獲取遊戲服務器時間的%1時間,
10045,轉換時間戳爲時間單位,將時間戳%1轉換爲%2,
10046,獲取完整服務器時間,獲取完整服務器時間,
10047,轉換時間戳爲完整時間,將時間戳%1轉換爲完整時間,
10048,獲取字符串長度,獲取%1的長度,
10049,狀態類型名,%1的類型名,
10050,狀態類型描述,%1的插件描述,
10051,獲取方塊類型座標,獲取距離%1最近%2座標，向XYZ軸搜索半徑爲%3個方塊,
10052,揹包道具欄,獲取%1,
10053,快捷欄按鍵,獲取%1,
10054,裝備欄,獲取%1,
10055,方塊類型轉化爲道具類型,%1轉化爲道具類型,
10056,道具類型轉化爲方塊類型,%1轉化爲方塊類型,
10057,獲取當前房間ID,獲取當前房間ID,
1010001,天氣改變,當 天氣 改變,天氣從晴天變爲雨天，雨天變爲晴天時
1010002,當地形組的天氣改變,當指定%1的天氣改變時,常見組：平原/森林/峭壁/叢林/盆地/空島/河流；海洋組：沙灘/深海/淺海/島嶼；沙漠組：沙漠/綠洲；普通寒帶：針葉林/冰原；高峯寒帶：冰山；火山組：火山；溼地組：雨林/沼澤；平坦、空島
1020001,遊戲創建,當遊戲創建,"進入遊戲倒計時3,2,1結束後，開始遊戲時"
1020002,遊戲時刻,當 遊戲時間 爲%1點,遊戲當前時刻處在指定時間點上時
1020003,遊戲運行時長,當遊戲運行%1秒後,進入遊戲後運行指定時間後
1020004,玩家勝利,當 玩家 勝利,
1020005,玩家失敗,當 玩家 失敗,
1020007,玩家進入遊戲,當 玩家 進入遊戲,
1020008,玩家離開遊戲,當 玩家 離開遊戲,
1020009,計時器變化,當 計時器 發生變化,變量庫中任意計時器變量發生變化時
1020010,指定計時器變化,當%1發生變化,變量庫中指定計時器變量發生變化時
1020011,每當遊戲運行時長（循環）,遊戲每運行%1秒都,"1.最小取值爲0.05秒,0.01-0.09都會取0.05
2.遊戲每運行指定時間後就會觸發（循環）"
1020012,雲服房間收到任意信息時,當 雲服房間 收到任意信息時,
1020013,接收廣播,當 收到 廣播%1,
1020014,條件成立,當%1成立,
1020015,放置藍圖時,當 藍圖 被放置,
1020016,當雲服房間收到服務器廣播消息,當 雲服房間 收到服務器廣播%1,
1030001,玩家被擊敗,當 玩家 被擊敗,
1030002,玩家復活,當 玩家 復活,
1030003,玩家屬性改變,當 玩家 的%1屬性變化,當玩家某個屬性，如血量變化時
1030004,玩家擊敗目標,當 玩家 擊敗目標,當玩家打敗其他玩家、生物時。被打敗的玩家、生物爲事件中的目標玩家、生物
1030005,玩家進行攻擊,當 玩家 開始攻擊,
1030006,玩家攻擊命中,當 玩家 攻擊命中,當玩家攻擊命中其他玩家、生物時。被命中的玩家、生物爲事件中的目標玩家、生物
1030007,玩家造成傷害,當 玩家 造成傷害,當玩家對其他玩家、生物造成傷害時。被傷害的玩家、生物爲事件中的目標玩家、生物
1030008,玩家受到傷害,當 玩家 受傷,
1030009,玩家移動,當 玩家 移動一格距離,
1030010,玩家使用動畫表情,當 玩家 使用動畫表情,
1030011,玩家使用道具,當 玩家 使用道具,
