ID,任务名,任务描述,任务追踪
ID,Name,Desc,TrackDesc
1001001,신성한 과일을 놓으십시오,"삶의 받침대에 @item_587#@1을 놓으십시오#r(""Sacred Fruit""은 ""The Past""의 가장 뛰어난 유전자 변형 기술을 나타냅니다.)",라이프 스톤에 @item_587 배치
1001002,불타는 부서진 검을 놓으십시오.,"용기의 돌 위에 @item_588#@1을 놓으십시오#r(""Flame Broken Sword""는 ""전자""와 ""흑룡"" 사이의 장기적인 협력의 상징입니다.)",용기의 돌에 @item_588#을 놓으십시오.
1001003,돌맨의 눈을 넣어,"지혜의 돌에 @item_589#@1을 놓으십시오#r(""The Eye of the Stone Man""은 ""The Old Man""이 한때 자랑스러웠던 인공지능을 나타냅니다.)",지혜의 돌에 @item_589#배치
1001004,배틀 보이드 팬텀!,보이드의 유령을 물리치십시오! #r(미니 우주를 위해 되돌릴 수 없습니다!),공허의 유령을 물리치십시오!
1001005,공허에 연락,@item_11333##r 받으세요... 새로운 시작? ...),@item_11333을 받으세요
1002001,미라로 돌아가기,"마침내, 그들은 지구에 안전하게 도착했습니다. #r 하지만 그들이 스타 체인 봉쇄를 돌파했을 때, 팀 전체가 부서졌습니다. 지구에 도착한 다른 파트너가 있는지 모르겠어요?",미라에 도착
1002002,돌이 필요해,수집 @item_110#Get @item_11627#@1 #r (수집할 돌을 길게 누르면 제어판을 열고 처리 인터페이스에서 @item_104#get @item_11627#을 처리할 수도 있습니다.),캡처 @item_110#캡처 @item_11627#@1
1002003,더 많은 재료,가지를 모아서 @item_11006#@1을 얻으십시오#r(가지를 길게 눌러 모으십시오. 일부 나무 가지는 비교적 높은 곳에서 자라며 어떤 방법으로 자신을 밀어 올릴 수 있습니까?),트리에서 @item_11006#@1 가져오기
1002004,좋은 삶을 시작하세요~,@item_11627# 및 @item_11006#을 사용하여 @item_11002# 1을 처리합니다#r(편리한 도구는 리소스를 더 빨리 수집할 수 있음),제어판 가공 열기 @item_11002
1002005,벌목 잭,"핸드헬드 @item_11002#, 트렁크 수집! @item_11323#@1#r (@item_11323#은 앞으로의 여정에서 매우 중요합니다)",나무 자르기 컬렉션 @item_11323#@1
1002006,건설 전문가,@item_11323#을 사용하여 @item_206#@1#r 처리하십시오(@item_206#을 제외하고 대부분의 나무 소품은 @item_11323#을 사용해야 하며 더 많이 수집할 수 있습니다).,가공 @item_206#@1
1002007,살 곳,@item_206#@1#r(방금 온 스타 스테이션 근처에 고장난 집이 있는 것 같습니다. @item_206#로 수리할 수 있으므로 생활에 대해 걱정할 필요가 없습니다.),@item_206#@1을 배치하십시오.
1002008,자신을 무장하세요.,@item_11323#과 @item_11627#를 사용하여 @item_12012#@1#r(야외 생존은 항상 위험합니다. 핸디한 무기는 꼭 필요합니다!)를 가공하십시오.,@item_12012#@1 을 가공하십시오.
1002009,해!,어떤 생물체든 물리치세요#r (최고의 방어는 공격입니까? 갓 만든 무기를 사용해 보세요. 기분이 어때요?),모든 생물을 물리치다 @1
1002010,어둠 속의 빛!,@item_11006# 및 @item_11226#을 사용하여 @item_298#@1을 처리하십시오#r(참고! 작은 토치는 연소 시간이 제한되어 있어 꺼지면 다시 켜야 하지만 임시 조명 도구 역할을 하는 것은 전혀 문제가 되지 않습니다),가공 @item_298#@1
1002011,모닥불,"@item_298 #을 사용하여 @item_1200#1 #r (스타 스테이션 근처의 부서진 집에 기성품 @item_1200 #이 있을 수도 있고, 직접 처리할 수도 있습니다.)",점화 @item_1200
1002012,장인,"@item_11323#및 @item_11627 #을 사용하여 @item_800#@1 #r(공예가 테이블, 여행과 집에 필수! 와우~ 더 많은 항목을 처리할 수 있습니다)",가공 @item_800
1002013,생존을 위한 필수품,@item_12600#및 @item_11226 #을 사용하여 @item_828#@1을 처리하십시오#r(처리 시 @item_800 #을 사용해야 합니다. 처리 후 @item_828 #을 안전한 곳에 두는 것을 잊지 마십시오. 근처에 위협이 있으면 잠을 잘 수 없습니다!),가공@item_828#@1
1002014,푹 쉬세요,"자려면 @item_828#을 사용하세요#r (누우려면 @item_828#을 클릭하세요, 낮에는 잠을 잘 수 없고, 밤까지 기다려야 합니다. 미라의 밤은 20:00에 시작합니다. 시간에 유의하십시오.)",배치된 @item_828#수면을 클릭하십시오.
1003001,"BBQ, 향기로운!","캠프파이어에 @item_12513#을 올려놓고 @item_12514#@1#r(동물이 떨어뜨린 고기는 대부분 구울 수 있고, 야생에서 직접 날고기를 먹는 것도 매우 위험하니 먹기 전에 구워주세요!)",@item_1200#을 사용하여 @item_12514#@1을 얻으십시오.
1003002,바비큐로 정복,@item_12514를 먹고 힘을 되찾으세요 @1#r(먹고 나면 힘이 넘칩니다!),음식 @item_12514
1003003,광물 적,@item_11627# 및 @item_11006#로 @item_11012##r 처리 (@item_11012#로 광물을 더 빨리 수집하려면 빈손으로 채굴하는 것이 너무 고통스럽습니다!),가공 @item_11012#@1
1003004,새로운 에너지?,@item_11012#파기 @item_402#get @item_11201#@1 #r (@item_11201 #은 지상과 지하 모두에서 Myra에서 가장 일반적인 제련 연료입니다. 주의를 기울이십시오.),@item_402#@1 캡처
1003005,새로운 광물!,핸드헬드 @item_11012#dig @item_451#@1 #r (@item_451 #은 Myra에 널리 분포되어 있으며 지상과 지하에서 많은 생산이 이루어지고 있습니다),@item_451#@1 캡처
1003006,제련 테이블 프로세서,@item_11226# 및 @item_101#을 사용하여 @item_802# 1을 처리하십시오#r(@item_802#로 금속을 제련할 수 있습니다. 시간에 도구를 업그레이드할 시간입니다),가공 @item_802#@1
1003007,금속 제련: 황동,"@item_802#에서 연료를 사용하여 @item_451#을 추출하고 @item_11329#을 정제합니다.@1#(@item_11329#은 매우 기본적인 금속으로 광범위하게 사용될 수 있으며, 먼저 도구를 업그레이드하여 효율성을 높일 수 있습니다.)",@item_11329#은1# 용광로에서 추출할 수 있습니다.
1003008,더 편리한 도구,@item_11329#및 @item_11006#을 사용하여 @item_11011#1을 처리합니다#r(처리 시 @item_800#을 사용해야 합니다. @item_11011#에서는 채굴 속도가 같을 수 없습니다!),가공 @item_11011#@1
1003009,야생에서의 생존의 첫 번째 교훈,"""새로운 탐험가"" 목표의 모든 작업을 완료하십시오. #r (저는 야생에서 가장 기본적인 생존 수단을 배웠습니다. 이제 서로에게서 추론을 이끌어낼 때입니다. 공허의 유령의 속임수는 산산조각이 나지 않았으니 더 열심히 하세요!)",새로운 탐색기 목표의 모든 미션 완료
1004001,농사의 시작,@item_11627#및 @item_11006#을 사용하여 @item_11032#@1#r 처리합니다(이것으로 농지를 경작할 수 있음).,가공 @item_11032#@1
1004002,경작지 경작,핸드헬드 @item_11032#@item_100#또는 @item_101 #을 사용하여 경작지로 만들기 @1 #r (PC 끝은 정사각형과 정렬되고 오른쪽 버튼을 길게 누르고 모바일 끝은 정사각형을 길게 눌러 경작지를 경작합니다),핸드헬드 @item_11032 #경작 @1
1004003,그레인 킹,그래서 @item_11400#on @item_102#@1 #r (@item_11400 #을 누르고 @item_102 #를 클릭하여 심습니다),파종 @item_11400
1004004,수정,농작물에 @item_11311#@1을 사용하면 대부분의 식물의 성장 속도를 높일 수 있지만 모든 수정이 성공할 수는 없습니다. #r..),작물에 @item_11311#@1 사용
1004005,큰 수확!,수확 익은 @item_229#@1#r (첫 수확은 언제나 잊을 수 없는 것입니다),수확 @item_229
1004006,요리하는 첫번째 단계,@item_104#을(를) 사용하여 @item_200108#을(를) 가공합니다. (가공할 때 @item_800#을(를) 사용해야합니다. @item_298#으로(로) 불을 붙일 수 있습니다. 기억나시나요? @item_200108#을(를) 불에 올린 @item_1200# 위에 놓으면 더 많은 음식을 만들 수 있습니다.),@item_200108#을(를) 가공합니다.
1004007,원료 준비,@item_229#를 사용하여 @item_344#@1을 처리합니다#r(가공은 @item_800#.@item_344#를 사용해야 합니다. 많은 요리의 기본 원료입니다.),가공 @item_344
1004008,맛있게 완성됩니다(@),@item_12502#@1을(@)요리하십시오(@)@item_200108#에서@item_344#을 사용하여(@)그리고 맛이 나올 때까지 기다리십시오(@),@item_200108#에서@item_12502#@1을(@)요리하세요(@)
1004009,잔치,@item_12502#@1 먹기#r(배불러야 열심히 할 수 있다!),음식 @item_12502
1004010,배낭은 그것을 잡을 수 없습니다!,@item_11323#및 @item_11006#을 사용하여 @item_1180#@1을 처리합니다#r(백팩에 넣을 수 없는 항목은 보관함에 보관할 수 있음),가공 @item_1180
1004011,강한 적으로부터 방어,"@item_11323# 및 @item_11006#을 사용하여 @item_812#를 처리하고 @1을 배치하십시오#r (집을 문에 설치한 후에는 출입을 용이하게 할 뿐만 아니라 괴물이 집에 들어오는 것을 방지할 수 있습니다. 하지만 조심하세요, @item_812#는 야만인에 의해 파괴될 수 있습니다!)",처리 및 배치 @item_812#@1
1004012,요새,@item_11323 #을 사용하여 @item_821 #을 처리하고 @1을 배치합니다#r(@item_821#포인트가 이미 배치되었습니다 @item_821#연결할 수 있습니다),처리 및 배치 @item_821#@1
1004013,도시 방어 입구 및 출구,"@item_11323#, @item_11006# 및 @item_11227#을 사용하여 @item_535#를 처리하고 @1#r(@item_535#는 나무 말뚝으로 연결할 수 있으므로 몬스터가 마음대로 요새에 들어갈 수 없습니다)",처리 및 배치 @item_535
1004014,신비한 석상,"@item_104#를 사용하여 @item_596#을 처리하고 @1을 배치합니다#r (이상한 석상은 보기만 해도 이상한 느낌이 들고, 만지면 무슨 일이 생길 수 있습니다)",처리 및 배치 @item_596#@1
1004015,"자, 다시 시작","@item_596#1에 별을 줘#r(@item_596#을 클릭하고 ""별을 줘""를 선택하면 Ramey가 야생에서 사고가 발생했을 때 여기로 다시 안내할 수 있습니다)",@item_596#@1에 별을 주세요
1004016,야생의 생존 2,"""끝없는 학습"" 목표의 모든 작업을 완료하십시오. #r(생존에 대해 더 많이 배웠으니 더 나아가야 할 때입니다.)","""끝없는 학습"" 목표의 모든 작업 완료"
