购买ID,道具ID,俄语
ProductID,ID,Desc
1,24601,Использование после покупки: Можно использовать большинство пользовательских DIY Skins в течение 30 дней
4,12856,Использование после покупки: Rename раз
8,12965,"Включает 3 свитка моментального перемещения домой, это очень удобно."
13,10025,"Содержит 3 билета, которые могут быть использованы для мгновенно телепортировать обратно в расположение дома текущей планеты, что очень удобно"
10,1055,"Небольшой случай кода, введите правильный код, который хост установил, чтобы открыть его."
11,1056,"Большой случай кода, введите правильный код, который хост установил, чтобы открыть его."
5,845,"Спец. для хоста, очень прочный, обяз. предмет для защиты от медведей"
6,846,"Спец. для хоста, большой и прочный, обяз. предмет для защиты от медведей"
2,12751,После использования пожарить фейерверк с узором Гашапона в небо (покупка и получить #c0aaa1a Gashapon Tire * 1 #n)
3,12752,После использования пожарить фейерверк с рисунком фруктов в небо (покупка и получить #c0aaa1a Билет на событие * 1 #n)
7,12831,"Запускает в небо великолепный фейерверк, выпадает немного Опыта!"
9,12750,"Запускает в небо фейерверк в форме улыбающегося смайла! 
(Получить #c5aea0aМини бобы#nx300 в подарок для любой покупки)"
12,10023,"После использования, вы можете получить Season Pass очки"
