角色ID,马来语,马来语,马来语,马来语,马来语
ID,Name,Desc,GeniusName,GeniusDesc,BuyTips
1,Ketua,"Ketua suku orang asli suka mengembara merata-rate, meneroka tanah bagi suku.",Kuat,Menambah kecederaan asas (belum aktif),@Null@
2,Ketua,"Ketua suku orang asli suka mengembara merata-rate, meneroka tanah bagi suku.",Kuat1,Menambah kecederaan asas +5,@Null@
3,Ketua,"Ketua suku orang asli suka mengembara merata-rate, meneroka tanah bagi suku.",Kuat2,Menambah kecederaan asas +10,@Null@
4,Isteri Ketua,Ibu orang asli yang kuat ialah pemburu yang hebat.,Pemburu handal,Menambah hasil pemburuan (belum aktif),@Null@
5,Isteri Ketua,Ibu orang asli yang kuat ialah pemburu yang hebat.,Pemburu handal 1,Melawan monster ada 25% untuk mendapat item 2 kali ganda,@Null@
6,Isteri Ketua,Ibu orang asli yang kuat ialah pemburu yang hebat.,Pemburu handal 2,Melawan monster ada 25/15% untuk mendapat item 2/3 kali ganda,@Null@
7,Kaka,"Membesar di suku orang asli, mempunyai kemampuan bertahan di kehidupan liar",Degil,Item dicederakan dari jauh (belum aktif),@Null@
8,Kaka,"Membesar di suku orang asli, mempunyai kemampuan bertahan di kehidupan liar",Degil 1,Item dicederakan dari jauh kurang 20%,@Null@
9,Kaka,"Membesar di suku orang asli, mempunyai kemampuan bertahan di kehidupan liar",Degil 2,Item dicederakan dari jauh kurang 40%,@Null@
10,Nini,"Adik orang asli yang rajin, berkerja dengan kuat",Rajin,Meningkatkan kelajuan mengambil (Belum aktif),@Null@
11,Nini,"Adik orang asli yang rajin, berkerja dengan kuat",Rajin 1,Meningkatkan 50% kelajuan mengambil,@Null@
12,Nini,"Adik orang asli yang rajin, berkerja dengan kuat",Rajin 2,Meningkatkan 100% kelajuan mengambil,@Null@
13,Berli,"Setiap keluarga mempunya satu Berli, tunggu, apa benda dalam tangannya?",Genius Bom,Mengurangkan kecederaan letupan (Belum aktif),@Null@
14,Berli,"Setiap keluarga mempunya satu Berli, tunggu, apa benda dalam tangannya?",Genius Bom 1,Mengurangkan 20% kecederaan letupan,@Null@
15,Berli,"Setiap keluarga mempunya satu Berli, tunggu, apa benda dalam tangannya?",Genius Bom 2,Mengurangkan 40% kecederaan letupan,@Null@
16,Kapten Tom,"Bekas askar khas pasukan pengaman, kemampuan bertahan di hidup liar dan menembak adalah sangat hebat",kemampuan bertahan di hidup liar,Meningkatkan kesan makanan dan penafasan dalam air (Belum aktif),The unlocking props can be gotten from Garden fruits.
