ID,名字,描述
ID,Name,Desc
1,Приветствовать,Волна и сказать привет
2,Сомневаться,"Маленькие мозги, большие сомнения"
3,Плакать,Покрыть лицо и плачь
4,Злой,Злой и топать
5,Потягиваться,"Немного сонный, ленивый"
6,Счастливый,Выглядит счастливым
7,Благодарный,Склониться искренне
8,Досуг,Оглянись вокруг и расслабиться
9,Упал,Вдруг упасть на землю
10,Поза,Поставить на очаровательный ход подписи
11,Эксклюзивное действие,Fluttershy Эксклюзивное действие
12,Эксклюзивное действие,Принцесса Луна Эксклюзивное действие
13,Эксклюзивное действие,Эксклюзивное действие Pistie Pie
14,Эксклюзивное действие,Звездный свет
15,Эксклюзивное действие,Радуга приборные эксклюзивные действия
16,Эксклюзивное действие,Принцесса каденции эксклюзивные действия
17,Эксклюзивное действие,Цветок выступления эксклюзивных действий
18,Эксклюзивное действие,Принцесса мороз эксклюзивное действие
19,Эксклюзивное действие,Rory Exclusive Action
20,Тестовое взаимодействие 1.,Интерактивное действие Сакуры и молнии
21,Тестовое взаимодействие 2.,Интерактивное действие Сакуры и Сакуры
22,Тестовое взаимодействие 3.,Общие интерактивные действия для Сакуры
23,Парящий камышетный воздух Marsall,Играть в арп
24,Парящий камышез - новичок,Whirl и танцуют
25,Показать боевой дух,Эксклюзивная акция Tang San
26,Показать боевой дух,Эксклюзивная акция Tang San
27,Показать боевой дух,Bi Bidong эксклюзивная акция
28,Развязывать навыки души,"Эксклюзивный экшн ""Оскара"""
29,Показать боевой дух,Эксклюзивное действие Ma Hongjun
30,Выпустите способности духа,Дай Мубай эксклюзивное действие
31,Показать боевой дух,Эксклюзивная акция Zhu Zhuqing
32,Показать боевые искусства,Эксклюзивная акция Ning Rongrong
33,Показать боевые искусства,Эксклюзивная акция Zhu Zhuqing
34,Показать боевые искусства,Эксклюзивная акция Ning Rongrong
