序号,越南语
No,Name
1,Số UID
2,Mật khẩu
3,pluginres\btn_text_vie.png
4,Ghi nhớ UID
5,Đồng ý
6,pluginres\btn_policy_vie.png
7,Hãy chọn câu hỏi
8,Nhập câu trả lời
9,pluginres\btn_num_vie.png
10,Người để lại ấn tượng sâu sắc nhất với bạn
11,Món ăn bạn thích nhất
12,Con vật bạn thích nhất
13,Nơi bạn muốn đến nhất
14,Món quà đầu tiên của bạn
15,Số may mắn của bạn
16,Đăng nhập ngay
17,Mật khẩu không đúng
18,Kết nối
19,pluginres\yn1.png
20,pluginres\btn_quickplay_vie_h.png
21,pluginres\btn_quickplay_vie_n.png
22,pluginres\option1_1_en.png
23,pluginres\option1_2_en.png
24,pluginres\option1_3_en.png
25,pluginres\en01.png
26,pluginres\en02.png
27,pluginres\en03.png
28,UID không đúng
29,Sai mật khẩu
30,Hãy đồng ý điều khoản người dùng
31,Hãy nhập câu trả lời
32,Đang cập nhật Mini World: %d%%
33,pluginres\yn1_h.png
34,pluginres\yn1_s.png
35,14
36,Cảnh báo an toàn
37,"Tài khoản :%s của bạn đã được cài mật khẩu, hãy dùng nhập mật khẩu để đăng nhập nhằm đảm bảo an toàn cho tài khoản của bạn!"
38,Đăng nhập
39,Xác nhận đăng nhập
40,Điện Thoại
41,Mail
42,Nhập mã xác nhận
43,Xác nhận qua điện thoại
44,Xác nhận qua Gmail
45,Gửi
46,"Để đảm bảo an toàn cho tài khoản của bạn, cần xác nhận trước khi đăng nhập"
47,"Xác nhận thất bại, vui lòng kiểm tra lại Gmail và mã xác nhận của bạn "
48,"Xác nhận thất bại, vui lòng kiểm tra lại số điện thoại và mã xác nhận của bạn"
49,Gửi（%d）
50,Đã gửi mã xác nhận
51,"Tài khoản không thuộc nền tảng, không thể đăng nhập"
