ID,名字,描述
ID,Name,Desc
1,Tunggangan Bayi,Dapat melahirkan tunggangan bayi. Kamu bisa memberi bayi ini ke temanmu.
2,Lari Sprint,Kecepatan lari bertambah 30%
3,Jalan di Atas Air,Dapat berjalan diatas air. Tidak dapat melompat di atas air.
4,Lompatan Super,Kemampuan lompat yang super
5,Meluncur,Dapat terbang dan meluncur di udara
6,Jalan di Atas Lava,Dapat berjalan di atas lava
7,Lari Dash,Tekan tombol lompat setelah melompat untuk lari dash
9,Tunggangan Double,Dapat membawa 2 penumpang. Undang temanmu naik dengan kamu.
10,Lompatan Udara,Lompat dan terbang bebas. Dapat jatuh dengan kecepatan tinggi.
11,Gigih,Memiliki HP lebih banyak
12,Berenang,Mengambang di atas air
13,Menyelam,Menyelam ke dalam air
14,Rush,Tekan tombol lompat pada saat di air. Lepaskan untuk rush ke arah depan.
15,Serangan Robot,Lari sprint dan memukul ke depan
16,Meriam Fusion,Meluncurkan meriam di garis lurus
17,Bumblebee Slash,Lari sprint selama beberapa saat
18,Sambaran,Tahan tombol lompat untuk mengumpulkan kekuatan. Dapat mengurangi kecepatan makhluk saat tersambar.
19,Mengancam,Tahan tombol lompat untuk mengumpulkan kekuatan. Dapat menolak makhluk saat terancam.
20,Melayang,Melayang di udara. Tidak akan kehilangan HP saat jatuh.
21,Terbang,Dapat terbang di udara . Tidak akan kehilangan HP saat jatuh.
22,Tunggangan Double,Dapat membawa 2 penumpang. Undang temanmu naik dengan kamu.
23,Perisai Energi,Perisai energi untuk melindungi kamu dan temanmu
24,Tunggangan Single,Dapat membawa satu penumpang
25,Air Alert,Dapat terbang di udara . Tidak akan kehilangan HP saat jatuh.
26,Petir Merah,Lari sprint selama beberapa saat
27,Laser Fusion,Meluncurkan meriam di garis lurus
28,Api Inferno,Klik [Serang] untuk menembakan api. Dapat mengakibatkan kebakaranan terhadap makhluk di depan kamu.
29,Api Hantu,Klik [Serang] untuk menembakan api. Dapat mengakibatkan kebakaranan terhadap makhluk di depan kamu.
30,Sayap Flutter,Klik dan tahan [Lompat] untuk terbang jarak dekat. HP tidak akan hilang saat jatuh.
31,Sayap Lebar,Klik dan tahan [Lompat] untuk terbang jarak jauh. HP tidak akan hilang saat jatuh.
32,Raungan Naga,Klik untuk meraung. Dapat memperlambat makhluk di depan.
33,Sayap Terbang,Tekan dan tahan untuk terbang jarak pendek. Tidak akan kehilangan HP saat jatuh.
34,Sapuan Ekor,Klik serang untuk menggoyangkan ekor. dapat menghasilkan 3 damage pada makhluk yang ada di belakang.
35,Terang Bintang,Meluncurkan bintang ke atas untuk penerangan. Cooldown: 15 dtk.
36,Terang Bulan,Tekan lama tombol lompat untuk terbang jarak pendek. Tidak akan kehilangan HP saat jatuh.
