序号,繁体中文名字
No,Name
1,迷你號
2,密碼
3,pluginres\btn_text_tw.png
4,記住賬號
5,已閱讀並同意
6,pluginres\btn_policy_tw.png
7,請選擇問題
8,請輸入答案
9,pluginres\btn_num_tw.png
10,讓你印象深刻的人
11,您最喜歡的食物
12,您最喜歡的動物
13,您最想去的地方
14,您的第一份禮物
15,您的幸運號碼
16,快速進入
17,認證失敗
18,連接中
19,pluginres\btn_orange_e1_tw.png
20,pluginres\btn_quickplay_tw_h.png
21,pluginres\btn_quickplay_tw_n.png
22,pluginres\option1_1_tw.png
23,pluginres\option1_2_tw.png
24,pluginres\option1_3_tw.png
25,pluginres\en01.png
26,pluginres\en02.png
27,pluginres\en03.png
28,迷你號格式不正確
29,密碼不能為空
30,你還未同意用戶協議
31,答案不能為空
32,正在為您更新迷你世界，進度%d%%
33,pluginres\btn_orange_e1_tw_h.png
34,pluginres\btn_orange_e1_tw_s.png
35,14
36,安全提示
37,您的迷你號:%s已設置密碼，為了您的賬號安全，請使用密碼登錄遊戲!
38,登錄
39,驗證登錄
40,手機
41,郵箱
42,輸入驗證碼
43,手機驗證
44,郵箱驗證
45,發送
46,確保您的賬號安全，請先進行驗證登錄。
47,驗證失敗，請核對郵箱與驗證碼
48,驗證失敗，請核對手機號與驗證碼
49,發送（%d）
50,驗證碼已發送
51,跨平台賬號，無法登錄
