姓或形容词（在最前）,男人名字,女人名字
Surname,Male,Female
,Dũng Đẹp trai,Dung Xinh gái
,Phong Tinh nghịch,Phương Dịu dàng
,Minh Mạnh mẽ,Ngọc Dễ thương
,Luân Hoành tráng,Như Điệu đàng
,Quân Hiền lành,Nhi Đôn hậu
,Quang Soái ca,Yến Sang chảnh
,Giang Chuẩn men,Thu Chuẩn girl
,Long Oai vệ,Quỳnh Đằm thắm
,Tuấn Thông minh,Huyền Tiểu thư
,Tùng Sáng sủa,Thư Cute
,Hùng Xịn sò,Thanh Mũm mĩm
,Tân Công tử,Hiền Xinh đẹp
,Việt Hoàng tử,Hòa Công chúa
,Quốc Vua,Linh Hoàng hậu
,Khang Hóm hỉnh,Lan Dí dỏm
,Đức Hài hước,Mai Duyên dáng
,Minh Đẹp trai,Loan Xinh gái
,Trí Tinh nghịch,Hoa Dịu dàng
,Khôi Mạnh mẽ,Ngân Dễ thương
,Hoàng Hoành tráng,My Điệu đàng
,Hải Hiền lành,Trang Đôn hậu
,Sơn Soái ca,Hằng Sang chảnh
,Phúc Chuẩn men,Ly Chuẩn girl
,Huy Oai vệ,Đào Đằm thắm
,Thanh Thông minh,Trúc Tiểu thư
,Đạt Sáng sủa,Nga Cute
,Tiến Xịn sò,Xuân Mũm mĩm
,Nghĩa Công tử,Thảo Xinh đẹp
,Hiếu Hoàng tử,Cúc Công chúa
,Hoàng Vua,Phượng Hoàng hậu
,Nhật Hóm hỉnh,Diệp Dí dỏm
