ID,描述
ID,Desc
1,Tidak boleh tidur dalam keadaan sekarang
2,"Tidak boleh tidur di sini, anda perlu katil"
3,Tidak boleh tidur pada waktu siang
4,Terlalu jauh dari beg tidur
5,"Terlalu panas, tidak boleh menuangkan air"
6,Tidak dapat meletakkan katil di Flamas
7,Peluru tidak mencukupi
8,Sedang memuat naik/memuat turun peta. Sila cuba lagi.
9,Sedang memuat turun peta. Sila cuba lagi.
10,"Peta yang dapat disimpan terbatas, silakan padamkan peta yang tidak diperlukan"
11,"Peta telah berjaya dikongsi, jemput rakan untuk memuat turun"
12,"Rangkaian terputus, perkongsian dihentikan. Sila sambung semula ke rangkaian dan cuba lagi"
13,Pilih untuk masuk ke peta
14,Sedang berkongsi. Dibenarkan masuk selepas memuat naik peta.
15,Tidak dapat masuk disebabkan belum muat turun peta
16,Adakah anda pasti memadamkan arkib yang sedang dimuat turun?
17,"Adakah anda pasti memadamkan peta secara kekal?
#cef2d2d (sandaran peta akan dipadamkan)
(Tidak boleh dipulihkan selepas dipadam)#n"
18,Rangkaian terputus. Sambung ke WiFi untuk berkongsi peta.
19,Rangkaian terputus. Sambung ke WiFi untuk berkongsi peta.
20,Rangkaian terputus. Sambung ke WiFi untuk berkongsi peta.
21,Peringatan: Anda sedang menggunakan rangkaian mudah alih untuk bermain. Permainan dan suara akan menghabiskan kuota. Adakah anda mahu meneruskan? (Kami mencadangkan anda sambung ke WIFI untuk bermain)
22,Rangkaian tidak stabil menyebabkan muat turun gagal. Sila sambung semula ke rangkaian dan cuba lagi
23,Tiada peta lagi. Kongsilah peta anda!
24,Tiada peta yang diikuti lagi
25,"Kuota ikut telah penuh, sila padam sebahagian peta yang diikuti"
26,Penambahan peta berjaya. Lihat peta di halaman Ikuti Saya
27,Adakah anda pasti berhenti mengikut?
28,"Muat turun arkib penuh, sila padam peta arkib yang tidak diperlukan"
29,Muat turun gagal. Sila diagnosis rangkaian dan cuba lagi
30,Anda telah menilai peta ini pada hari ini. Hanya sekali sehari.
31,"Kuota klik suka hari ini telah habis, sila cuba lagi esok"
32,"Perihalan peta terhad: Cipta medan peta yang rawak dan bersaiz tetap, sesuai untuk peranti berprestasi biasa"
33,"Perihalan peta besar: Cipta medan peta rawak bersaiz tanpa had, sesuai untuk peranti berprestasi tinggi"
34,"Perihalan medan rata: Cipta medan yang rata, sesuai untuk membina bangunan"
35,Pilih item yang ingin dibuat!
36,Adakah anda pasti memadamkan rakan?
37,"Rangkaian tidak stabil, Sila cuba lagi"
38,Pemain ini sudah menjadi rakan anda
39,Bilangan rakan telah penuh
40,Tidak boleh menambah diri anda sebagai rakan
41,Penambahan rakan gagal. Sila cuba lagi
42,Rakan berjaya dipadamkan
43,Tidak boleh memuat turun peta arkib. Sila pergi ke halaman utama untuk memuat turun.
44,Tidak menemui rakan berdekatan. Sila cuba lagi.
45,"Masuk nama watak dengan huruf, angka atau tulisan cina"
46,Nama watak sudah wujud (klik teks untuk masuk)
47,Konfigurasi lanjut
48,Konfigurasi sederhana
49,Konfigurasi rendah
50,Belakang
51,Depan
52,Utama
53,Pandangan (Jauh)
54,Pandangan (Tengah)
55,Pandangan (Dekat)
56,Kotak simpanan penuh!
57,Mata tugas akaun:
58,Tiada
59,Bertahan
60,Ciptaan
61,Kekurangan@1
62,Buat@1×@2
63,Padam rakan
64,@1 menjadi rakan anda
65,Keluar dari halaman pesona
66,Tidak cukup bintang untuk dipesonakan
67,Tiada atribut pesona lagi
68,Atribut pesona diberikan secara rawak
69,Item ini telah dipesonakan
70,Item sampingan akan hilang setelah digabung
71,Sila masukkan item sampingan
72,Sila pilih item pesona
73,Bintang
74,Koin Mini
75,Item yang boleh dipesona:
76,Item utama tersedia
77,Item sampingan tersedia
78,Tiada atribut yang sesuai
79,@1 telah berjaya dipesona!
80,Sila letak item yang ingin dipesonakan
81,Terletak dalam beg galas dari halaman pesona
82,"Cuba bertahan di alam liar, kumpulkan sumber, terokai dunia"
83,Mempunyai pelbagai sumber yang tidak terhad untuk membina apa yang dalam fikiran
84,Mencipta arkib baru\n. Mulakan pengembaraan!
85,Tiada arkib. Cepatlah #cfa7a0fCipta\n sekarang!
86,Lebih peta untuk #cfa7a0f muat turun! #n
87,"Memasuki permainan untuk kali pertama, lihat tutorial pemula dan belajar cara bermain!"
88,Pilih watak dalam adegan\n mencipta watak baru
89,Pilih watak
90,"Tutorial pemula belum selesai, meneruskan?"
91,Kami mencadangkan anda untuk berlajar cara bermain di #c0aaa1a tutorial peta(Cadang)#n
92,Tutorial peta pemula
93,Di: Dunia bawah
94,Di : Dunia permukaan
95,Anda dikalahkan oleh @other
96,@self memperhatikan penggunaan oksigen apabila berenang
97,@self menjauhi objek panas!
98,"Sangat bahaya di tempat tinggi, sentiasa berhati-hati!"
99,Anda perlu baju penerbangan
100,Berhati-hati kaktus!
101,Sangat bertuah untuk membeli tiket loteri.
102,Minum susu segar jika anda diracun!
103,@self layu seperti bunga
104,Memasuki mod berlari
105,Memasuki mod menyelinap
106,Masuk ke bilik pengembaraan saya! Kami sedang menunggu anda!
107,Bilik pengembaraan ini sangat seronok!
108,Siapa ingin masuk ke bilik pengembaraan saya?
109,Datanglah ke bilik pengembaraan saya!
110,Mari melombong. Datanglah ke bilik pengembaraan saya!
111,Datanglah ke bilik ciptaan saya! Sangat seronok
112,Datanglah ke bilik ciptaan saya! Mari berpesta!
113,Selamat datang ke bilik ciptaan saya
114,Bilik ciptaan saya telah lama menunggu anda!
115,"Rumah mewah di bilik ciptaan saya, mari lihat!"
116,"Bulan purnama, malam ini sangat istimewa"
117,"Bulan sabit, malam ini sangat istimewa"
