角色ID,土耳其语,土耳其语,土耳其语,土耳其语,土耳其语
ID,Name,Desc,GeniusName,GeniusDesc,BuyTips
1,Şef,Her yerde maceraya çıkmayı ve kabile topraklarını genişletmeyi seven ilkel bir kabilenin şefi.,Sağlamlık,Temel zarar artar (Aktif değil),@Null@
2,Şef,Her yerde maceraya çıkmayı ve kabile topraklarını genişletmeyi seven ilkel bir kabilenin şefi.,Sağlamlık 1,Temel hasar +5,@Null@
3,Şef,Her yerde macerayı seven ve kabile topraklarını genişleten bir ilkel kabilenin başıdır.,Sağlamlık 2,Temel hasar +10,@Null@
4,Şefin karısı,Avlanmada iyi olan kas ilkel anne.,Usta Avcı,Avcı kazancı yükselir (Aktif edilmedi)  ,@Null@
5,Şefin karısı,Avlanmada iyi olan kas ilkel anne.,Usta Avcı 1,Canavarlar dövüldüğünde 25% olasılıkla çift kat eşya düşme şansı vardır.,@Null@
6,Şefin karısı,"Avcılıkla uğraşan, ilkel olan kaslı ilk anne.",Usta Avcı 2,Canavarlar dövüldüğünde 25%/15% olasılıkla çift/üç kat eşya düşme şansı vardır.,@Null@
7,Kaka,İlkel bir kabilede büyümüştür ve vahşi doğada hayatta kalması için özel becerilere sahiptir.,İnatçılık,Uzaktan gelen zarar düşer (Aktif edilmedi),@Null@
8,Kaka,İlkel bir kabilede büyümüştür ve vahşi doğada hayatta kalması için özel becerilere sahiptir.,İnatçılık 1,Uzaktan gelen zarar 20% düşer ,@Null@
9,Kaka,İlkel bir kabilede büyümüştür ve vahşi doğada hayatta kalması için özel becerilere sahiptir.,İnatçılık 2,Uzaktan gelen zarar 40% düşer ,@Null@
10,Nini,İşgücünde özellikle aktif olan çalışkan ilkel kız.,Çalışkan,Toplama hızı artar (Aktif edilmedi),@Null@
11,Nini,İşgücünde özellikle aktif olan çalışkan ilkel kız.,Çalışkan 1,Toplama hızı 50% artar.,@Null@
12,Nini,İşgücünde özellikle aktif olan çalışkan ilkel kız.,Çalışkan 2,Toplama hızı 100% artar.,@Null@
13,Vahşi Çocuk,Her ailenin vahşi bir çocuğu vardır. Bekle! Elindeki nedir?,Bomba dehası,Patlama zararı azalır (Aktif değil),@Null@
14,Vahşi Çocuk,Her ailenin vahşi bir çocuğu vardır. Bekle! Elindeki nedir?,Bomba dehası 1,Patlama zararı 20% azalır,@Null@
15,Vahşi Çocuk,Her ailenin vahşi bir çocuğu vardır. Bekle! Elindeki nedir?,Bomba dehası 2,Patlama zararı 40% azalır,@Null@
16,Kaptan Tom,"Dünya barış gücü kuvvetlerinin eski askeri, sahada hayatta kalma ve atış konusunda iyidir.",Hayatta Kalma,Gıda etkilerini ve suda nefes alma gelişir (Aktive edilmedi),Kilidi açılan eşyalar Bahçe meyvelerinden elde edilebilir.
17,Kaptan Tom,"Dünya barış gücü kuvvetlerinin eski askeri, sahada hayatta kalma ve atış konusunda iyidir.",Hayatta Kalma 1,Doygunluk/Sağlık kurtarma ve suda nefes alma süresi 15% artar,Kilidi açılan eşyalar Bahçe meyvelerinden elde edilebilir.
18,Kaptan Tom,"Dünya barış gücü kuvvetlerinin eski askeri, sahada hayatta kalma ve atış konusunda iyidir.",Hayatta Kalma 2,Doygunluk/Sağlık kurtarma ve suda nefes alma süresi 15% artar,Kilidi açılan eşyalar Bahçe meyvelerinden elde edilebilir.
19,Ajan Laura,Heyecan verici maceraları seven bir güvenlik şirketinin tanrıçasıdır.,Kehanet,Bir defalığına ölümcül zarara karşı bağışıktır (Aktif değil),Kilidi açılan eşyalar Bahçe meyvelerinden elde edilebilir.
20,Ajan Laura,Heyecan verici maceraları seven bir güvenlik şirketinin tanrıçasıdır.,Peygamber 1,"Alınan hasar 45 puandan fazla olduğunda ve ölüme neden olduğunda, sağlık değerinin% 25'iyle derhal yenilenecektir. Tetik aralığı 5 dakika.",Kilidi açılan eşyalar Bahçe meyvelerinden elde edilebilir.
21,Ajan Laura,Heyecan verici maceraları seven bir güvenlik şirketinin tanrıçasıdır.,Peygamber 2,"Alınan hasar 25 puandan büyük olduğunda ve ölüme neden olduğunda, derhal% 50 sağlıkla yenilenir ve tetik aralığı 3 dakikadır.",Kilidi açılan eşyalar Bahçe meyvelerinden elde edilebilir.
22,Yaramaz Cindy,İlkel arkeoloji ekibinin keskin uyarlamalı pilotudur.,Süper Zıplama,Zıplama becerisini artırır Lv II seviyesinde çift kat zıplayabilir (Aktif değil),Kilidi açılan eşyalar Bahçe meyvelerinden elde edilebilir.
23,Yaramaz Cindy,İlkel arkeoloji ekibinin keskin uyarlamalı pilotudur.,Süper Zıplama 1,"Zıplama yüksekliği +50% aratar, düşme zararı -10.",Kilidi açılan eşyalar Bahçe meyvelerinden elde edilebilir.
24,Yaramaz Cindy,İlkel arkeoloji ekibinin keskin uyarlamalı pilotudur.,Süper Zıplama 2,"Zıplama yüksekliği +50% aratar, düşme zararı -20. Çift kat zıplama yapabilir",Kilidi açılan eşyalar Bahçe meyvelerinden elde edilebilir.
25,Yardımcı Peter,Arkeolojik ekibe mükemmel bir mezuniyet kağıdı için katılır.,Sadakat,Kavanozları kırarken çeşitli nesneleri bulma şansı vardır (Aktive edilmedi),Kilidi açılan eşyalar Bahçe meyvelerinden elde edilebilir.
26,Yardımcı Peter,Arkeolojik ekibe mükemmel bir mezuniyet kağıdı için katılır.,Sadakat 1,Küpleri kırarken nadir bulunan malzemeleri 18% olasılıkla bulma şansı var.,Kilidi açılan eşyalar Bahçe meyvelerinden elde edilebilir.
27,Yardımcı Peter,Arkeolojik ekibe mükemmel bir mezuniyet kağıdı için katılır.,Sadakat 2,Kavanozları çıkarırken 27% olasılıkla daha fazla nadir materyal ve özel küplerden bulma şansı vardır,Kilidi açılan eşyalar Bahçe meyvelerinden elde edilebilir.
28,Profesör Stephen,Neden bir Ulusal Bilimler Akademisi profesörü bu vahşi topraklara gelsin ki?,Harika öğrenme,Taşları çıkarırken çeşitli nesneleri bulma şansı vardır (Aktive edilmedi),Kilidi açılan eşyalar Bahçe meyvelerinden elde edilebilir.
29,Profesör Stephen,Neden bir Ulusal Bilimler Akademisi profesörü bu vahşi topraklara gelsin ki?,Harika öğrenme 1,Taşları çıkarırken nadir bulunan cevher ve malzemeleri 4% olasılıkla bulma şansı vardır.,Kilidi açılan eşyalar Bahçe meyvelerinden elde edilebilir.
30,Profesör Stephen,Neden bir Ulusal Bilimler Akademisi profesörü bu vahşi topraklara gelsin ki?,Harika öğrenme 2,"Taşları çıkarırken 6% olasılıkla daha fazla nadir cevher, materyal ve özel küplerden bulma şansı vardır",Kilidi açılan eşyalar Bahçe meyvelerinden elde edilebilir.
