序号,土耳其语
No,Name
1,Lütfen UID'nızı giriniz
2,Şifre
3,pluginres\btn_text_tur.png
4,UID'yi hatırla
5,Katılıyorum
6,pluginres\btn_policy_tur.png
7,Lütfen soruları seçin
8,Lütfen cevabınızı yazınız
9,pluginres\btn_num_tur.png
10,En etkileyici insan
11,En sevdiğin yemek
12,En sevdiğin hayvan
13,En istekli ziyaret yeri
14,İlk hediyen
15,Şanslı numaran
16,Hızlı Gir
17,Yanlış parola
18,Bağlanıyor
19,pluginres\tur1.png
20,pluginres\btn_quickplay_tur_h.png
21,pluginres\btn_quickplay_tur_n.png
22,pluginres\option1_1_en.png
23,pluginres\option1_2_en.png
24,pluginres\option1_3_en.png
25,pluginres\en01.png
26,pluginres\en02.png
27,pluginres\en03.png
28,UID doğru değil
29,Lütfen Şifrenizi girin
30,Lütfen Kullanıcı Politikasını kontrol edin
31,Lütfen cevabınızı yazın
32,MiniWorld Güncelleniyor:%d%%
33,pluginres\tur1_h.png
34,pluginres\tur1_s.png
35,14
36,Bildirim
37,"Hesabınız Şifreyi belirledi :%s, hesap güvenliğinizi korumak için, lütfen Şifrenizle giriş yapın."
38,Oturum aç
39,Giriş doğrulaması
40,Mobil telefon
41,E-posta
42,Onay kodu
43,Mobil Doğrulama
44,Eposta Doğrulama
45,Gönder
46,Lütfen hesabınızın güvende olduğundan emin olmak için giriş bilgilerini doğrulayın.
47,Doğrulama başarısız oldu. Lütfen e-posta adresinizi ve doğrulama kodunuzu kontrol edin.
48,Doğrulama başarısız oldu. Lütfen cep numaranızı ve doğrulama kodunuzu kontrol edin.
49,Gönder（%d）
50,Onay kodu gönderildi
51,Üzgünüz ， bu platformda hesaba giriş yapamazsınız. （Çapraz platform hataları）
