序号,韩语
No,Name
1,당신의 UID를 입력하십시오
2,암호
3,pluginres\btn_text_kor.png
4,UID를 기억
5,나는 동의 함
6,pluginres\btn_policy_kor.png
7,질문을 선택하세요
8,답변을 입력하세요
9,pluginres\btn_num_kor.png
10,가장 인상적인 사람
11,좋아하는 음식
12,좋아하는 동물
13,가장 열망 방문 장소
14,첫 번째 선물
15,당신의 행운의 숫자
16,빠른 플레이
17,잘못된 비밀번호
18,연결
19,pluginres\hy4.png
20,pluginres\btn_quickplay_kor_h.png
21,pluginres\btn_quickplay_kor_n.png
22,pluginres\option1_1_kor.png
23,pluginres\option1_2_kor.png
24,pluginres\option1_3_kor.png
25,pluginres\en01.png
26,pluginres\en02.png
27,pluginres\en03.png
28,UID의 형식이 잘못
29,암호는 비워 둘 수 없다
30,사용자 계약에 동의하지 않는
31,답변을 비울 수 없다
32,미니 월드는 업데이트 중입니다. 진도 %d%%
33,pluginres\hy4_h.png
34,pluginres\hy4_s.png
35,14
36,안전 통보
37,UID:%s 에는 암호가 설정되어 있습니다. 계정 보안을 위해 암호로 로그인하십시오!
38,로그인
39,로그인을 검증하기
40,모바일 폰
41,이메일
42,인증 코드
43,모바일 검증
44,사서함 확인
45,전송
46,계정이 안전하다는 것을 보장하기 위해 먼저 검증 로그인하십시오.
47,인증 실패. 이메일로 인증 코드를 확인하십시오.
48,인증 실패. 휴대폰 번호와 인증 코드를 확인하십시오.
49,전송（%d）
50,인증 코드를 보냈습니다
51,지금 계정이 플랫폼에 로그인 할 수 없음 (여러 플랫폼 오류)
