ID,名字,描述,追踪
ID,Name,Desc,TrackDesc
1000,木材がほしい,木を採取し、木材ブロックを獲得する#r（木の幹を長押しして採取する）,木材収集
1001,お手芸！,任意の木で木の板を合成して、木の板４つで１つの工具箱を作る#r（まずはかばんを開いて、左のタブで合成を選択する）,#cfa7a0f工具箱を作る
1002,野蛮人は負ける！,木材ブロックで木の棒を作る#r（工具箱が必要。初級的な武器だ）,木の棒を作る
1003,初級採掘者,木の板と小さな木の棒で木のツルハシを作る#r（工具箱が必要。夜が来る前に身を隠す穴を掘る）,木のツルハシを作る
1004,農耕生活,木の板と小さな木の棒で木のくわを作る#r（工具箱が必要。土ブロックを畑にできる）,木のくわを作る
1005,初バトル,野蛮人を1匹倒す。どうやら獣の頭を持っているみたいだ#r（暗くなったら野蛮人が出る。危険な生き物だ）,野蛮人を倒す
1006,BBQタイム！,石ブロック8個で製錬炉を作る#r（工具箱が必要。いろんな鉱物を製錬できる）,製錬炉を作る
1007,神様の恩恵,草むしりをして、小麦の種を取得する@1#r（草を長押しすれば取得できる）,小麦の種を拾う
1008,黒炭いっぱい,木製の燃料で木を燃やして黒炭を作る@1#r（製錬炉が必要。トーチを作って照明に使うことができる）,黒炭を作る
1009,鉄のインゴット,鉄鉱石を製錬して鉄のインゴットを作る@1#r（製錬炉が必要。重要な資源である）,鉄のインゴットを作る
1010,高級採掘者,鉄のツルハシを作る#r（鉄のツルハシはダイヤ鉱石を採取できる）,鉄のツルハシを作る
1011,大儲け！,金の鉱石を採取する#r（地底深くにある）,金の鉱石を採取する
1012,わお、ダイヤ！,ダイヤ鉱石を採取する#r（地下深くにある）,ダイヤ鉱石を採取する
1013,初めての感電,鉄のツルハシかドリルで電石鉱石を採取する（地下深くにある）,電石鉱石を採取する
1014,固いやつ,ドリルで黒晶石を採取する#r(マグマの付近で見つかる可能性がある）,黒晶石を採取する
1015,魔法使い,融合付与箱を作る#r（工具箱が必要。工具に魔法を付与することができる）,融合付与箱を作る
1016,こっちを見てる,地心人を倒して地心の目を取得する#r（地心の目はどこかの方向へ飛ぶらしい）,地心の目#cfa7a0fを取得する
1017,上古の宝石,@Null@,#cfa7a0f上古の宝石を取得する
1018,地心のポータルの枠組み,スターステーションエネルギーカケラと黒晶石を使って#L#cfa7a0f地心のドアタイル#nをつくります。,地心ポータル枠を作る
1022,地心伝送ポータル,一つの地心転送ドアブロックを作って、地心のドアフレームのドアを埋めて、地心転送ドアを開く#r（中央2*3空間）,#cfa7a0f地心ポータルを作る
1023,@Null@,@Null@,@Null@
1024,ドラゴンスレイヤー,炎プラネッでのブラックドラゴンを倒しました。@1,#cfa7a0fブラックドラゴンを倒しました。
1025,@Null@,@Null@,@Null@
1026,@Null@,@Null@,@Null@
1027,@Null@,@Null@,@Null@
1028,@Null@,@Null@,@Null@
1029,@Null@,@Null@,@Null@
1030,@Null@,@Null@,@Null@
1031,@Null@,@Null@,@Null@
1032,@Null@,@Null@,@Null@
1033,@Null@,@Null@,@Null@
1034,@Null@,@Null@,@Null@
1035,@Null@,@Null@,@Null@
1036,@Null@,@Null@,@Null@
1037,@Null@,@Null@,@Null@
1038,@Null@,@Null@,@Null@
1039,@Null@,@Null@,@Null@
1040,@Null@,@Null@,@Null@
1041,@Null@,@Null@,@Null@
1042,@Null@,@Null@,@Null@
1043,@Null@,@Null@,@Null@
1044,@Null@,@Null@,@Null@
1045,@Null@,@Null@,@Null@
1046,@Null@,@Null@,@Null@
1047,@Null@,@Null@,@Null@
1048,@Null@,@Null@,@Null@
1049,アルパカのトレーナー,草えさ/肉えさやキュウリセットを使って、二つのアルパカを育つ。アルパカを200まで@1繁殖させる。,アルパカを繁殖させる#cfa7a0f
1050,サイ飼い,一握りの雑草や草えさを2頭のサイに与え、最大200頭＠1の子サイを繁殖させる,サイを繁殖させる#cfa7a0f
1051,ヨー！,一握りの雑草や草えさを2頭のツノジカに与え、最大200頭の子ツノジカ＠1を繁殖させる,ツノジカを繁殖させる#cfa7a0f
1052,子ドードー鳥召喚,草えさをドードー鳥に与え、最大200頭の子ドードー鳥＠1を繁殖させる＠1,ドードー鳥を繁殖させる#cfa7a0f
1053,大規模な繁殖拠点,前の任務を完成した後、自動的に完成します,完成#cfa7a0f動物育つシリーズの任務
1054,@Null@,@Null@,@Null@
1055,@Null@,@Null@,@Null@
1056,@Null@,@Null@,@Null@
1057,@Null@,@Null@,@Null@
1058,@Null@,@Null@,@Null@
1059,@Null@,@Null@,@Null@
1060,@Null@,@Null@,@Null@
1061,@Null@,@Null@,@Null@
1062,@Null@,@Null@,@Null@
1063,@Null@,@Null@,@Null@
1064,@Null@,@Null@,@Null@
1065,@Null@,@Null@,@Null@
1066,@Null@,@Null@,@Null@
1067,@Null@,@Null@,@Null@
1068,@Null@,@Null@,@Null@
1069,革のブーツ,@Null@,革のブーツを作る
1070,@Null@,@Null@,@Null@
1071,@Null@,@Null@,@Null@
1072,@Null@,@Null@,@Null@
1073,@Null@,@Null@,@Null@
1074,@Null@,@Null@,@Null@
1075,@Null@,@Null@,@Null@
1076,@Null@,@Null@,@Null@
1077,@Null@,@Null@,@Null@
1078,狩人の天敵,野蛮人狩人20個を倒す@1,#cfa7a0f野蛮人狩人#nを倒す
1079,虚空使徒の敵,虚空使徒を100体倒す@1,#cfa7a0f虚空使徒#nを倒す
1080,野蛮人の天敵,野蛮人500個を倒す@1,#cfa7a0f野蛮人#nを倒す
1081,ばくばくエッグ！,ばくばくエッグ20個を倒す@1,#cfa7a0fばくばくエッグ#nを倒す
1082,神の名に等しい,前置任務を達成したら自動的にこの任務を達成する,完成#cfa7a0fミラプラネット生物を倒す
1083,採掘勤勉(I),"#L#cfa7a0f石のツルハシ#n@1#rを100個作ろう
(石のツルハシでミスリルを集めることができます。）",#cfa7a0f石のツルハシを作る
1084,採掘勤勉(II),"#L#cfa7a0fミスリルのツルハシ#n@1#rを50個作る
(ミスリルのツルハシで高級な鉱石を集めることができます。）",#cfa7a0fミスリルのツルハシを作る
1085,採掘勤勉(III),"#L#cfa7a0fドリル#n@1#rを20個作る
(ドリルで鉱石を集めることができます。）",#cfa7a0fドリルを作る
1086,ガラス(I),#L#cfa7a0f透明のガラスブロック#n10個の製錬@1,#cfa7a0f透明のガラスブロック#nを製錬する
1087,ガラス(II),#L#cfa7a0f透明のガラスブロック#n500個の製錬@1,#cfa7a0f透明のガラスブロック#nを製錬する
1088,ガラス(III),#L#cfa7a0f透明のガラスブロック#n2000個の製錬@1,#cfa7a0f透明のガラスブロック#nを製錬する
1089,ミスリルを頂戴(I),#L#cfa7a0fミスリル#n10個を製錬する@1,#cfa7a0fミスリル#nを製錬する
1090,ミスリルを頂戴(II),#L#cfa7a0fミスリル#n100個を製錬する@1,#cfa7a0fミスリル#nを製錬する
1091,ミスリルを頂戴(III),#L#cfa7a0fミスリル#n300個を製錬する@1,#cfa7a0fミスリル#nを製錬する
1092,タングステン鉱石(I),#L#cfa7a0fタングステン鉱石の採掘（10個）#n@1,タングステン鉱石を採掘する
1093,タングステン鉱石(II),#L#cfa7a0fタングステン鉱石の採掘（50個）#n@1,タングステン鉱石を採掘する
1094,タングステン鉱石(III),#L#cfa7a0f#L#cfa7a0fタングステン鉱石の採掘（10個）#n@1,タングステン鉱石を採掘する
1095,キツネマスター(I),ドードー鳥の卵でキツネを1匹飼いならす@1,#cfa7a0fキツネを飼いならす
1096,キツネマスター(II),ドードー鳥の卵でキツネを5匹飼いならす@1,#cfa7a0fキツネを飼いならす
1097,キツネマスター(III),ドードー鳥の卵でキツネを20匹飼いならす@1,#cfa7a0fキツネを飼いならす
1098,炎(I),#L#cfa7a0f炎の製錬（5部）#n@1,#cfa7a0f炎を製錬する
1099,炎(II),#L#cfa7a0f炎の製錬（100部）#n@1,#cfa7a0f炎を製錬する
1100,炎(III),#L#cfa7a0f炎の製錬（500部）#n@1,#cfa7a0f炎を製錬する
1101,スターエナジーマスター(I),#L#cfa7a0fスターエナジー鉱石の採掘（10個）#n@1,#cfa7a0fスターエナジー鉱石を採掘する
1102,スターエナジーマスター(II),#L#cfa7a0fスターエナジー鉱石の採掘（200個）#n@1,#cfa7a0fスターエナジー鉱石を採掘する
1103,スターエナジーマスター(III),#L#cfa7a0fスターエナジー鉱石の採掘（500個）#n@1,#cfa7a0fスターエナジー鉱石を採掘する
1104,石の矢(I),#L#cfa7a0f石の矢#n10本を作る@1,#cfa7a0f石の矢#nを作る
1105,石の矢(II),#L#cfa7a0f石の矢#n100本を作る@1,#cfa7a0f石の矢#nを作る
1106,石の矢(III),#L#cfa7a0f石の矢#n1000本を作る@1,#cfa7a0f石の矢#nを作る
1107,森の守護者(I),10本以上の植樹@1#r（土のピットに#L#cfa7a0fチェリーの木の種#nを入れること）,#cfa7a0fチェリーの木#nを植える
1108,森の守護者(II),200本以上の植樹@1#r（土のピットに#L#cfa7a0fチェリーの木の種#nを入れること）,#cfa7a0fチェリーの木#nを植える
1109,森の守護者(III),2000本以上の植樹@1#r（土のピットに#L#cfa7a0fチェリーの木の種#nを入れること）,#cfa7a0fチェリーの木#nを植える
1110,アルパカテキ！(I),#L#cfa7a0f焼きアルパカテキを50個作る#n@1,#cfa7a0f焼きアルパカテキを作る
1111,アルパカテキ！(II),#L#cfa7a0f焼きアルパカテキを200個作る#n@1,#cfa7a0f焼きアルパカテキを作る
1112,アルパカテキ！(III),#L#cfa7a0f焼きアルパカテキを1000個作る#n@1,#cfa7a0f焼きアルパカテキを作る
1113,サイ肉！(I),#L#cfa7a0f焼きサイ肉を50個作る#n@1,#cfa7a0f焼きサイ肉を作る
1114,サイ肉！(II),#L#cfa7a0f焼きサイ肉を200個作る#n@1,#cfa7a0f焼きサイ肉を作る
1115,サイ肉！(III),#L#cfa7a0f焼きサイ肉を1000個作る#n@1,#cfa7a0f焼きサイ肉を作る
1116,焼きドードー鳥肉！(I),#L#cfa7a0f焼きドードー鳥肉を50個作る#n@1,#cfa7a0f焼きドードー鳥肉を作る
1117,焼きドードー鳥肉！(II),#L#cfa7a0f焼きドードー鳥肉を200個作る#n@1,#cfa7a0f焼きドードー鳥肉を作る
