ID,内容
ID,Content
1000000,ตื่นได้แล้ว! ตื่นเร็ว!
1000001,ในที่สุดคุณก็ได้ตื่นมาแล้ว! ฉันตกใจใหญ่เลย
1000002,ตอนแรก ทุกอย่างไปตามอย่างราบรื่น แต่ก่อนที่จะมาถึงดาวมิรา จู่ๆ พลังความว่างเปล่าจำนวนมากก็ควบแน่นอยู่ในห่วงโซ่ดวงดาว!
1000003,ชั่วพริบตา ทุกคนก็กระจัดกระจาย และดูเหมือนว่ามีแต่พวกเราเท่านั้นที่มาถึงดาวมิราแล้ว ไม่รู้ตอนนี้ทุกคนเป็นไงบ้างแล้ว.....
1000004,คุณยังโอเคไหม เรามาเช็คสถานะกันก่อนดีกว่า
1000011,ดูนี่สิ ตรงนี้จะแสดงถึงค่าHPและค่าความแข็งแรง
1000012,แถบสีแดงหมายถึงระดับสุขภาพของคุณในปัจจุบัน หากต่ำเกินไป จะเป็นอันตรายมาก
1000013,ส่วนแถบสีเหลืองคือค่าความแข็งแรงที่เหลืออยู่ในปัจจุบันของคุณ
1000014,หากต่ำเกินไปจะทำให้เหนื่อยมากและประสิทธิภาพจะลดลง เมื่อพบกับสิ่งอันตรายคุณอาจจะหนีไม่ทัน
1000021,"ด้านล่างนี้เป็น ""แถบช่องลัด"" หากคุณคลิกที่ตารางเหล่านี้ คุณจะสามารถเปลี่ยนอุปกรณ์ในมือได้อย่างรวดเร็ว"
1000022,ตอนนี้อาการของคุณไม่ค่อยดี มาทานอะไรให้หายไวๆก่อน!
1000023,คลิกและถือไว้ในมือ
1000031,"ด้านล่างนี้เป็น ""แถบช่องลัด"" โดยการกด ""ปุ่มตัวเลข"" ที่สอดคล้องกันก็จะสามารถเปลี่ยนอุปกรณ์ในมือได้อย่างรวดเร็ว"
1000032,ตอนนี้อาการของคุณไม่ค่อยดี มาทานอะไรให้หายไวๆก่อน!
1000033,สลับไปที่ตารางนี้และถือไว้ในมือ
1000041,"ดูสิ ได้อาหารมาแล้ว อิอิ ตอนนี้กดปุ่ม ""ใช้"" นี้ค้างไว้เพื่อกินอาหาร"
1000051,ดูสิ ได้อาหารมาแล้ว อิอิ ตอนนี้กดปุ่มเมาส์ขวานี้ค้างไว้เพื่อกินอาหาร
1000061,ตอนนี้อาการดีขึ้นมากแล้วเรามาเช็คสภาพร่างกายกัน
1000062,ตามฉันมาและก้าวไปข้างหน้าสองก้าว คลิกจอยสติ๊กดันไปข้างหน้าเพื่อก้าวไปข้างหน้า
1000063,ตอนนี้เรามาเดินถอยหลัง คลิกจอยสติ๊กดันไปข้างหลังเพื่อถอยไปข้างหลัง
1000064,ดีมาก ตอนนี้เราไปทางซ้าย ลองกดจอยสติ๊กไปทางซ้าย
1000065,ตอนนี้เราไปทางขวา ลองกดจอยสติ๊กไปทางขวา
1000071,ตอนนี้อาการดีขึ้นมากแล้วเรามาเช็คสภาพร่างกายกัน
1000072,"ตามฉันมาและก้าวไปข้างหน้า กดปุ่ม ""W"" บนแป้นพิมพ์เพื่อเดินไปข้างหน้า"
1000073,"ตอนนี้เรามาเดินถอยหลัง กดปุ่ม ""S"" บนแป้นพิมพ์เพื่อถอยไปข้างหลัง"
1000074,"ดีมาก ตอนนี้เราไปทางซ้าย ลองกดปุ่ม ""A"" บนแป้นพิมพ์ของคุณ"
1000075,"ตอนนี้เราไปทางขวา ลองกดปุ่ม ""D"" บนแป้นพิมพ์ของคุณ"
1000081,ดูเหมือนว่าจะไม่มีปัญหาร้ายแรงกับร่างกาย ต่อไปลองกระโดดกัน
1000082,กดปุ่ม“กระโดด”นี้เพื่อกระโดด
1000083,"กระโดดได้ปกติ ต่อไปลองเข้าโหมดย่องเดิน กดปุ่ม""ย่องเดิน""นี้เพื่อเข้าโหมดย่องเดิน"
