ID,购买提示
ID,BuyTips
1,รับไอเทมปลดล็อกได้จากผลไม้ในสวน
2,รับไอเทมปลดล็อกได้จากผลไม้ในสวน
3,รับไอเทมปลดล็อกได้จากกิจกรรม
4,รับไอเทมปลดล็อกได้จากกิจกรรม
5,รับไอเทมปลดล็อกได้จากผลไม้ในสวน
6,รับไอเทมปลดล็อกได้จากผลไม้ในสวน
7,โชว์ที่มาของไอเทมเมื่อสวนมี LV10
8,รับไอเทมปลดล็อกได้จากผลไม้ในสวน
9,รับไอเทมปลดล็อกได้จากผลไม้ในสวน
10,รับไอเทมปลดล็อกได้จากกิจกรรม
11,รับไอเทมปลดล็อกได้จากกิจกรรม
12,@Null@
13,@Null@
14,@Null@
15,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
16,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
17,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
18,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
19,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
20,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
21,@Null@
22,@Null@
23,@Null@
24,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
25,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
26,@Null@
27,@Null@
28,@Null@
29,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
30,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
31,@Null@
32,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
33,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
34,ไอเทมที่ปลดล็อคสามารถแลกเปลี่ยนได้ในร้านค้าโบนัส
35,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
36,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
37,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
38,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
39,สามารถได้รับไอเทมปลดล็อกจากกิจกรรมผลไม้ในสวน (ยกเว้นผลไม้ทองและผลไม้ธรรมดา)
