ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
ID,Name,Desc,BuyTips,EffectDesc1,EffectDesc2,EffectDesc3,EffectDesc4,EffectDesc5,EffectDesc6
1,Panda,"Panda çocuk, en çok gevrek bambuyu sever!",Görünüm kartı ev meyvelerinden elde edilebilir! (ölçülü eğlence ve akılcı tüketim),Ayak İzleri: Geçtiği yerde panda ayak izleri kalır.,Avatar: Panda avatarının kilidini aç.,@Null@,,,
2,Küçük Maymun Kralı,"Maymun Yılı Bahar Şenliği için sınırlı sayıda satışa sunulan Maymun Kral, Bahar Şenliği'ni kutlamak için sizele birlikte!",Görünüm kartı ev meyvelerinden elde edilebilir! (ölçülü eğlence ve akılcı tüketim),Ayak izleri: Geçtiği yerde uğurlu bulutlar kalır,Avatar: Küçük Maymun Kral avatar kilidi aç.,@Null@,,,
3,Güzel Tavşan,"Tatlı bir tavşan kız.
 Geçtiği yerlere turp ayak izleri bırakır.",Görünüm kartı ev meyvelerinden elde edilebilir! (ölçülü eğlence ve akılcı tüketim),Ayak İzleri: Geçtiği her yerde turp ayak izleri kalır.,Avatar: Güzel Tavşan avatar kilidi aç.,@Null@,,,
4,Misra,İlkel dünyada Misra'dan sakının!,Görünüm kartı ev meyvelerinden elde edilebilir! (ölçülü eğlence ve akılcı tüketim),Ayak İzleri: Geçtiği yerde dinozor pençe izleri kalır.,Avatar: Misra avatarının kilidi aç.,@Null@,,,
5,Tatlı Garson,Ding! Meow Café'ye hoş geldiniz!,Kilidi açma eşyası ev meyvelerinden elde edilebilir! (ölçülü eğlence ve akılcı tüketim),Ayak İzleri: Geçtiği yerde kedi ayak izleri kalır.,Avatar: Garson Sweety avatar kilidi aç.,@Null@,,,
6,George,Sporu ve müziği seven enerjik bir çocuk.,Kilidi açma eşyası ev meyvelerinden elde edilebilir! (ölçülü eğlence ve akılcı tüketim),Ayak izleri:Geçtiği yerde mavi kalp kalır.,Avatar: George avatarının kilidi aç.,@Null@,,,
7,Anny,Dans ve tatlı seven enerji dolu bir kız.,Kilidi açma eşyası ev meyvelerinden elde edilebilir! (ölçülü eğlence ve akılcı tüketim),Ayak izleri: Geçtiği yerde kırmızı kalpler kalır.,Avatar: Anny avatarının kilidi aç.,@Null@,,,
8,Mo Ailesi Xiaofei,"Eski Mo ailesinin bir üyesi, üretim mekanizmasının ustasıdır.",Henüz müsait değil.,Yürüyen ayak izleri: Rüzgarın kanatları yürüdüğünüz yerde kalacak.,Profil fotoğrafı: Mekanizma bölümü profil fotoğrafının kilidini açın.,Mod özel uçuş eylemi oluşturun,Mod uçuş efektleri oluşturun,,
9,Dracula VI,"İlk ısırığı alan kraliyet ailesinin torunu, zarif ve soğuk.",Kilidi açma eşyası ev meyvelerinden elde edilebilir! (ölçülü eğlence ve akılcı tüketim),Özel vücut efekti: Kanlı sis ve siyah yarasa yayar.,Avatar: Dracula VI avatarının kilidini aç.,@Null@,,,
10,Zilli Geyik,"Şirin ve yaramaz küçük geyik, Mutlu Noel Vadisi'nde yaşıyor.",@Null@,Özel vücut efekti: Noel atmosferi yayar!,Avatar: Zilli Geyik avatarı kilidini aç,Ayak izleri: Geçtiği her yerde Noel geyiği ayak izleri kalacak,,,
11,Çorak avcısı Snow,"Cesure Çorak Avcısı Snow kutup bölgesinden gelmektedir. 
 Kartallar onun arkadaşıdır.",@Null@,Özel vücut efekti: vücutta soğuk kar taneleri çıkar,Avatar: Funda Avcısı Karı avatarının kilidi aç.,Ayak İzleri: Geçtiği her yerde kartopu ayak izleri kalacak,,,
12,Yuji,Cennetten dünyaya düşmüş ve tesadüfen Murong'la tanışmış olan bir peri,@Null@,Özel vücut efekti: Etrafında yapraklar uçar,Avatar: Yuji avatarının kilidi aç.,@Null@,,,
13,Murong,"Pratik yapmak için dağdan çıkan münzevi, tesadüfen Yuji ile karşılaştı.",@Null@,Özel vücut efekti: Kuvvetli nefes çıkar,Avatar: Murong avatarının kilidi aç.,Ayak izleri: Geçtiği her yerde ayak izleri kalacak,,,
14,Batı Şerif Joy,Üzgünüz! Belkide mermilerim seni pek beğenmiyor,@Null@,Özel vücut efekti: Ayakta kovboyun duman ve tozları çıkar,Avatar: Joey avatarının kilidi aç.,Ayak izleri: nereye giderseniz gidin polis yıldızlarının ayak izleri kalacak,,,
15,Basketbol lideri Lucas,"Keskin farkındalık, zarif duruş, muhteşem smaçlar ve seyircinin kontrolünde yıldız",@Null@,@Null@,Avatar: Lucas avatarının kilidi aç.,Ayak izleri: Geçtiği her yerde basketbol ayak izleri kalacak,,,
16,Ponpon kız Clair,"Lucas gibi, onun varlığı herkesin dikkatini çekebilir ve göz alıcıdır.",@Null@,@Null@,Avatar: Ponpon Kız avatarının kilidini aç.,Ayak izleri: Geçtiği her yerde şerit ayak izleri kalacak,,,
17,Batı gülü Lucy,"Ahhuh, mermim senden hoşlanıyor olabilir",@Null@,Özel vücut efekti: Cazibeli kırmızı kalpler çıkar,Avatar: Gül avatarının kilidini aç,@Null@,,,
18,Siyah şapkalı kaptan Tiç,"Mary, denizin sonundaki hazineyi arayan en prestijli korsan kaptan olmak istiyorum!",@Null@,@Null@,Avatar: Kaptan avatarının kilidini aç.,Ayak izleri: Geçtiği her yerde ayak izleri kalacak,,,
19,Mary,O zaman en prestijli korsan kaptanın küçük takipçisi olacağım~,@Null@,Özel vücut efekti: pembe okyanus kokusu yayar,Avatar: Avatarın kilidini aç.,@Null@,,,
20,Jinyi,Ay altında eski vatanımı özlüyorum,@Null@,Yürüyen ayak izleri: ayak tabanlarında rüzgar,Avatar: Avatarın kilidini aç.,@Null@,,,
21,Xiaolou,"Memleketimi keybetmeden önce kardeşimle havai fişekleri izliyorduk, ama o şimdi dünyanın neresinde olduğunu bilmiyorum.",@Null@,Özel vücut efekti: yüzen şeftali çiçekleri,Avatar: Avatarın kilidini aç.,@Null@,,,
22,Lilis,Şeker mi şaka mı,@Null@,Özel vücut efekti: cadı atmosferi yayar,Avatar: Avatarın kilidini aç.,@Null@,,,
23,Wuşuang,"Beni sinir etme, bende güç çok",@Null@,Özel vücut efekti: vücutta mavi çiçekler,Avatar: Wushuang‘s avatarı.,@Null@,,,
24,Dragonet,Kardeşimin dünyasını ben koruyacağım,@Null@,Ayak izleri: Yürüdüğü her yerde siyah duman kalır.,Avatar: Dragonet avatarı kilidini aç,@Null@,,,
25,Erlang,"Dünyada öyle harika bir yer var ki, onu güvende tutacağım!",@Null@,Özel vücut efekti: Pozitif enerji yayar.,Avatar: Erlang avatarı kilidini aç,@Null@,,,
26,Mermale,"Annem, sadece hayalleri olan balıkların mutlu olacağını söyledi.",@Null@,"Özel vücut efekti: Vücut, rüyaların nefesini yayar...",Avatar: Mermale'nin avatarını aç.,@Null@,,,
27,Misoso,"""Dünya Koruyucu Programı""nın çevre rüyasının baş mimarı, yeşil bir ev için savaşıyor.
 
 Giderek ciddileşen çölleşme karşısında, ""Mini Dünya""nın ikinci yıldönümünde, tüm oyuncular adına, Alxa Charity'ye 50.000 ""Shusuo"" ağacı bağışladı. """,Kilidi açma eşyası dünyayı koruma planından elde edilir,Özel vücut efekti: vücut ağaçların kokusunu yayar,Avatar: Misoso'nun avatarını aç.,@Null@,,,
28,Mini-X,"Zamanı ve mekanı koruyan, seyahat etmeyi ve müziği seven bir kız.",@Null@,Özel vücut efekti: Elektromanyetik parçacıklar vücut üzerinde yüzer.,Avatar: Mini-X'in avatarını aç,@Null@,,,
29,Mini-T,"Soğuk bedenin altında sıcak bir ruh var, hedefi yıldızlar ve deniz!",@Null@,Özel vücut efekti: Arkada yüzen elektromanyetik parçacıklar.,Avatar: Mini-T'in avatarını aç,@Null@,,,
30,Ay peri,"Ayın ortasında dans eden küçük peri, sadece şanslı insanların görme şansına sahip olduğu söyleniyor.",@Null@,Özel vücut efekti: vücut üzerinde yüzen hilaller.,Avatar: Avatarın kilidini aç.,@Null@,,,
31,Pumpkie,Bir taumaturji kitabı ve görünüşte işe yaramaz sihirli başlığı olan gizemli ve güçlü bir sihirbaz.,@Null@,Özel vücut efekti: büyülü bir nefes yayar.,Avatar: Kabak profil resmini aç,@Null@,,,
32,Mina,"Gizemli sualtı krallığından gelen küçük prenses, yanlışlıkla mini dünyaya girdi ve yolunu kaybetti. Onu mutlu eden insanlar onun güzel şarkısını duyacaklar.",@Null@,Vücut etkileri: vücut üzerinde su damlaları.,Görüntü：Mina resmini aç,Ayak İzleri: Geçtiği her yerde kabuk ayak izleri kalacak.,,,
33,Christopher,"Kışın sırrı, her kar tanesinin bir ömrü olmasıdır ve birbirlerini korurlar.",@Null@,Özel vücut efekti: Kar vücutta yüzer.,Avatar: Christopher profil resmini aç,@Null@,,,
34,Popo,"Dudu ve Bobo, Misra'nın iyi arkadaşlarıdır, ancak genellikle çok zayıf oldukları için kendilerini aşağılık hissederler. Renk büyüsünün bir gezegende elde edilebileceğini duyana kadar umutla ilerlediler (kilidini açmak için mini yıldız atölyesi çizim paketini satın alın, tüm Dudu ve Bobo kostümlerini toplayın, renk değiştiren kostüm Dudu ve bobo'nun kilidini açacak!)",@Null@,Özel vücut efekti: Renk çevre ile değişir,Avatar: profil resmini aç,@Null@,,,
35,nesli tükenmiş bir kuş,"Dudu ve Bobo, Misra'nın iyi arkadaşlarıdır, ancak genellikle çok zayıf oldukları için kendilerini aşağılık hissederler. Renk büyüsünün bir gezegende elde edilebileceğini duyana kadar umutla ilerlediler (kilidini açmak için mini yıldız atölyesi çizim paketini satın alın, tüm Dudu ve Bobo kostümlerini toplayın, renk değiştiren kostüm Dudu ve bobo'nun kilidini açacak!)",@Null@,Avatar: Avatarın kilidini açın.,@Null@,@Null@,,,
