购买ID,道具ID,越南语
ProductID,ID,Desc
1,24601,Sau khi mua: Nhận được hầu hết các skin DIY trong 30 ngày
4,12856,Sau khi mua: Có thể đổi tên 1 lần
8,12965,"Gồm 3 Quyển có thể dịch chuyển về nhà trong nháy mắt, rất tiện."
13,10025,Chứa 3 vé có thể dịch chuyển tức thời trở lại vị trí nhà của hành tinh hiện tại. Rất tiện lợi.
10,1055,"Rương đã có mật khẩu, nhập mật khẩu mà chủ phòng đã đặt."
11,1056,"Rương đã có mật khẩu,  nhập mật khẩu mà chủ phòng đã đặt."
5,845,"Chỉ giành cho Chủ Phòng, rất kiên cố, đủ để bảo vệ bạn khỏi gấu dữ."
6,846,"Chỉ giành cho Chủ Phòng, rất kiên cố, đủ để bảo vệ bạn khỏi gấu dữ."
2,12751,"Sau khi sử dụng, bắn pháo hoa với mô hình Gashapon lên bầu trời (mua và nhận #c0AAA1A Vé Gashapon * 1 #n)"
3,12752,"Sau khi sử dụng, bắn pháo hoa với mô hình Trái cây lên bầu trời (mua và nhận #c0AAA1A Vé sự kiện * 1 #n)"
7,12831,"Bắn pháo hoa rực rỡ lên trời, rớt 1 số EXP"
9,12750,"Bắn Pháo Hoa Mặt Cười lên trởi!
(Tặng #c5aea0aĐậu Mini#n x300)"
12,10023,"Sau khi sử dụng, bạn có thể nhận được điểm thẻ tiện lợi"
