ID,名字,描述
ID,Name,Desc
1,Cucciolo di animale da sella,Può partorire un cucciolo di animale da sella dopo un certo periodo passato nella mappa. Il cucciolo può essere inviato ad altri giocatori nella stanza.
2,Scatto,La velocità di movimento aumenta del 30% durante la carica.
3,Cammina sull'acqua,"Cammina veloce sulla superficie dell'acqua, ma non può saltare sull'acqua."
4,Super salto,Abilità nel salto di livello superiore.
5,Planaggio,Può volare e planare nell'aria.
6,Cammina sul magma,Può camminare sulla superficie del magma
7,Corsa,Premi il tasto Salta dopo aver saltato per correre in avanti.
9,Doppio animale da sella,Può trasportare due passeggeri. Invita un amico a cavalcarlo con te!
10,Salto d'aria,"Salto libero nell'aria, ma questo ti farà cadere più velocemente che mai."
11,Tenace,Avere più punti salute
12,Galleggiante,Galleggia sull'acqua
13,Tuffo,Immergiti nell'acqua
14,corsa,"Premi il pulsante di salto mentre sei in acqua, rilascia l'abilità di corsa per correre verso la direzione corrente"
15,Robots Attack,Sprint and hit forward
16,Fusion Cannon,Fire the Cannon in straight lines
17,Bumblebee Slash,Sprint for a while
18,Picchiata,Premere a lungo salto al potere accumularsi. Esso decelera la creatura avanti quando atterra.
19,Intimidire,Premere a lungo salto al potere accumularsi. Sarà respingere l'avanti creatura in una breve distanza quando atterra.
20,Galleggiante,Galleggiare in aria e spostare per un breve tratto. non perderà HP quando cade.
21,Volare,Volare per una distanza in aria. non perderà HP quando cade.
22,Doppio animale da sella,Può trasportare due passeggeri. Invita un amico a cavalcarlo con te!
23,Scudo energetico,Genera uno scudo di energia per proteggere te ei tuoi amici.
24,Mount singolo,Può trasportare un pilota
25,Air Alert,Volare per una distanza in aria. non perderà HP quando cade.
26,Red Lightening,Sprint for a while
27,Fusion laser,Fire the Cannon in straight lines
28,Inferno di fuoco,"Fare clic su [Attacco] a sparare fuori fuoco, infliggendo un buff che brucia sulla creatura di fronte a voi"
29,fantasma di fuoco,"Fare clic su [Attacco] a sparare fuori fuoco, infliggendo un buff che brucia sulla creatura di fronte a voi"
30,Flutter Ala,Premere a lungo [Vai] per volare per un breve tratto. Non perderete HP quando si cade
31,diffusione Ala,Premere a lungo [Vai] per volare per una lunga distanza. Non perderete HP quando si cade
32,Drago Roar,Clicca per ruggito. Rallentare la creatura di fronte a voi
33,Swift Ala,Premere a lungo Vai a volare per un breve tratto. non perderà HP quando cade
