ID,名字,描述,追踪
ID,Name,Desc,TrackDesc
1000,ฉันต้องการไม้,เก็บไม้ ได้บล็อกไม้ #r (กดลำต้นค้างไว้เพื่อเก็บ),เก็บ #cfa7a0fบล็อกไม้
1001,งานฝีมือ!,ใช้ไม้อะไรก็ได้ทำแผ่นไม้ และใช้แผ่น 4 แผ่นทำหีบเครื่องมือ #r (เปิดเป้ก่อนแล้วเลือกทำตามป้ายด้านซ้าย),สร้าง #cfa7a0fหีบเครื่องมือ
1002,คนเถื่อนต้องแพ้,ใช้แผ่นไม้และท่อนไม้คราฟ์กระบองไม้#r(ต้องใช้หีบเครื่องมือ อาวุธขั้นต้น),สร้าง #cfa7a0fกระบองไม้
1003,คนงานเหมือง,ใช้แผ่นไม้และท่อนไม้คราฟต์อีเต้อไม้#r(ใช้หีบเครื่องมือขุดถ้ำซ่อนตัวก่อนมืด),สร้าง #cfa7a0fอีเต้อไม้
1004,ชีวิตาวนา,ใช้แผ่นไม้และท่อนไม้คราฟต์จอบไม้#r(ต้องใช้หีบเครื่องมือ ทำให้ดินกลายเป็นที่นา),สร้าง #cfa7a0fจอบไม้
1005,การต่อสู้ครั้งแรก,กำจัดคนป่า1คน ดูเหมือนมันจะใส่หัวสัตว์#r(คนป่าเป็นสิ่งมีชีวิตอันตราย ปรากฏตัวตอนกลางคืน),กำจัด #cfa7a0fคนป่า
1006,เวลาบาร์บีคิว!,สร้างเตาหลอมด้วยก้อนหิน 8 ก้อน@1#r(ต้องการหีบเครื่องมือ และสามารถหลอมแร่ต่างๆ),สร้าง #cfa7a0fเตาหลอม
1007,ของขวัญจากพระเจ้า,กำจัดวัชพืชและรับเมล็ดข้าวสาลี@1#r(กดค้างที่วัชพืชแล้วจะมีโอกาสได้เมล็ดข้าวสาลี),เก็บ #cfa7a0fเมล็ดพันธุ์ข้าวสาลี
1008,เตาถ่าน,เผาไม้ด้วยวัสดุจากไม้เพื่อให้ได้ถ่าน@1#r(ต้องใช้เตาหลอม สามารถทำคบเพลิงส่องแสงได้),สร้าง #cfa7a0fถ่าน
1009,แท่งเหล็ก,หลอมแร่เหล็กเพื่อรับแท่งเหล็ก@1#r(ต้องใช้เตาหลอม),สร้าง #cfa7a0fแท่งเหล็ก
1010,นักขุดมืออาชีพ,ใช้แท่งเหล็กและท่อนไม้สร้างอีเต้อเหล็ก#r(อีเต้อเหล็กสามารถใช้เก็บเพชรได้),สร้าง #cfa7a0fอีเต้อเหล็ก
