ID,购买提示
ID,BuyTips
1,المعدات التي تم فتحها يمكن الحصول عليها من فاكهة الحديقة
2,المعدات التي تم فتحها يمكن الحصول عليها من فاكهة الحديقة
3,فتح في الأحداث
4,فتح في الأحداث
5,المعدات التي تم فتحها يمكن الحصول عليها من فاكهة الحديقة
6,المعدات التي تم فتحها يمكن الحصول عليها من فاكهة الحديقة
7,سوف يتم فتح الطريق الحصول عند وصول الحديقة الي المستوي 10
8,المعدات التي تم فتحها يمكن الحصول عليها من فاكهة الحديقة
9,المعدات التي تم فتحها يمكن الحصول عليها من فاكهة الحديقة
10,فتح في الأحداث
11,فتح في الأحداث
12,0
13,0
14,0
15,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
16,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
17,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
18,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
19,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
20,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
21,@Null@
22,@Null@
23,@Null@
24,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
25,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
26,0
27,0
28,0
29,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
30,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
31,0
32,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
33,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
34,يمكن اعادة احياؤها في متجر ميني بوينت
35,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
36,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
37,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
38,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
