ID,任务名
ID,Name
1001,حرب الفضاء!
1002,اعمل بجد من أجل الفجر
1003,مستكشف جديد
1004,التعلم مدى الحياة
1005,مستكشف ماهر
1006,مهندس خطوط النجم
1007,ضاع في الغابات المطيرة
1008,محاكمة أبدية
1009,"سوبر الإنقاذ الجوي ""الحجر"""
2001,صانع الأدوات
2002,حارس الغابة
2003,زهرة الهمس
2004,مراقب المزرعة
2005,قصة حيوان
2006,سيد الوحش
2007,مقدمة في الطبخ
2008,طباخ متقدم
2009,طباخ ماهر
2010,عالم فن كبير
2011,أسطورة الصيد
2012,خبير تنقيب
3001,حرفي سلاح
3002,فني درع
3003,رونيك السلطة العطشى
3004,جنون ووريورز
3005,صياد الانتقام
4001,شريك ثقة
4002,آثار وجودي
4003,مسافر السهول الرملية
4004,ثلاثون الف فرسخ تحت البحر
4005,البعثة القطبية
4006,الدائرة النجمية (محجوزة)
4007,مركبة ميكانيكية (محجوزة)
