接口ID,繁体,繁体,繁体,中文繁體,中文繁體,中文繁體,中文繁體
ID,TypeName,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,遊戲管理,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,結束比賽,local result = Game:doGameEnd()
10002,遊戲管理,setScriptVar,"Game:setScriptVar(index, val)","index:number index from 1 , val:number customized value",ErrorCode.OK,設置腳本參數，供自定義使用,"local result = Game:setScriptVar(index, val)"
10003,遊戲管理,getScriptVar,Game:getScriptVar(index),index:number index from 1 ,"ErrorCode.OK, val:number User Value",獲取腳本參數，自定義使用,local result = Game:getScriptVar(index)
10004,遊戲管理,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,上傳設置好的腳本參數,local result = Game:sendScriptVars2Client()
10005,遊戲管理,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",新增全局效果,local result = Game:addRenderGlobalEffect(path)
10006,遊戲管理,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,移除全局效果,local result = Game:removeRenderGlobalEffect(effectid)
10007,遊戲管理,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,設置全局效果位置,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,遊戲管理,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,設置全局效果縮放,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,遊戲管理,msgBox,Game:msgBox(msg),,,messagebox,local result = Game:msgBox(msg)
20001,世界管理,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",是否是白天,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --If it is night, then give the torch to players
        local itemId, itemCnt = 817, 2 --Torch id and numbers
        Player:gainItems(playerId, itemId, itemCnt, 1)
end"
20002,世界管理,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",是否是自定義遊戲,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('Customize mode') end"
20003,世界管理,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",是否是創造模式,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('Creation mode') end"
