ID,名字,描述,追踪
ID,Name,Desc,TrackDesc
1000,我需要些木頭,採集木頭，獲得一個木頭方塊#r（長按樹幹採集）,採集#cfa7a0f木頭
1001,手藝活！,用任意木頭製作木板，用4個木板製作1個工具箱#r（先打開背包，左邊標籤選擇製作）,製作#cfa7a0f工具箱
1002,蠻人必須敗！,用木板和木棍製作木棒#r（需要工具箱，初級的武器）,製作#cfa7a0f木劍
1003,初級礦工,用木板和木棍製作木礦鎬#r（需要工具箱，夜晚前挖個藏身洞）,製作#cfa7a0f木礦鎬
1004,農耕生活！,用木板和木棍製作木鋤頭#r（需要工具箱，使土塊變成耕地）,製作#cfa7a0f木鋤頭
1005,第一次戰鬥,打敗1只野人，它似乎帶著獸頭#r（野人天黑會出現，是危險的生物）,打敗#cfa7a0f野人
1006,燒烤時間！,用8個石塊製作1個熔煉爐@1#r（需要工具箱，可熔煉各種礦物）,製作#cfa7a0f熔煉爐
1007,上帝的恩賜,除小草獲得麥子的種子@1#r（長按小草可能獲得）,拾取#cfa7a0f小麥的種子
1008,黑炭一籮筐,用木質材料燒木頭獲得黑炭@1#r（需要熔煉爐，可製作火炬照明）,製作#cfa7a0f黑炭
1009,鑄鐵錠,熔煉鐵合金礦獲得鑄鐵錠@1#r（需要熔煉爐，是重要的資源）,熔煉#cfa7a0f鑄鐵錠
1010,高級礦工,用鑄鐵錠和木棍製作鐵礦鎬#r（鐵礦鎬可以採集藍鑽礦）,製作#cfa7a0f鐵礦鎬
1011,我發財了！,用鐵礦鎬或鑽石鎬採集金礦石#r（在地底深處）,採集#cfa7a0f金礦石
1012,哦耶，鑽石！,用鐵礦鎬或鑽石鎬採集鑽石礦石#r（在地底深處）,採集#cfa7a0f鑽石礦石
1013,第一次觸電,用鐵礦鎬或鑽石鎬採集電石礦石#r（在地底深處）,採集#cfa7a0f電石礦石
1014,硬傢伙,用鑽石鎬採集黑晶石#r(可能會出現在岩漿附近）,採集#cfa7a0f黑晶石
1015,魔法師,製作融合附魔箱#r（需要工具箱，可使工具附上魔法）,製作#cfa7a0f融合附魔箱
1016,這東西在看我,打敗地心人獲得地心之眼#r（地心之眼好像會飛向某個地方）,拾取#cfa7a0f地心之眼
1017,遠古寶石,從地牢中獲得遠古寶石，丟掉再撿起來，因為它散發著遠古的魔能…,拾取#cfa7a0f遠古寶石
1018,地心門磚,遠古寶石和黑晶石等製作#L#cfa7a0f地心門磚#n,製作#cfa7a0f地心門磚
1022,地心傳送門,製作1個地心傳送門塊把地心門框門內填滿開啟地心傳送門#r（中心2*3空間）,製作#cfa7a0f地心傳送門
1023,另一個世界,進入地心打敗熔岩巨人@1#r（這個世界充滿火焰）,打敗#cfa7a0f岩漿怪
1024,屠龍者,打敗烈焰星上的遠古黑龍@1,打敗#cfa7a0f遠古黑龍
1025,紀念品,拾取#L#cfa7a0f黑龍雕像#n@1#r（好像野人很害怕黑龍雕像）,拾取#cfa7a0f黑龍雕像
1026,未知的世界,結束了？這才剛開始！ #r（某某某：我還會回來的）,未知的#cfa7a0f世界
1027,鐵桶,製作1個#L#cfa7a0f鐵桶#n打水#r（1格水灌溉周圍4格耕地）,製作#cfa7a0f鐵桶
1028,耕種季節,對耕地使用#L#cfa7a0f麥子種子#n播種#r（只能種植在耕地上）,使用#cfa7a0f小麥種子
1029,收穫季節,獲得#L#cfa7a0f麥子#n#r（生長成熟後才能獲得麥子）,拾取#cfa7a0f小麥
