ID,名字,描述
ID,Name,Desc
1,تحية,موجة وقل مرحبا
2,شك,العقول الصغيرة، شكوك كبيرة
3,بكاء,تغطية وجهك والبكاء
4,غاضب,غاضب و stomping.
5,تمتد,نعسان قليلا، امتداد كسول
6,سعيد,يبدو سعيدا
7,ممتن,انحنان بإخلاص
8,فراغ,انظر حولها والاسترخاء
9,يسقط,تقع على الأرض فجأة
10,يشير إلى,وضعت على تحرك توقيع ساحر
11,العمل الحصري,fluttershy العمل الحصري
12,العمل الحصري,الأميرة لونا العمل الحصري
13,العمل الحصري,pinkie فطيرة العمل الحصري
14,العمل الحصري,Starlight Glimmer العمل الحصري
15,العمل الحصري,rainbow اندفاعة الإجراءات الحصرية
16,العمل الحصري,أميرة إيقاع العمل الحصري
17,العمل الحصري,زهرة دوامي العمل الحصري
18,العمل الحصري,أميرة فروست العمل الحصري
19,العمل الحصري,روري اتخاذ إجراءات حصرية
20,اختبار التفاعل 1.,العمل التفاعلي من ساكورا والبرق
21,اختبار التفاعل 2.,العمل التفاعلي لساكورا وساكورا
22,اختبار التفاعل 3.,الإجراءات التفاعلية المشتركة لساكورا
23,ارتفاع الملاحمة Air Marsall,لعب القيثارة
24,المرتفع Warbler - مبتدئ,دوامة والرقص
25,أظهر الروح القتالية,إجراء تانغ سان الحصري
26,أظهر الروح القتالية,رقص صغير عمل حصري
27,أظهر الروح القتالية,عمل حصري ثنائي واحد ثنائي دونغ
28,أطلق العنان لمهارات الروح,عمل حصري أوسكار
29,أظهر الروح القتالية,إجراء حصري من Ma Hongjun
30,تحرير قدرات الروح,عمل حصري لداي موباي
31,أظهر الروح القتالية,الإجراء الحصري لـ Zhu Zhuqing
32,عرض فنون الدفاع عن النفس,الإجراء الحصري لـ Ning Rong
33,عرض فنون الدفاع عن النفس,الإجراء الحصري لـ Zhu Zhuqing
34,عرض فنون الدفاع عن النفس,الإجراء الحصري لـ Ning Rong
