购买ID,道具ID,日语
ProductID,ID,Desc
1,24601,買って使う：大多数のスキンを30日間体験できる
4,12856,買って使う：ニックネームを1回変更できる。
8,12965,ホームへ瞬間転送できる巻物が３枚入っている。とても便利。
13,10025,現在のプラネットの家に瞬時にテレポートするために使用できる3枚のチケットが含まれている。とても便利だ
10,1055,ホストの専有箱は、友達はルームのホストが設置したパスワードを入力してあけます。
11,1056,ホストの専有箱は、友達はルームのホストが設置したパスワードを入力してあけます。
5,845,部屋ホスト専用、とても硬いです。熊予防に必須
6,846,部屋ホスト主専用、大きくて頑丈です。熊予防に必須
2,12751,使用すると、ツイスター模様の花火を空に打ち上げることができます。（購入時に#c0AAA1Aツイスターチケット*1#nを送る)
3,12752,使用すると、果実模様の花火を空に打ち上げることができます。(購入時に#c0AAA1A活動券*1#nを送る)
7,12831,空に打ち上げる綺麗な花火。経験値が落ちてくる！
9,12750,"スマイリーな花火を空気に乗せる！
（#c5aea0aミニビーン#nx300を与える）"
12,10023,使用後、バトルパスを獲得できる
