ID,名字,描述,获得方式
ID,Name,Desc,GetWay
0,Udara,Kamu tidak dapat melihat aku,@Null@
1,Batu Pusat Bumi,"Terletak di pusat bumi terdalam. Sangat kuat, tidak dapat ditambang.",
2,Balok Fungsi,Balok dengan kekuatan yang misterius,@Null@
3,Air Statis,Balok air statis,@Null@
4,Air Dinamis,Air yang mengalir.,
5,Lava Statis,Blok lava statis yang sangat panas. Hati-hati!,
6,Lava Dinamis,Blok lava mengalir yang sangat panas. Hati-hati! akan melukaimu!,
7,Efek Teleport,Terlihat seperti balok ajaib.,@Null@
8,Blok Bata Berukir,"Blok bangunan yang penuh dengan ukiran, teksturnya keras.",
9,Blok Mempercepat,Orang yang jalan di blok ini akan dipercepat.,
10,Blok Celesthium,Dapat mengirim #c0aba1dSinyal Celesthium #nsetelah ditempatkan.,
11,Madu Statis,Madu statis,@Null@
12,Madu Dinamis,Madu yang mengalir.,
13,pasir hisap statis,"""Sungai"" yang terbuat dari pasir halus itu berbahaya!",
14,Pasir Isap Dinamis,"Sungai yang terbuat dari pasir halus, berbahaya!",
15,Batuan Kutukan,"Batuan yang menakutkan, apa yang akan terjadi ketika menyentuhkan #c0aba1dpasir hisap#n? Dapatkan kutukan berdarah saat menggalinya!",Dinding luar dari reruntuhan bawah tanah di oasis gurun.
16,Batuan Kutukan-Aktif,"Batuan yang menakutkan, apa yang terjadi Batuan yang menakutkan, apa yang akan terjadi ketika menyentuhkan #c0aba1dpasir hisap#n? Dapatkan kutukan berdarah saat menggalinya!",Dinding luar dari reruntuhan bawah tanah di oasis gurun.
17,Racun Statis,"Cairan yang mengeluarkan bau berbahaya, menjauhlah sejauh mungkin .",
18,Racun Dinamis,"Cairan berbahaya, menjauhlah sebisa mungkin",
19,Batuan Aeolis,"Batuan gurun terbentuk akibat proses alami yang dilakukan oleh angin, tampaknya agak kurang kuat.",
20,Udara Semesta,Ayo download versi game yang terbaru segera!,
21,@Null@,@Null@,@Null@
22,@Null@,@Null@,@Null@
23,Batuan Sedimen,Konstruksi lapisan terbentuk di laut dalam dari tekanan ribuan tahun. Tanah yang subur memiliki kandungan mineral yang lengkap yang dibutuhkan tanaman Ganggang tongkat cahaya dan Alga Merah.,Diperoleh dengan menghancurkan Batuan Sedimen.
24,Bijih Nodul Mangan,Digunakan untuk #c0aba1dmemperkuat peralatan selam dan membuat @item_1206# #nuntuk menahan tekanan tinggi di laut dalam.,"Mineral akumulasi dalam batuan sedimen yang dihasilkan logam mangan. Hanya diproduksi di laut dalam, menjatuhkan @item_12614# jika dihancurkan."
25,Terumbu,"Tempat yang cocok untuk pertumbuhan karang, warnanya akan berubah saat karang matang.",
26,Botol Surat,"#c0aba1dMengisi daya#n dan lemparkan ke laut atau sungai, arus air akan membawa harapan kamu ke jauh, mungkin akan ditemukan pada sesuatu hari.",Diperoleh dengan menempatkan @item_11806# di dalam @item_28#.
27,Botol Surat Dari Jauh,"Catatan yang disegel di dalam botol melayang sering berisi informasi penting atau berkat yang tulus, tentu saja, mungkin juga kerinduan kepada seseorang; kelihatannya telah melintasi gunung dan lautan, dan melakukan perjalanan melalui waktu... Ambil pesan surat dari botolnya dan lihat saja lah...",Didapatkannya dengan kemungkinan melalui memancing dan menjelajahi laut
28,Botol Kaca Kecil (Blok),Menempatkannya lalu memasukkan @item_11806# yang tertulis ke dalamnya.,
29,Pasir Kuning,Cepat ditambang dengan #c0aba1dalat sekop#n. #rBahan baku untuk membuat @item_11305# yang selalu digunakan untuk membuat @item_632#.,Umumnya ditemukan di dareah #c0aba1dtepi air#n dan #c0aba1dgurun#n.
30,@Null@,@Null@,@Null@
31,Paku Es Padat,Ice Spikes cukup #c0aba1dstable#n. Pastikan untuk memakai helm saat Anda berada di sekitar mereka!,
32,Paku Es Mengambang,Paku Es ini sangat mungkin #c0aba1ddrop#n. Pastikan untuk memakai helm saat Anda berada di sekitar mereka!,
33,Bijih Inti Kristal Biasa,Perlu dikumpulkan dengan @item_11013 # atau yang lebih maju.,Bijih langka yang mungkin muncul di #c0aba1dSnow Mountain Caves#n of the Icefield dan #c0aba1dunderground#n of the Rainforest.
34,Bijih Frostfire,Bijih yang mengeluarkan dingin dingin. Perlu dikumpulkan dengan @item_11011 # atau yang lebih maju. Ini akan #c0aba1dlower suhu sekitar # n.,Bijih langka yang mungkin muncul di #c0aba1dSnow Mountain Caves#n of the Icefield.
35,Batu Frostfire,Blok dingin yang dibuat dari banyak @item_11824#. Ini akan #c0aba1dsignificantly menurunkan suhu sekitar # n.,
36,Penyegaran Pintu Masuk Gua,,
37,Penyegaran Terowongan Gua,,
38,Gua Gua Refresh,,
39,Penyegaran Lubang Gua,,
40,Blok Kristal Kosong,"Dibuat menggunakan Blok Kristal Void, blok khusus ini menerangi ruang di sekitarnya. Berhati-hatilah saat menempatkannya di bawah @item_596#, karena dapat menarik monster paling kuat selama Malam Void. Gunakan dengan bijak!",
100,Blok Tanah Berumput,"Sebuah blok di permukaan, dapat dengan cepat dikumpulkan dengan sekop. #c0aba1dUse Rakes untuk membuatnya menjadi @item_102#. Gunakan Sekop untuk membuatnya menjadi @item_103#.",Dapatkan dengan menggunakan @item_11226# di @item_101#.
101,Blok Tanah,Gunakan @item_11226# atau setelah hujan akan berubah menjadi @item_100#. Cepat ditambang dengan alat sekop. #c0aba1dGunakan alat cangkul untuk berubah menjadi @item_102#; dan gunakan alat sekop untuk berubah menjadi @item_103#.,Bisa didapatkan dimana-mana saja bawah permukaan bumi.
102,Lahan Pertanian,"Dapat menanam tanaman. Dekat dengan air atau mengairinya agar tetap lembab, baik untuk pertumbuhan tanaman.",
103,Lubang Tanah,"Dapat menanam biji bunga atau bibit pohon. Dekat dengan air atau mengairinya agar tetap lembab, baik untuk pertumbuhan tanaman.",
104,Batu,Blok dimana-mana bawah bumi; ditambang cepat dengan alat beliung.,
105,Batu Berlumut,Material bangunan dibuat dari batu dan lumut.,
106,Pasir Kuning Halus,"Umumnya di dekat daerah perairan dan gurun, ditambang cepat dengan alat sekop; Dapat disintesis menjadi pasir kuarsa untuk membuat kaca. #rAkan jatuh di bawah pengaruh gravitasi.",Umum di daerah tepi laut dan gurun
107,Tumpukan Kerikil,"Tumpukan kerikil tidak stabil, ditambang cepat dengan alat sekop. #rJika bawahnya kosong, ini akan runtuh apabila berdiri di atas.",
108,Bata Kuning Bergaris,Bahan bangunan yang terbuat dari @item_29#.,
109,Tanah Pasir,"Tanah yang tidak subur, tanaman tidak bisa tumbuh di atasnya. Cepat ditambang dengan alat sekop.",
110,Batu Berserakan,Batu kecil yang tererosi angin. Kumpulkannya untuk mendapatkan @item_11627# dan membuat alat batu.,
111,@Null@,@Null@,@Null@
112,Kristal Hitam,"Dipengaruhi oleh Void Phantom, struktur geologi telah berubah secara drastik, bijih ini tidak berada lagi.",
113,Es Apung,Es yang mengapung di permukaan air. Kamu tidak akan mendapatkan apa-apa jika dihancurkan.,
114,Lanau,"Blok tanah di bawah air, ditambang cepat dengan alat beliung.",
115,Salju Halus,Lamina salju tipis dan lembut pada ketinggian seperempat kisi. Dapat ditumpuk untuk mengubah ketebalan.,
116,Batu Horas,"Batu khusus di planet Horas, memiliki kemampuan anti-ledakan yang kuat, perlu ditambang dengan @item_11013# atau beliung yang lebih canggih.",
117,Rumput Horas,"Blok rumput di planet Horas, mengandung nutrisi yang diperlukan untuk pertumbuhan tanaman. Perlu ditambang dengan @item_11023# atau sekop yang lebih canggih.",
118,Awan Horas,Awan pulau langit di bintang Horas.#rAkan pecah jika diinjak.,
119,Tanah Kering,"Di planet Horas, @item_100# dari Miras perlu diletakkan di atas @item_1050#. Jika tidak, akan kehilangan nutrisi dan menjadi tanah kering.",
120,Tanah beku,"Di lingkungan yang dingin, @item_100# dan @item_101# akan berubah menjadi @item_120#. Tanaman yang tumbuh subur di lingkungan dingin perlu tumbuh di jenis tanah ini.",
121,Lubang beku,Biji dan anakan bunga dan pohon yang lebih menyukai lingkungan dingin dapat ditanam di sini.,
122,Salju tebal,Salju tebal yang mencair menjadi air saat bertemu #c0aba1dlava#n. Ini akan #c0aba1dslightly menurunkan suhu lingkungan # n.,
123,Es Alami,"Ini biasanya terlihat di daerah dingin dan bersalju, dan akan meleleh menjadi air di lingkungan suhu #c0aba1dhigh # n. Dapat dengan cepat dikumpulkan dengan beliung. Ini akan #c0aba1dslightly menurunkan suhu sekitar # n.",
124,Batuan Belerang,"Batuan umum di Flamas, dapat melebur @item_11214# di tungku, cepat ditambang dengan alat beliung.",
125,Pasir Panas,Pasir yang mengeluarkan udara panas. Dapat ditambang dengan sekop.,
126,Batuan Magic,Batuan dari tempat yang tidak diketahui.#rSangat tahan ledakan.,Kadang-kadang dijual oleh pendagang.
127,Blok Spons,Blok untuk hiasan.,
128,Pasir Merah,"Pasir merah yang langka, kaya dengan unsur mineral; menjadi tidak stabil jika dicampur dengan @item_11201#.",Kadang-kadang ditemukan di pulau tanah merah dan pulau karang.
129,Salju Tebal,@Null@,
130,Balok Salju Tebal,Mau buat boneka salju atau perang bola salju?,@Null@
131,Es Keras,Es yang tidak bisa dihancurkan.,@Null@
132,Pasir Kristal Belerang,"Muncul di magma Flamas. Hanya dapat ditambang dengan @item_11025#. Salah satu bahan penting untuk membuat @item_11219#. Meletus ketika tertutup oleh cecair. #c0aba1dHidup itu berharga, tolong jangan meniru perilaku apa pun dalam game#n.",@Null@
133,Sarang Madu Kosong,"Madunya belum ada, taruh di bawah @item_255# untuk menyimpan madu.",
134,Sarang Madu Penuh,"Sarang yang penuh dengan madu, hati-hati dengan lebah! Gunakan @item_11320# untuk mendapatkan @item_12511#.",
135,Totem Misteri-Bumi,"Patung batu yang sangat penting dalam peradaban kuno, namun hanya digunakan untuk hiasan saat kini.",Dikumpulkan di peninggalan peradaban planet Horas.
136,Totem Misteri-Langit,"Patung batu yang sangat penting dalam peradaban kuno, namun hanya digunakan untuk hiasan saat kini.",Dikumpulkan di peninggalan peradaban planet Horas.
137,Lubang Mathanus,@Null@,@Null@
138,Balok Racun,@Null@,@Null@
139,Balok untuk Boss Fight,@Null@,@Null@
140,Alas Batu Kehidupan,"Alas batu yang ditinggalkan peradaban kuno, terhubung dengan kekuatan kehidupan Miras.",@Null@
141,Alas Batu Keberanian,"Alas batu yang ditinggalkan peradaban kuno, terhubung dengan kekuatan keberanian Flamas.",@Null@
142,Alas Batu Kebijaksanaan,"Alas batu yang ditinggalkan peradaban kuno, terhubung dengan kekuatan kebijaksanaan Horas.",@Null@
143,Alas Batu Rusak,"Alas batu zaman kuno, tidak dapat dipulihkan setelah digali.",@Null@
144,Botol Kupu-kupu Crimson,Dapat menerangi daerah di sekitarnya setelah ditempatkan.,Menggunakan @item_11320# untuk menangkap kupu-kupu di pulau langit.
145,Botol Kupu-kupu Sian,Dapat menerangi daerah di sekitarnya setelah ditempatkan.,Menggunakan @item_11320# untuk menangkap kupu-kupu di pulau langit.
146,Botol Kupu-kupu Harum,Dapat menerangkan daerah di sekitarnya setelah ditempatkan.,Menggunakan @item_11320# untuk menangkap kupu-kupu di pulau langit.
147,Botol Kupu-kupu Putih,Dapat menerangi area kecil di sekitarnya setelah ditempatkan.,Menggunakan @item_11320# untuk menangkap kupu-kupu di pulau langit.
148,Botol Kupu-kupu Naga,Dapat menerangi tempat di sekitarnya setelah ditempatkan.,Menggunakan @item_11320# untuk menangkap kupu-kupu di pulau langit.
149,Botol Kupu-kupu Magenta,Dapat menerangi area kecil di sekitarnya setelah ditempatkan.,Menggunakan @item_11320# untuk menangkap kupu-kupu di pulau langit.
150,Lahan Pertanian Tanah Merah,"Dapat digunakan untuk menanam beberapa tanaman khusus, yang harus ditanam dekat dengan air atau diairi dengan alat penyiram agar tetap lembab.",Meluaskan @item_233# dengan alat cangkul.
151,Lubang Tanah Merah,"Dapat digunakan untuk menanam beberapa tanaman khusus, yang harus ditanam dekat dengan air atau diairi dengan alat penyiram agar tetap lembab.",Menggali @item_233# dengan alat cangkul.
152,Papan Tipis Tegak Batu Horas,"Papan batu tipis yang tegak, dapat ditumpuk dengan ketebalan bervariasi.",Diperloeh dengan memproses batu horas di meja tukang.
153,Papan Bambu Tipis Tegak,"Papan kayu tipis yang tegak, dapat ditumpuk dengan ketebalan bervariasi.",Diproses dengan bambu di meja tukang
154,Papan Magenta Tipis Tegak,"Papan kayu tipis dan tegak, dapat ditumpuk dengan ketebalan bervariasi.",Diproses dengan pewarna Magenta di meja tukang
155,Papan Bata Semen Tipis Tegak,"Papan batu tipis yang tegak, dapat ditumpuk dengan ketebalan bervariasi.",Diproses dengan bata semen di meja tukang.
156,Papan Tipis Tegak Bata Belerang,"Papan batu tipis yang tegak, dapat ditumpuk untuk mengubah ketebalan.",Diperoleh dengan memproses blok bata belerang di meja tukang.
157,Papan Batu Tipis Tegak,"Papan batu tipis yang tegak, dapat ditumpuk dengan ketebalan bervariasi.",Diproses dengan batu di meja tukang
158,Papan bata tipis tegak halus,"Papan batu bata tipis yang tegak dan halus, dapat ditumpuk untuk menambah ketebalannya.",Terbuat dari batu di meja tukang.
159,Papan Tipis Tegak Titanium,"Papan logam tipis yang tegak, dapat ditumpuk dengan ketebalan bervariasi.",Diperoleh dengan memproses titanium di meja tukang.
160,Papan Tembaga Tegak,"Papan logam yang tipis dan tegak, dapat ditumpuk dengan ketebalan bervariasi.",Diproses dengan tembaga di meja tukang
161,Papan Mika Tipis Tegak,"Papan logam yang tipis dan tegak, dapat ditumpuk untuk mengubah ketebalan.",Diproses dengan Mika di Meja Tukang
162,Papan Perak Tipis Tegak,"Papan logam tipis yang tegak, dapat ditempatkan dalam orientasi yang berbeda dari sudut yang berbeda.",Diperoleh dengan memproses ingot perak di meja tukang.
163,Pelat vertikal yang menyala-nyala,Pelat logam tipis dan ringan tegak yang dapat ditumpuk untuk mengubah ketebalan,Terbuat dari Logam Lava di Meja Tukang
164,Papan Tipis Tegak Kuning Lemon,"Papan kayu tipis yang tegak,  dapat ditumpuk untuk mengubah ketebalan.",Diperoleh dengan memproses dan mewarnai dengan pigmen kuning lemon di meja tukang.
165,Papan Tipis Tegak Kelabu,"Papan kayu tipis tegak, dapat ditumpuk dengan ketebalan bervariasi.",Diperoleh dengan memproses dan mewarnai dengan pigmen kelabu di meja tukang.
166,Papan Tipis Tegak Merah Manggis,"Papan kayu tipis yang tegak, dapat ditumpuk dengan ketebalan bervariasi.",Diproses dengan pewarna merah manggis di meja tukang
167,Papan Tipis Tegak Oranye Merah,"Papan kayu tipis yang tegak, dapat ditumpuk untuk mengubah ketebalan.",Diperoleh dengan memproses dan mewarnai dengan pigmen oranye merah di meja tukang.
168,Papan Pink Tipis Tegak,"Papan kayu yang tipis dan tegak, dapat ditumpuk dengan ketebalan bervariasi.",Diproses dengan pewarna pink di meja tukang.
169,Papan Tipis Tegak Putih Gading,"Papan kayu tipis yang tegak, dapat ditumpuk untuk mengubah ketebalan.",Diperoleh dengan memproses dan mewarnai dengan pigmen putih gading di meja tukang.
170,Papan Tipis Tegak Jingga  Ginger,"Papan kayu tipis yang tegak, dapat ditumpuk dengan ketebalan bervariasi.",Diproses dengan pewarna jingga ginger di meja tukang
171,Papan Tipis Tegak,"Papan kayu tipis yang tegak, dapat ditumpuk dengan ketebalan bervariasi.",Diproses dengan kayu di meja tukang.
172,Papan Bata Kuning Tipis Tegak,"Papan Batu tipis yang tegak, dapat ditumpuk untuk menambah ketebalannya.",Terbuat dari Bata Kuning di Meja Tukang
173,Papan Tipis Tegak Mangan,"Papan logam tipis yang tegak, dapat ditumpuk untuk mengubah ketebalan.",Diperoleh dengan memproses nodul mangan di meja tukang.
174,Papan Tipis Tegak Abu-abu Muda,"Papan kayu tipis yang tegak, dapat ditumpuk dengan ketebalan bervariasi.",Diproses dengan pewarna abu-abu muda di Meja Tukang
200,Kayu ceri,"Batang pohon ceri, dapat diolah di @item_800# menjadi @item_11323#, dapat digunakan untuk dekorasi, juga dapat digunakan sebagai bahan bakar",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
201,Lengkungan,"Batang lengkung, yang dapat diolah di @item_800# menjadi @item_11323#, dapat digunakan untuk dekorasi, dan juga dapat digunakan sebagai bahan bakar",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
202,Poplar,"Batang poplar, dapat diproses di @item_800# menjadi @item_11323#, dapat digunakan untuk dekorasi, juga dapat digunakan sebagai bahan bakar",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
203,Kayu merah,"Batang kayu merah, dapat diproses di @item_800# menjadi @item_11323#, dapat digunakan untuk dekorasi, juga dapat digunakan sebagai bahan bakar",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
204,nanmu,"Nanmu trunk, bisa diolah di @item_800# menjadi @item_11323#, bisa digunakan untuk dekorasi, bisa juga digunakan sebagai bahan bakar",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
205,kenari,"Batang pohon kenari, bisa diolah di @item_800# menjadi @item_11323#, bisa digunakan untuk dekorasi, bisa juga digunakan sebagai bahan bakar",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
206,Papan Kayu,"Bahan bangunan dasar, banyak digunakan dalam konstruksi kayu.",Diperoleh dengan memproses potongan kayu di meja tukang.
207,Papan Tipis Tegak Jingga Ginger,"Material Bangunan, digunakan banyak dalam ladpangan bangunan kayu.",Diproses dengan pewarna jingga gringer di Meja Tukang
208,Papan Kayu Gading Putih,"Bahan bangunan dasar, banyak digunakan dalam konstruksi kayu.",Diperoleh dengan memproses dan mewarnai dengan pigmen putih gading di meja tukang.
209,Papan Kayu Merah,"Bahan dasar untuk membuat barang-barang kayu, Toolbox dan banyak lagi.",Dicat dengan Cat Merah Begonia di Meja Pengrajin
210,Papan Kayu Oranye Merah,"Bahan bangunan dasar, banyak digunakan dalam konstruksi kayu.",Diperoleh dengan memproses dan mewarnai dengan pigmen oranye merah di meja tukang.
211,Papan Merah Manggis,"Bahan bangunan dasar, banyak digunakan dalam konstruksi kayu.",Diproses dengan pewarna merah manggis di meja tukang.
212,Bibit Pohon Ceri,"Dapat digunakan sebagai bahan bakar, tetapi habis sangat cepat.",
213,Bibit Pohon Pinus,"Bisa digunakan sebagai bahan bakar, tapi cepat habis.",
214,Bibit Pohon Poplar,"Bisa digunakan sebagai bahan bakar, tapi cepat habis.",
215,Bibit Pohon Merah,"Dapat digunakan sebagai bahan bakar, tetapi habis sangat cepat.",
216,Bibit Pohon Medang,"Bisa digunakan sebagai bahan bakar, tapi cepat habis.",
217,Bibit Pohon Walnut,"Dapat digunakan sebagai bahan bakar, tetapi habis sangat cepat.",
218,Daun Kayu Cherry,Dapat digunakan sebagai bahan bakar untuk @item_1200# atau sebagai penutup kepala #c0aba1dsnowman#n.,
