ID,名字,描述
ID,Name,Desc
1,Binek bebek,"Bu beceriye sahip bir binek, haritada belirli bir süre oynadıktan sonra, odadaki diğer arkadaşlara verilebilecek bir bebek bineği üretecektir."
2,Sürat koşusu,Enerji birikim süresi boyunca hareket hızı %30 artar.
3,Su üzerinde yürümesi,Suyun üzerinde hızlıca yürür fakat zıplamaz.
4,Süper Zıplama,Süper atlama yeteneği var.
5,Kayma,Havada süzülebilir
6,Lav üzerinde yürüme,Lav yüzeyinde yürüyebilir
7,Hızlı koşma,Zıpladıktan sonra havada zıpla düğmesine basın ve yüzünüz yönünde hızlı bir şekilde koşacak
9,Çift Bineği,İki yolcu alabilir ve arkadaşlarını getirebilirsin~
10,Zıplama,"Yukarı uçmak için atlama tuşunu kullanmaya devam edebilir, ancak çok hızlı düşer."
11,Kuvvetli,Daha yüksek bir canlılığa sahip olun.
12,Yüzme,Su üzerinde yüzebilir.
13,Dalış,Yüzmek için suya dalabilir
14,Sel,"Sudayken atlama düğmesini basılı tut, hızlı bir şekilde yöne doğru koşacaktır."
15,Robot saldırısı,Sürat koşusu ve ileri saldırı
16,Fusion füzesi,Düz fırlatılan füze
17,Bumblebee Eğik Çizgi,Bir süre sürat koşusu
18,Üstüne çullanma,"Tam güç toplamak için atlama düğmesine uzun basın, zıplarken ve inerken öndeki yaratığa yavaşlatma buff'ı uygular"
19,Korkut,Zıpla butonuna uzun süre basarak tam güç toplar. İniştiği zaman yaratığı kısa bir mesafede iter.
20,batmadan yüzmek,Kısa mesafeli uçuş için havada yüzebilir ve düşme sırasında kan kaybetmez
21,Uçuş,Havada belli bir mesafe uçabilir ve düşme sırasında kan damlatmaz.
22,Çift Bineği,İki yolcu alabilir ve arkadaşlarını getirebilirsin~
23,Enerji kalkanı,Sizi ve arkadaşlarınızı korumak için bir enerji kalkanı oluşturabilir.
24,Tek Binek,Bir yolcu taşıyabilir.
25,Hava alârmı,Havada belli bir mesafe uçabilir ve düşme sırasında kan kaybetmez
26,kırmızı şimşek,Bir süre sürat koşusu
27,Füzyon Lazer,Düz fırlatılan füze
28,Cehennem ateşi,"Alevleri çıkarmak için saldırı düğmesine tıklayın, öndeki yaratıklara yanan debuff uygular"
29,Hayalet Ateş,Alevleri çıkarmak ve öndeki yaratıklara yanan debuff uygulamak için saldırı düğmesine tıklayın
30,Çarpıntı Kanatları,Düşme sırasında kan kaybı olmadan havada kısa bir mesafe uçmak için atlama düğmesine uzun basın
31,Yayılmış kanat,Düşme sırasında kan kaybı olmadan havada uzun bir mesafe uçmak için atlama düğmesine uzun basın
32,Ejderha Kükremesi,Kükremek için saldırı düğmesine tıklayın ve öndeki yaratığa yavaşlatma güçlendirmesini uygulayın
33,Hızlı Kanatlar,Düşme sırasında kan kaybı olmadan havada kısa bir mesafe uçmak için atlama düğmesine uzun basın
34,Kemik Mahmuz Süpürme,"Kuyruğu sallamak için saldırı düğmesine tıklayın, arkadaki yelpaze şeklindeki alandaki yaratıklara 3 puanlık hasar verin"
35,Yıldız ışığı,"Aydınlatmak için yıldızları yukarı doğru fırlatın, soğuma süresi 15 saniye."
36,Ay doğumu,"Kısa mesafeli uçuş için atlama butona uzunca bas, düşme sırasında kan kaybetmez"
37,Acele et,Bir süre hızlı ileri koş
38,Çift Bineği,İki yolcu alabilir ve arkadaşlarını getirebilirsin~
39,Kar gezisi,"Havada kara basarak yürüyebilir, düşme sırasında kan kaybetmez"
40,Tuk tuk aracının ilerlemesi,Araba kornaları çıkarabilen sesi kullanın ve araba farları yanıp söner
41,Büyük Hasat,Kullandıktan sonra etrafa külçeleri ve bakır madeni paralar atılır
42,Dört kişi,4 yolcu alabilir ve arkadaşlarını getirebilirsin~
43,Galaksi gezisi,Havada belli bir mesafe uçabilir ve düşme sırasında kan kaybetmez
44,Balina yüzen ada,Yüzmek için suya dalabilir
45,Boğanın gücüyle korkutma,Tam güç toplamak için atlama düğmesine uzun basın ve zıplarken ve inerken öndeki yaratığa yavaşlatma buffı uygular
46,Boğanın gücü ile vuruş,"Tam güç biriktirmek için zıplama düğmesine uzun basın, İniştiği zaman yaratığı kısa bir mesafede iter."
47,Uçan çiçek,Havada belli bir mesafe uçabilir ve düşme sırasında kan kaybetmez
48,Zarif,Havada belli bir mesafe uçabilir ve düşme sırasında kan kaybetmez
49,Yaprak Dansı,Etrafta yüzen yaprakları kullan
50,Güneş çarkı,20 hasarı emebilen bir kalkan elde etmek için kullanın
51,Kutsal ışık,Oyuncu hasarını %5 artırmak için kullanın
52,Sihirli havai fişek,"Biriktirme koşulunu yerine getirin, zıplarken ve inerken tetikleyin, bineğin etrafında havai fişekler patlayacak ve ses efektleri çalınacak"
53,Muhteşem havai fişek,"Biriken koşulları karşılayın, zıplarken ve inerken tetikleyin, bineğin etrafında zarif ve muhteşem havai fişekler patlayacak ve ses efektleri çalınacak"
54,Saldırı,İleriye saldırı
55,Şok,"İleriye saldırı, kısa mesafede önünüzdeki yaratıkları geri püskürtür"
56,Havada durmak,"Montajı kullanırken, karakter yerden ulaşılacak ve pervane dönen ses efekti aynı anda otomatik olarak çalınacaktır."
57,Yere yakın uçma,Alçak irtifada belirli bir mesafe uçabilir ve düşüş sırasında zıpla düğmesine basılı tutarsanız kan damlamaz.
58,Yerden uçma,Alçak irtifada daha uzun mesafeler uçabilir ve düşüş sırasında zıpla düğmesini basılı tutarsanız kan damlamaz.
59,Yüzen ışık ve uçan tüyler,"Kullandıktan sonra, bineğin etrafında yüzmek için 3 küçük kuğu hayalet efekti çağırabilir."
60,Kuğu Gölü,Yüzmek için suya dalabilir
61,Sabah uçuşu,Havada belli bir mesafe uçabilir ve düşme sırasında kan kaybetmez
62,süper ışık dalgası,"Jet hareket ederken, otomatik olarak soğuk ışık dalgaları yayar."
63,Yıkım Işını,"Jet hareket ederken, otomatik olarak serin bir altın kırmızı ışık dalgası yayar."
64,İlahi ışık dalgası,"Savaşçı hareket ederken, otomatik olarak havalı ışık dalgaları yayar."
