接口ID,土耳其语,土耳其语,土耳其语,土耳其语,土耳其语,土耳其语,土耳其语
ID,TypeName,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,Oyun yönetimi,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,"Komut dosyası parametreleri ayarla, özel olarak kullan",local result = Game:doGameEnd()
10002,Oyun yönetimi,setScriptVar,"Game:setScriptVar(index, val)","index:number index from 1 , val:number customized value",ErrorCode.OK,"Komut dosyası parametreleri elde et, özel olarak kullan","local result = Game:setScriptVar(index, val)"
10003,Oyun yönetimi,getScriptVar,Game:getScriptVar(index),index:number index from 1,"ErrorCode.OK, val:number User Value",Ayarlanmış komut dosyası parametreleri yükle,local result = Game:getScriptVar(index)
10004,Oyun yönetimi,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,Yeni global efekti,local result = Game:sendScriptVars2Client()
10005,Oyun yönetimi,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",Global efektiyi temizle,local result = Game:addRenderGlobalEffect(path)
10006,Oyun yönetimi,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,Global efektinin konumunu ayarla,local result = Game:removeRenderGlobalEffect(effectid)
10007,Oyun yönetimi,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,Global efektini yakınlaştırma ayarla,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,Oyun yönetimi,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,Mesaj Kutusu,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,Oyun yönetimi,msgBox,Game:msgBox(msg),,,Gündüz olup olmadığı,local result = Game:msgBox(msg)
20001,Dünya yönetimi,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",Özelleştirilmiş oyun olup olmadığını,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --If it is night, then give the torch to players
        local itemId, itemCnt = 817, 2 --Torch id and numbers
        Player:gainItems(playerId, itemId, itemCnt, 1)
end"
20002,Dünya yönetimi,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",Yaratma modu olup olmadığı,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('Customize mode') end"
20003,Dünya yönetimi,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",Çoklu oyuncu oluşturma modu veya özelleştirilmiş düzenleme modu,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('Creation mode') end"
20004,Dünya yönetimi,isGodMode,World:isGodMode(),none,"ErrorCode.OK, result:boolean",Limit modu,"local result = World:isGodMode()
if result==ErrorCode.OK then print('Multiplayer mode') end"
