ID,名字,描述
ID,Name,Desc
1001,Скорость движения образца,@Null@
1002,Скорость движения образца,@Null@
1003,Скорость движения образца,@Null@
2001,Пример скорости копания,@Null@
3001,Медленное восстановление жизни (LV.1),Восстанавливает 5 очков ЖИЗ каждые 4 сек.
3002,Медленное восстановление жизни (LV.2),Восстанавливает 5 очков ЖИЗ каждые 2 сек.
3003,Медленное восстановление жизни (LV.1),Восстанавливает 5 очков ЖИЗ каждые 1 сек.
4001,Спринт (Ур.1),Увеличить скорость спринтирования на 25%
4002,Спринт (Lv.2),Увеличение скорости спринтирования на 50%
4003,Спринт (Ур.3),Увеличение скорости спринтирования на 75%
4004,Спринт (LV.4),Увеличение скорости спринтирования на 75%
5001,Быстрое плавание (LV.1),Скорость плаванья повыш. на 25%
5002,Быстрое плавание (LV.2),Скорость плаванья повыш. на 50%
5003,Быстрое плавание (LV.3),Скорость плаванья повыш. на 75%
6001,Прыжок в высоту (LV.1),Повыш. высота прыжков
6002,Прыжок в высоту (LV.2),Повыш. высота прыжков
6003,Прыжок в высоту (LV.3),"Повыш. высота прыжков, осторожно, не сломай ноги!"
6004,Прыжок в высоту (LV.4),"Повыш. высота прыжков, осторожно, не сломай ноги!"
6005,Усовершенствованный паркур,"Базовая скорость увеличена на 90%, прыжок увеличен на 25."
7001,Безумная копка (LV.1),Скорость раскопки повыш. на 25%
7002,Безумная копка (LV.2),Скорость раскопки повыш. на 50%
7003,Безумная копка (LV.3),Скорость раскопки повыш. на 75%
8001,Замедленное (Ур.1),Скорость Sprinting снижает на 25%.
8002,Замедленное (Lv.2),Скорость спринтирования уменьшает на 50%.
8003,Замедленное (Ур.3),Скорость спринтирования уменьшает на 75%.
9001,Выкапывание усталости (LV.1),Скорость раскопки сниж. на 25%
9002,Усталость копания (LV.2),Скорость раскопки сниж. на 50%
9003,Усталость копания (LV.3),Скорость раскопки сниж. на 75%
10001,Поглощение урона (LV.1),Дает 2 очка ЖИЗ для поглощения урона.
10002,Поглощение урона (LV.2),Дает 4 очка ЖИЗ для поглощения урона.
10003,Поглощение урона (LV.3),Дает 6 очков ЖИЗ для поглощения урона.
11001,Критический удар (LV.1),Урон Крита повыш. на 25%
11002,Критический удар (LV.2),Урон Крита повыш. на 50%
11003,Критический удар (LV.3),Урон Крита повыш. на 75%
12001,Мощный отбрасывание (LV.1),Расстояние отражения повыш. на 2 метра.
12002,Мощный отбрасывание (LV.2),Расстояние отражения повыш. на 4 метра.
12003,Мощный отбрасывание (LV.3),Расстояние отражения повыш. на 6 метров.
