序号,西班牙语
No,Name
1,Introducir UID
2,Contraseña
3,pluginres\btn_text_esn.png
4,Recordar UID
5,Acuerdo
6,pluginres\btn_policy_esn.png
7,Elija pregunta
8,Introduzca la respuesta
9,pluginres\btn_num_esn.png
10,Persona Más Impresionante
11,Tu Comida Favorita
12,Tu Animal Favorito
13,Lugar favorito para visitar
14,Tu primer regalo
15,Tu número de suerte
16,Nueva Cuenta
17,Contras. Incorrecta
18,Conectando
19,pluginres\btn_orange_e1_esn.png
20,pluginres\btn_quickplay_esn_h.png
21,pluginres\btn_quickplay_esn_n.png
22,pluginres\option1_1_esn.png
23,pluginres\option1_2_esn.png
24,pluginres\option1_3_esn.png
25,pluginres\en01.png
26,pluginres\en02.png
27,pluginres\en03.png
28,UID incorrecto
29,Pon Contras.
30,Clic en De Acuerdo
31,Pon Respuestas
32,Mini World está actualizando: %d%%
33,pluginres\btn_orange_e1_esn_h.png
34,pluginres\btn_orange_e1_esn_s.png
35,14
36,Notificación
37,"Su cuenta :%s ha establecido una contraseña. Para la seguridad de la misma, le recomendamos iniciar sesión con la contraseña."
38,Entrar
39,Verificación para Iniciar Sesión
40,Teléfono móvil
41,Correo elec.
42,Código verificación
43,Verificación del Teléfono Móvil
44,Verificación de E-mails
45,Enviar
46,Verifica la iniciación de sesión por favor para asegurar la seguridad de tu cuenta
47,"Verificación falla. Por favor, confirma tu email y el código de verificación"
48,"Verificación falla. Por favor, confirma tu email y el código de verificación"
49,Enviar（%d）
50,Código de verificación enviado.
51,"Lo sentimos, no puedes iniciar sesión con la cuenta en esta plataforma. （Multiplataforma Prohibida）"
