序号,德语
No,Name
1,Bitte geben Sie Ihre UID
2,Passwort
3,pluginres\btn_text_ger.png
4,"Denken Sie daran, UID"
5,Vereinbarung
6,pluginres\btn_policy_ger.png
7,Bitte wählen Sie Fragen
8,Bitte gib deine Antwort ein
9,pluginres\btn_num_ger.png
10,Am eindrucksvollsten Person
11,Ihr Lieblingsessen
12,Ihr Lieblingstier
13,Die eifrigsten Besuch statt
14,Ihr erstes Geschenk
15,Ihre Glückszahl
16,Schnelles Spiel
17,Falsches Passwort
18,Anschließen
19,pluginres\btn_orange_e1_en.png
20,pluginres\btn_quickplay_ger_h.png
21,pluginres\btn_quickplay_ger_n.png
22,pluginres\option1_1_en.png
23,pluginres\option1_2_en.png
24,pluginres\option1_3_en.png
25,pluginres\en01.png
26,pluginres\en02.png
27,pluginres\en03.png
28,UID ist nicht korrekt
29,Bitte geben Sie Ihr Passwort ein
30,Bitte überprüfen Sie Benutzerrichtlinien
31,Bitte gib deine Antwort ein
32,Miniworld wird aktualisiert:%d%%
33,pluginres\btn_orange_e1_en_h.png
34,pluginres\btn_orange_e1_en_s.png
35,14
36,Benachrichtigung
37,"Ihr Konto:%s hat das Passwort festgelegt, die Sicherheit Ihres Kontos zu halten, wenden Sie sich bitte mit Ihrem Passwort einloggen."
38,Einloggen
39,Anmeldebestätigung
40,Handy
41,Email
42,Bestätigungscode
43,Mobile Verification
44,E-Mail-Verifizierung
45,Senden
46,"Bitte überprüfen Sie die Login um sicherzustellen, dass Ihr Konto sicher ist."
47,Überprüfung fehlgeschlagen. Bitte überprüfen Sie Ihre E-Mail und Verifizierungscode.
48,Überprüfung fehlgeschlagen. Bitte überprüfen Sie Ihre Handy-Nummer und Bestätigungscode.
49,Senden（%d）
50,Der Bestätigungscode wurde versendet
51,Entschuldigung ， Sie können das Konto auf dieser Plattform nicht anmelden. （Plattformübergreifende Fehler）
