ID,购买提示
ID,BuyTips
1,Los accesorios desbloqueables se pueden conseguir en las frutas del jardín.
2,Los accesorios desbloqueables se pueden conseguir en las frutas del jardín.
3,Desbloquear en eventos
4,Desbloquear en eventos
5,Los accesorios desbloqueables se pueden conseguir en las frutas del jardín.
6,Los accesorios desbloqueables se pueden conseguir en las frutas del jardín.
7,"El acceso estará disponible cuando tengas el jardín, en el nivel 10."
8,Los accesorios desbloqueables se pueden conseguir en las frutas del jardín.
9,Los accesorios desbloqueables se pueden conseguir en las frutas del jardín.
10,Desbloquear en eventos
11,Desbloquear en eventos
12,@Null@
13,@Null@
14,@Null@
15,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
16,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
17,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
18,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
19,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
20,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
21,@Null@
22,@Null@
23,@Null@
24,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
25,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
26,@Null@
27,@Null@
28,@Null@
29,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
30,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
31,@Null@
32,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
33,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
34,Se puede canjear en Tienda de Mini Punto
35,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
36,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
37,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
38,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
39,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
40,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
45,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
46,Frutas limitadas te ayudará desbloquear los objetos. No salen de las frutas doradas ni de las comunes.
