ID,名字,描述,获得方式
ID,Name,Desc,GetWay
0,hava,Beni göremezsin.,
1,jeosentrik köşe taşı,"Dünyanın en derin merkezinde yer alan, süper sert ve sarsılmaz",
2,İşlev bloğu,"Sihirli Küp, bilinmeyen güç",
3,statik su,Hala su küpü,
4,Dinamik su,Akıcı su,
5,statik magma,"Hala lav küpleri, dikkatli olun bu sıcak!",
6,Dinamik magma,"Akan magma küpleri, dikkatli olun bu sıcak ve acıtacak!",
7,İletim ışığı efekti,Sihirli bir küpe benziyor,
8,Oyma tuğla,Sert doku ile kabartmalı yapı taşları,
9,Hareket bloğunu hızlandırın,Bu bloktan geçen insanlar açıklanamayan bir itme alacak,
10,yıldız enerji bloğu,"Yerleştirildikten sonra, sürekli olarak #c0aba1d yıldız enerjisi sinyali verebilir #n",
11,Statik bal,Hala tatlım,
12,Dinamik bal,Akıcı bal,
13,statik bataklık,"İnce kumdan oluşan ""nehir"" tehlikelidir!",
14,Dinamik Quicksand,"İnce kumdan oluşan ""nehir"" tehlikelidir!",
15,Mantra Kayası,Bataklık kumuna dokunduklarında garip bir aura yayan kayalara ne olur? Kazdığınızda kanlı bir lanet alacaksınız!,Yeraltı kalıntılarının dış duvarları
16,Mantra Rock - Etkinleştir,Bataklık kumuna dokunduklarında garip bir aura yayan kayalara ne olur? Kazdığınızda kanlı bir lanet alacaksınız!,Yeraltı kalıntılarının dış duvarları
17,Statik zehir,"Tehlikeli sıvılar, mümkün olduğunca uzak durun",
18,Dinamik zehir,"Tehlikeli sıvılar, mümkün olduğunca uzak durun",
19,Rüzgar erozyonlu kaya,"Güçlü rüzgarlar tarafından aşınmış çöl kayaları, biraz kırılgan",
20,Uzaylı hava,Git ve en son oyun sürümünü indir!,
21,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
22,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
23,Hidrit,"Derin denizde on binlerce yıl boyunca sıkılarak oluşan lamine yapı, kızdırma-floresan algler ve kırmızı algler yetiştirmek için çok uygun olan derin deniz alglerinin ihtiyaç duyduğu her türlü besin maddesini içerir.",Akretik kayanın imhası
24,manganez nodül cevheri,"Dalış ekipmanını güçlendirmek #c0aba1d , derin denizin yüksek basıncına dayanacak #n sertleştirilmiş cam bloklar yapmak için kullanılır","Manganez metali, derin oturmuş kayalarda manganez metalinin sürekli yoğunlaşmasıyla üretilen bir mineraldir, bu nedenle derin denizde sadece hafifçe üretilir ve yıkımdan sonra düşen manganez nodülleri"
25,resif,"Mercan büyümesi için çok uygun, mercan olgunlaştıkça resifin rengi de değişecek",
