ID,名字,描述
ID,Name,Desc
1,ทักทาย,โบกมือทักทาย
2,สงสัย,สมองเล็ก สงสัยใหญ่
3,ร้องไห้,ปิดหน้าแล้วร้องไห้
4,โกรธ,โกรธและกระทืบเท้า
5,ยืด,ง่วงบ้าง ขี้เกียจบ้าง
6,มีความสุข,ดูมีความสุข
7,ขอบคุณ,คำนับอย่างจริงใจ
8,สบายๆ,มองไปรอบๆ และผ่อนคลาย
9,ล้ม,ล้มลงกับพื้นกะทันหัน
10,วางท่า,วางลายเซ็นที่มีเสน่ห์
11,ท่าพิเศษ,ท่าสุดพิเศษของฟลัตเตอร์ชาย
12,ท่าพิเศษ,ท่าสุดพิเศษของเจ้าหญิงลูน่า
13,ท่าพิเศษ,ท่าสุดพิเศษของพิงค์กี้พาย
14,ท่าพิเศษ,ท่าสุดพิเศษของแสงสตาร์
15,ท่าพิเศษ,ท่าสุดพิเศษของเรนโบว์แดช
16,ท่าพิเศษ,ท่าสุดพิเศษของเจ้าหญิงเคเดนซ์
17,ท่าพิเศษ,ท่าสุดพิเศษของดอกน้ำค้าง
18,ท่าพิเศษ,ท่าสุดพิเศษของเจ้าหญิงน้ำแข็ง
19,ท่าพิเศษ,ท่าสุดพิเศษของรอรี่
20,ทดสอบการโต้ตอบ 1,ท่าโต้ตอบของบุษบาและเจ้าสายฟ้า
21,ทดสอบการโต้ตอบ 2,ท่าโต้ตอบของซากุระและบุษบา
22,ทดสอบการโต้ตอบ 3,ท่าโต้ตอบทั่วไปสำหรับซากุระ
23,นกกระจิบทะยาน - พลอากาศเอก,เล่นพิณ
24,นกกระจิบทะยาน - มือใหม่,หมุนตัวและเต้นรำ
25,แสดงทักษะวิญญาณต่อสู้,ท่าพิเศษเฉพาะถังซาน
26,แสดงทักษะวิญญาณต่อสู้,ท่าพิเศษเฉพาะถังซาน
27,แสดงทักษะวิญญาณต่อสู้,ท่าพิเศษเฉพาะเสี่ยวอู่
28,ปลดปล่อยทักษะวิญญาณ,ท่าพิเศษเฉพาะเอ้าซือข่า
29,แสดงทักษะวิญญาณต่อสู้,ท่าพิเศษเฉพาะหม่าหงจวิ้น
30,ปลดปล่อยทักษะวิญญาณ,ท่าพิเศษของไต้มู่ไป๋
31,แสดงทักษะวิญญาณต่อสู้,ท่าพิเศษของจูจู๋ชิง
32,แสดงทักษะการต่อสู้,ท่าพิเศษของนิ่งหรงหรง
33,แสดงทักษะการต่อสู้,ท่าพิเศษของจูจู๋ชิง
34,แสดงทักษะการต่อสู้,ท่าพิเศษของนิ่งหรงหรง
