ID,名字,描述
ID,Name,Desc
1,Thú Cưỡi Nhí,"Thần thú có đặc tính này, sau một thời gian chơi sẽ tạo ra 1 thú cưỡi baby, bạn có thể tặng cho bạn trong phòng."
2,Chạy Nước Rút,"Trong thời gian nạp năng lượng, có thể tăng 30% tốc độ di chuyển."
3,Đi Trên Nước,"Có thể đi như bay trên mặt nước, nhưng không thể nhảy trên mặt nước"
4,Nhảy Siêu Cao,Có năng lực nhảy rất đỉnh.
5,Bay Lượn,Sải đôi cánh tự do bay trên trời cao.
6,Đi Trên Dung Nham,Có thể đi trên bề mặt dung nham.
7,Tiến Nhanh,"Sau khi nhảy trên không nhấn nút nhảy, thần thú sẽ nhảy nhanh về phía trước."
9,Song Kỵ,"Được chở 2 người, cùng bạn bè đi muôn nơi nào!"
10,Nhảy trên không,"Nhảy vô tư trong không trung, nhưng cũng sẽ khiến bạn rơi nhanh hơn bao giờ hết."
11,Cứng Đầu,Thần thú lì lợm nhưng lại khỏe mạnh hơn các thần thú khác.
12,Phao,Nổi trên mặt nước
13,Lặn,Lặn xuống nước
14,Tăng tốc,Ấn nút nhảy khi ở dưới nước để tăng tốc về phía trước
15,Robots Attack,Chạy nước rút và tiến về phía trước
16,Fusion Cannon,Phóng thẳng tên lửa về phía trước
17,Bumblebee Slash,Chạy nước rút một khoảng thời gian nhất định
18,Vồ mồi,"Nhấn và giữ nút nhảy để tụ lực, khi nhảy tiếp đất có thể làm giảm tốc độ của sinh vật phía trước"
19,Uy hiếp,"Nhấn và giữ nút nhảy để tụ lực,khi nhảy tiếp đất có thể đẩy sinh vật ở phía trước đi một khoảng cách"
20,Nổi,"Có thể nối trên không trung và bay là là, khi  tiếp đất không bị mất máu"
21,Bay lượn,"Có thể bay trong không trung , khi tiếp đất không bị mất máu"
22,Song Kỵ,"Được chở 2 người, cùng bạn bè đi muôn nơi nào!"
23,Khiên năng lượng,Tăng năng lượng để bảo vệ bạn và bạn bè của bạn.
24,Ghế đơn,Có thể chở một hành khách
25,Cảnh báo không trung,"Có thể bay trong không trung , khi tiếp đất không bị mất máu"
26,Đèn nháy đỏ,Chạy nước rút một khoảng thời gian nhất định
27,Laser hợp nhất,Phóng thẳng đại bác về phía trước
28,Hỏa Long Thần,"Nhấp vào [Tấn công] sẽ phun ra lửa, tạo buff đốt cháy sinh vật phía trước"
29,Hắc Long Thần,"Nhấp vào [Tấn công] sẽ phun ra lửa, tạo buff đốt cháy sinh vật phía trước"
30,Đập cánh,Nhấn và giữ [Nhảy] có thể bay  một quãng đường ngắn. Bạn sẽ không bị mất HP khi ngã
31,Bay lượn,Nhấn và giữ [Nhảy] có thể bay  một quãng đường ngắn. Bạn sẽ không bị mất HP khi ngã
32,Gầm Sấm Sét,Click để tạo tiếng gầm dũng mãnh! Làm khiếp sợ các sinh vật phía trước
33,Cánh Chớp,Nhấn giữ phím để bay 1 khoảng ngắn. Không mất máu khi rơi.
34,Quật Mạnh,"Click tấn công để quật mạnh đuôi rồng, sẽ gây 3 sát thương cho các sinh vật trong phạm vi gần"
35,Ánh sao,"Phóng sao lên trên để chiếu sáng,CD 15s"
36,Ánh Trăng,Nhấn và giữ nút nhảy để bay một khoảng cách ngắn trong không trung. Không bị mất máu khi rơi
37,Nước rút,Bứt tốc chạy rất nhanh về phía trước
38,Song Kỵ,"Được chở 2 người, cùng bạn bè đi muôn nơi nào!"
39,Đi trên tuyết,"Có thể đi trên tuyết và trong không trung, rơi xuống không bị mất máu"
