ID,描述
ID,Desc
1000,อากาศ
1001,ขอบเขต
1002,โลเคชั่น
1003,ทิศทางที่หันหน้า
1004,มุมมอง
1005,มูลค่า
1006,ส่วนประกอบพิกัด
1007,หน่วยของมุม
1008,ลอการิทึมฐานคงที่
1009,วิธีการเอาจำนวนเต็ม
1010,ชุดตัวอักษร
1011,ประเภทดาเมจ
1012,ใช่หรือไม่
1013,สวิตช์
1014,พีชคณิตบูลีน
1015,ค่าสูงสุดตํ่าสุด
1016,เครื่องหมายคำนวณเชิงเปรียบเทียบ
1017,เครื่องหมายคำนวณเชิงคณิตศาสตร์
1018,ผู้เล่น
1019,กลุ่มผู้เล่น
1020,ลักษณะของผู้เล่น
1021,สถานะการเคลื่อนไหว
1022,การตั้งค่าผู้เล่น
1023,ทีม
1024,ลักษณะของทีม
1025,ประเภทบล็อก
1026,การตั้งค่าบล็อก
1027,ไอเทม
1028,ประเภทไอเทม
1029,ประเภทสิ่งมีชีวิต
1030,ของดรอป
1031,สิ่งมีชีวิต
1032,ประเภทสิ่งมีชีวิต
1033,กลุ่มสิ่งมีชีวิต
1034,สถานะการเคลื่อนไหวของสิ่งมีชีวิต
1035,ลักษณะของสิ่งมีชีวิต
1036,การตั้งค่าสิ่งมีชีวิต
1037,สถานะ
1038,ทริกเกอร์
1039,กลุ่มทริกเกอร์
1040,เครื่องจับเวลา
1041,ท่าทาง
1042,ตัวแปรส่วนตัว
1043,ฟังก์ชั่นตรีโกณมตริก
1044,สิ่งที่โยน
1045,ประเภทเอฟเฟกต์
1046,เอฟเฟกต์เสียง
1047,ทิศทาง
1048,เป้าหมาย
1049,ท่วงทำนองเสียง
1050,สคริปท์
1051,ปุ่ม
1052,ปุ่มแถบไอเทม
1053,ค่าสุ่ม
1054,อุปกรณ์บาร์
1055,อุปกรณ์ประเภท
1056,สี
1057,ข้อมูลกราฟิก
1058,ประเภทข้อมูลกราฟิก
1059,สินค้า
1060,ประเภทลักษณะ
1061,กลุ่มใดก็ได้
1062,กลุ่มสถานที่ตั้ง
1063,กลุ่มภูมิภาค
1064,กลุ่มตัวเลข
1065,กลุ่มสตริง
1066,กลุ่มบูลีน
1067,กลุ่มประเภทบล็อก
1068,กลุ่มประเภทไอเทม
1069,กลุ่มประเภทสิ่งมีชีวิต
1070,กลุ่มจับเวลา
1071,กลุ่มประเภทเอฟเฟกต์พิเศษ
1072,เรียง
1073,ลิงค์วิดีโอ
1074,อินเตอร์เฟซ
1075,ส่วนประกอบ
1076,แม่แบบรูปภาพ
1077,โหมดการเคลื่อนไหว
1078,หน่วยเวลา
1079,สถานะของหน้า
1080,ดนตรี
1081,หยุดเริ่มใหม่
1082,หน้าต่างแสดงผล
1083,เป้าหมายทั้งหมด
1084,กระดานผู้นำ
1085,ตาราง
1086,โหมดการเล่น
1101,หน้าที่กำหนด
1137,กลุ่มภูมิประเทศ
