ID,名字,描述
ID,Name,Desc
1001,تغيير سرعة التحرك,@Null@
1002,تغيير سرعة الحفر,@Null@
1003,"عدد سرعة الدمج ",@Null@
2001,نموذج لسرعة الحفر,@Null@
3001,استعادة بطيئة للحياة (LV.1),استعادة 5 نقاط من الحياه كل 4 ثواني
3002,استعادة بطيئة للحياة (LV.2),استعادة 5 نقاط من الحياه كل 2 ثواني
3003,استعادة بطيئة للحياة (LV.3),استعادة 5 نقاط من الحياه كل 1 ثواني
4001,ركض سريع (LV.1),زيادة سرعة الركض بنسبة 25٪
4002,ركض سريع (LV.2),زيادة سرعة الركض بنسبة 50٪
4003,ركض سريع (LV.3),زيادة سرعة الركض بنسبة 75٪
4004,ركض سريع (LV.4),زيادة سرعة الركض بنسبة 75٪
5001,سباحة سريعة (LV.1),زيادة سرعة السباحة بنسبة 25%
5002,سباحة سريعة (LV.2),زيادة سرعة السباحة بنسبة 50%
5003,سباحة سريعة (LV.3),زيادة سرعة السباحة بنسبة 75%
6001,قفز عالٍ (LV.1),اقفز أعلى.
6002,قفز عالٍ (LV.2),اقفز أعلى.
6003,قفز عالٍ (LV.3),"القفز لاعلي , لكن احترس من ان تكسر رجليك!"
6004,قفز عالٍ (LV.4),"القفز لاعلي , لكن احترس من ان تكسر رجليك!"
6005,تعزيز الباركور,زادت السرعة الأساسية 90% ، وزادت القفزة بمقدار 25.
7001,حفر بجنون(LV.1),زيادة سرعة الحفر بنسبة 25%
7002,حفر بجنون(LV.2),زيادة سرعة الحفر بنسبة 50%
7003,حفر مجنون (LV.3),زيادة سرعة الحفر بنسبة 75%
8001,بطيء (LV.1),انخفاض السرعة الأساسيّة بنسبة 25%
8002,بطيء (LV.2),إنخفاض السرعة الأساسيّة بنسبة 50%.
8003,بطيء (LV.3),إنخفاض السرعة الأساسيّة بنسبة 75%.
9001,تعب الحفر (LV.1),خفض سرعة الحفر بنسبة 25%
9002,تعب الحفر (LV.2),خفض سرعة الحفر بنسبة 50%
9003,تعب الحفر (LV.3),خفض سرعة الحفر بنسبة 75%
10001,امتصاص الضرر (LV.1),الحصول علي 2 نقطة من الحياه لامتصاص الاضرار
10002,امتصاص الضرر (LV.2),الحصول علي 4 نقطة من الحياه لامتصاص الاضرار
10003,امتصاص الضرر (LV.3),الحصول علي 6 نقطة من الحياه لامتصاص الاضرار
11001,ضربة حازمة (LV.1),زيادة نسبة اضرار الهجوم 25%
11002,ضربة حازمة (LV.2),زيادة نسبة اضرار الهجوم 50%
11003,ضربة حازمة (LV.3),زيادة نسبة اضرار الهجوم 75%
12001,نكسة قويّة (LV.1),زيادة مسافة الصد ل 2متر
12002,نكسة قويّة (LV.2),زيادة مسافة الصد ل 4متر
12003,نكسة قويّة (LV.3),زيادة مسافة الصد ل 6متر
13001,مقاومة النكسة (LV.1),خفض مسافة الصد ل 1 متر
13002,مقاومة النكسة (LV.2),خفض مسافة الصد ل 2 متر
13003,مقاومة النكسة (LV.3),خفض مسافة الصد ل 3 متر
14001,حفر محظوظ (LV.1),زيادة معدل الحصول علي سقوط مميز بنسبة 1%
14002,حفر محظوظ (LV.2),زيادة معدل الحصول علي سقوط مميز بنسبة 2%
14003,حفر محظوظ (LV.3),زيادة معدل الحصول علي سقوط مميز بنسبة 3%
15001,صيد محظوظ (LV.1),زيادة معدل الحصول علي سقوط مميز بنسبة 1%
15002,صيد محظوظ (LV.2),زيادة معدل الحصول علي سقوط مميز بنسبة 2%
15003,صيد محظوظ (LV.3),زيادة معدل الحصول علي سقوط مميز بنسبة 3%
16001,رؤية ليليّة (LV.1),زيادة الرؤية الليلية بنسبة 20
16002,رؤية ليليّة (LV.2),زيادة الليل زيادة بنسبة 40
16003,رؤية ليليّة (LV.3),زيادة الرؤية الليلية بنسبة 50
16004,رؤية ليليّة (LV.4),زيادة الرؤية الليلية بنسبة 60
16005,الرؤية الليلية 5,يتم زيادة سطوع مجال الرؤية 50.
17001,هجوم جبّار (LV.1),زيادة معدل اضرار الهجوم المتلاحم بنسبة 25%
17002,هجوم جبّار (LV.2),زيادة معدل اضرار الهجوم المتلاحم بنسبة 50%
17003,هجوم جبّار (LV.3),زيادة معدل اضرار الهجوم المتلاحم بنسبة 75%
18001,اطلاق نار جبّار (LV.1),زيادة معدل اضرار الهجوم عن بعد بنسبة 25%
18002,اطلاق نار جبّار (LV.2),زيادة معدل اضرار الهجوم عن بعد بنسبة 50%
18003,اطلاق نار جبّار (LV.3),زيادة معدل اضرار الهجوم عن بعد بنسبة 75%
19001,تفجير مهول (LV.1),زيادة معدل اضرار التفجير بنسبة 25%
19002,تفجير مهول (LV.2),زيادة معدل اضرار التفجير بنسبة 50%
19003,تفجير مهول (LV.3),زيادة معدل اضرار التفجير بنسبة 75%
20001,ضربة اللهب (LV.1),زيادة معدل اضرار النيران بنسبة 100%
21001,هجوم سامّ (LV.1),زيادة معدل اضرار السم بنسبة 100%
22001,هجوم فوضوي(LV.1),Demon hunter(LV.3)
23001,الصياد النخبة المستوى 1,زيادة الضرر للنخبة بنسبة 25%.
23002,الصياد النخبة المستوى 2,زيادة الضرر للنخبة بنسبة 50%.
23003,الصياد المتميز المستوى 3,زيادة الضرر للنخبة بنسبة 75%.
24001,صياد الوحوش المستوى 1,يزيد الضرر المسبب للوحوش بنسبة 25٪.
24002,صياد الوحوش المستوى 2,تزيد الأضرار على الوحوش بنسبة 50٪.
24003,صياد الوحوش المستوى 3,تزيد الضرر على الوحوش بنسبة 75%.
25001,صائد بشر (LV.1),زيادة معدل اضرار الاشخاص بنسبة 25%
25002,صائد بشر (LV.2),زيادة معدل اضرار الاشخاص بنسبة 50%
25003,صائد بشر (LV.3),زيادة معدل اضرار الاشخاص بنسبة 75%
26001,دفاع قويّ (LV.1),خفض معدل الاضرار الناتج عن الهجوم المتلاحم بنسبة 25%
26002,دفاع قويّ (LV.2),خفض معدل الاضرار الناتج عن الهجوم المتلاحم بنسبة 50%
26003,دفاع قويّ (LV.3),خفض معدل الاضرار الناتج عن الهجوم المتلاحم بنسبة 75%
27001,دفاع طويل الأمد (LV.1),خفض معدل الاضرار الناتج عن الهجوم عن بعد بنسبة 25%
27002,دفاع طويل الأمد (LV.2),خفض معدل الاضرار الناتج عن الهجوم عن بعد بنسبة 50%
27003,دفاع طويل الأمد (LV.3),خفض معدل الاضرار الناتج عن الهجوم عن بعد بنسبة 75%
28001,دفاع ضدّ التفجير (LV.1),خفض معدل الاضرار الناتج عن التفجير بنسبة 25%
28002,دفاع ضدّ التفجير (LV.2),خفض معدل الاضرار الناتج عن التفجير بنسبة 50%
28003,دفاع ضدّ التفجير (LV.3),خفض معدل الاضرار الناتج عن التفجير بنسبة 75%
29001,مقاومة للحريق (LV.1),خفض معدل الاضرار الناتج عن النيران بنسبة 25%
29002,مقاومة للحريق (LV.2),خفض معدل الاضرار الناتج عن النيران بنسبة 50%
29003,مقاومة للحريق (LV.3),خفض معدل الاضرار الناتج عن النيران بنسبة 75%
30001,مقاومة للسمّ (LV.1),خفض معدل الاضرار الناتج عن السم بنسبة 25%
30002,مقاومة للسمّ (LV.2),خفض معدل الاضرار الناتج عن السم بنسبة 50%
30003,مقاومة للسمّ (LV.3),خفض معدل الاضرار الناتج عن السم بنسبة 75%
31001,مقاومة الفوضى (LV.1),تقليل الضرر الداكن بنسبة 25٪
31002,مقاومة الفوضى (LV.2),تقليل الضرر الداكن بنسبة 50٪
31003,مقاومة الفوضى (LV.3),تقليل الضرر الداكن بنسبة 75٪
32001,مقاومة السقوط (LV.1),خفض معدل الاضرار الناتج عن السقوط بنسبة 25%
32002,مقاومة السقوط (LV.2),خفض معدل الاضرار الناتج عن السقوط بنسبة 50%
32003,مقاومة السقوط (LV.3),خفض معدل الاضرار الناتج عن السقوط بنسبة 75%
33000,مستوى 0,يسبب 3 نقاط ضرر كل ثانية.
33001,تمّ اشعاله (LV.1),التسبب في 5 نقاط من الاضرار في كل ثانية
33002,تمّ اشعاله (LV.2),التسبب في 10 نقاط من الاضرار في كل ثانية
33003,تمّ اشعاله (LV.3),التسبب في 15 نقاط من الاضرار في كل ثانية
33004,تمّ اشعاله (LV.4),التسبب في 20 نقاط من الاضرار في كل ثانية
33005,تمّ اشعاله (LV.5),التسبب في 25 نقاط من الاضرار في كل ثانية
34001,تمّ تسميمه (LV.1),التسبب في 5 نقاط من الاضرار في كل ثانية
34002,تمّ تسميمه (LV.2),صفقات 10 أضرار في الثانية.
34003,تمّ تسميمه (LV.3),صفقات 15 أضرار في الثانية.
35001,ظلام (LV.1),التسبب في 10 نقاط من الاضرار في كل 2 ثانية
35002,ظلام (LV.2),التسبب في 10 نقاط من الاضرار في كل 2 ثانية
35003,ظلام (LV.3),التسبب في 10 نقاط من الاضرار في كل 2 ثانية
36001,تسميم الطعام (LV.1),تشعر أكثر جائعا، وزيادة سرعة الجوع بنسبة 25٪.
36002,تسميم الطعام (LV.2),تشعر أكثر جائعا، وزيادة سرعة الجوع بنسبة 50٪.
