ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
ID,Name,Desc,BuyTips,EffectDesc1,EffectDesc2,EffectDesc3,EffectDesc4,EffectDesc5,EffectDesc6
1,Pandaa,Un panda tsundere qui aime les bambous !,La carte de costume peut être obtenue à partir des fruits du jardin.,Empreinte : empreintes de panda,Avatar : débloquer l'avatar de Pandaa.,@Null@,,,
2,Petit roi singe,En vente limitée durant le festival du printemps de l'année du signe. Le petit roi signe vous accompagne pour fêter le festival du printemps !,La carte de costume peut être obtenue à partir des fruits du jardin.,Empreinte : laissant des nuages de chances où il passe,Avatar : débloquer l'avatar du Petit roi singe.,@Null@,,,
3,Belle lapine,"Un lapin mignon.
Laissant des traces de radis partout où elle passe.",La carte de costume peut être obtenue à partir des fruits du jardin.,Empreinte : empreintes de radis,Avatar : débloquer l'avatar de Belle lapine.,@Null@,,,
4,Misra,Faites attention à Misra dans le monde préhistorique !,La carte de costume peut être obtenue à partir des fruits du jardin.,Empreinte : empreintes de dinosaure,Avatar : débloquer l'avatar de Misra.,@Null@,,,
5,Serveuse Sweety,Ding ! Bienvenue dans le Café Meow !,Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.,Empreinte : empreintes de chat,Avatar : débloquer l'avatar de la serveuse Sweety.,@Null@,,,
6,George,Un enfant chaleureux qui aime le sport et la musique.,Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.,Empreinte : cœurs d'amour bleu,Avatar : débloquer l'avatar de George.,@Null@,,,
7,Anny,Une fille énergétique qui aime danser et manger des desserts.,Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.,Empreinte : amour rouge,Avatar : débloquer l'avatar d'Anny.,@Null@,,,
8,Mohiste Xiaofei,"Un membre de l'ancienne école Mohiste.
Un maître de machinerie.",@Null@,Empreinte : ailes de vent,Avatar : débloquer l'avatar de Mohiste Xiaofei.,Action spéciales de vol dans le mode création,Créer des effets de vol en mode,,
9,Dracula VI,"A reçu la première morsure, élégant et sombre.",Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.,Eff. SP : émettant une brume de sang et des chauves-souris noires.,Avatar : débloquer l'avatar de Dracula VI.,@Null@,,,
10,Vive le vent,Un petit cerf mignon et espiègle vit dans la vallée de Noël.,@Null@,Eff. SP : émettant une aura de Noël,Avatar : débloquer l'avatar de Vive le vent.,Empreinte : laissant des empreints de cerf de Noël partout où il passe,,,
11,Chasseur de lande Snow,"Le chasseur des terres arides venant de la région polaire.
Les aigles sont ses amis.",@Null@,Special effect : avec des flocons de neige froids tout autour,Avatar : débloquer l'avatar du Chasseur Esau.,Empreinte : des empreintes de boule de neige apparaissent partout où il marche,,,
12,Yuji,Une fée tombe du paradis dans le monde profane et rencontre Samson par chance.,@Null@,Eff. SP : avec des pétales volantes tout autour,Avatar : débloquer l'avatar de Yuji.,@Null@,,,
