序号,意大利语
No,Name
1,Inserisci il tuo UID
2,Parola d'ordine
3,pluginres\btn_text_ita.png
4,Ricordate UID
5,Accordo
6,pluginres\btn_policy_ita.png
7,Si prega di selezionare le domande
8,per favore inserisci LA TUA RISPOSTA
9,pluginres\btn_num_ita.png
10,persona più impressionante
11,Il tuo cibo preferito
12,Il tuo animale preferito
13,Il luogo visita più ansiosi
14,Il tuo primo dono
15,Il tuo numero fortunato
16,Partita veloce
17,Password errata
18,Collegamento
19,pluginres\btn_orange_e1_ita.png
20,pluginres\btn_quickplay_ita_h.png
21,pluginres\btn_quickplay_ita_n.png
22,pluginres\option1_1_ita.png
23,pluginres\option1_2_ita.png
24,pluginres\option1_3_ita.png
25,pluginres\en01.png
26,pluginres\en02.png
27,pluginres\en03.png
28,UID non è corretto
29,per favore inserisci LA TUA password
30,Si prega di verificare la politica di utente
31,per favore inserisci LA TUA RISPOSTA
32,Miniworld sta aggiornando:%d%%
33,pluginres\btn_orange_e1_ita_h.png
34,pluginres\btn_orange_e1_ita_s.png
35,14
36,Notifica
37,"Il tuo account:%s ha impostato la password, per mantenere la tua sicurezza account, effettua il login con la vostra password."
38,Accesso
39,verifica accesso
40,Telefono cellulare
41,Email
42,Il codice di verifica
43,verifica mobile
44,verifica email
45,Invia
46,Si prega di verificare il login per assicurarsi che il tuo account è sicuro.
47,Verifica fallita. Si prega di controllare la posta elettronica e il codice di verifica.
48,Verifica fallita. Si prega di verificare il tuo numero e la verifica codice mobile.
49,Invia（%d）
50,Il codice di verifica è stato inviato
51,"Spiacenti, non puoi accedere all'account in questa piattaforma. （Errori multipiattaforma）"
