ID,名字,描述
ID,Name,Desc
1,Bayi Tunggangan,"Tunggangan yang mempunyai kemampuan ini akan melahirkan satu bayi tunggangan selepas bermain dalam peta, boleh dihadiahkan kepada teman lain yang berada dalam bilik."
2,Lari pecut,"Semasa tempoh simpan tenaga, kelajuan pergerakan bertambah 30%"
3,Jalan di Atas Air,"Boleh berjalan secara laju di atas permukaan air, tetapi tidak dapat melompat di atas air."
4,Lompatan Super,Mempunyai kemampuan melompat yang sangat kuat.
5,Meluncur,Dapat terbang dan meluncur di udara
6,Jalan di Atas Lava,Dapat berjalan di atas permukaan lava.
7,Lari,"Selepas melompat, tekan butang lompat semasa berada di udara dapat berlari dash ke arah yang menghadapi."
9,Tunggangan berdua,Boleh membawa 2 penumpang. Bawa sekali teman anda~
10,Melompat di udara,"Boleg tekan butang lompat secara berterusan untuk terus terbang ke atas, tetapi akan jatuh dengan kelajuan yang sangat tinggi."
11,Tabah,Mempunyai nilai HP yang lebih tinggi.
12,Berapung air,Boleh terapung di atas permukaan air.
13,Menyelam,Boleh menyelam dalam air.
14,Mengalir dengan cepat,"Tekan butang lompat semasa berada di dalam air, dapat bergerak secara laju ke arah yang menghadapi."
15,Serangan robot,Lari pecut dan melanggar ke arah hadapan.
16,Meriam fusion,Meluncurkan merian secara garis lurus.
17,Serangan Bumblebee,Lari pecut ke arah depan untuk satu tempoh masa.
18,Menyambar,"Tekan dan tahan butang lompat untuk menyimpan tenaga sampai penuh, lompat dan semasa mendarat dapat mengurangkan kelajuan makhluk di depan."
19,Menghalang,"Tekan dan tahan butang lompat untuk menyimpan tenaga sampai penuh, lompat dan semasa mendarat dapat menghalau makhluk di depan dalam jarak dekat."
20,Melayang,"Boleh melayang di langit dan terbang dalam jarak pendek,semasa jatuh tidak akan kehilangan HP."
21,Terbang,"Boleh terbang di langit untuk jarak tertentu, semasa jatuh tidak akan kehilangan HP."
22,Tunggangan berdua,Boleh membawa 2 penumpang. Bawa sekali teman anda~
23,Perisai tenaga,Boleh membentuk satu perisai tenaga untuk melindungi anda dan teman ada.
24,Tunggangan satu,Boleh membawa satu penumpang.
25,Amaran udara,"Boleh terbang di langit untuk jarak tertentu, semasa jatuh tidak akan kehilangan HP."
26,Kilat merah,Lari pecut ke arah depan untuk satu tempoh masa.
27,Laser fusion,Meluncurkan merian secara garis lurus.
28,Api Inferno,Klik [Serang] untuk tembakan api. Dapat mengakibatkan kebakaran debuff terhadap makhluk di depan anda.
29,Api Hantu,Klik [Serang] untuk tembakan api. Dapat mengakibatkan kebakaran debuff terhadap makhluk di depan anda.
30,Sayap flutter,"Klik dan tahan [Lompat] untuk terbang jarak dekat, semasa jatuh tidak akan kehilangan HP."
31,Sebarkan sayap,"Klik dan tahan [Lompat] untuk terbang jarak jauh, semasa jatuh tidak akan kehilangan HP."
32,Raungan Naga,Klik untuk serangan meraung. Mengenakan buff menurun kelajuan terhadap makhluk di depan.
33,Sayap laju,"Klik dan tahan [Lompat] untuk terbang jarak dekat, semasa jatuh tidak akan kehilangan HP."
34,Sapuan Ekor,"Klik serang untuk menggoyangkan ekor, dapat menghasilkan 3 poin kecederaan pada makhluk di belakang yang berada dalam zon berbentuk kipas."
35,Cahaya bintang,Meluncurkan bintang ke atas untuk penerangan. Masa untuk cooldown adalah 15 saat.
36,Cahaya bulan,"Klik dan tahan [Lompat] untuk terbang jarak dekat, semasa jatuh tidak akan kehilangan HP."
37,Kesuntukan masa,Lari laju ke arah depan untuk tempoh masa tertentu.
38,Tunggangan berdua,Boleh membawa 2 penumpang. Bawa sekali teman anda~
39,Jalan Salju,"Boleh memijak bunga salju dan berjalan di udara, tidak akan kehilangan HP semasa jatuh."
40,Tuk Tuk Menghala ke depan,Dapat keluarkan bunyi hon semasa menggunakannya dan dapat menyalakan lampu depan.
41,Hasil penuaian yang lumayan,"Selepas menggunakannya, melemparkan ingot dan syiling di persekitaran."
42,4 orang bersama,"Boleh membawa 4 orang penumpang, bawa sekali teman anda."
43,Berulang alik di Galaksi,"Boleh terbang di langit untuk jarak tertentu, semasa jatuh tidak akan kehilangan HP."
44,Pulau Leviathan,Boleh menyelam dalam air.
45,Kekuatan lembu,"Tekan dan tahan butang lompat untuk menyimpan tenaga sampai penuh, lompat dan semasa mendarat dapat mengurangkan kelajuan makhluk di depan."
46,Serangan kuat lembu,"Tekan dan tahan butang lompat untuk menyimpan tenaga sampai penuh, lompat dan semasa mendarat dapat menghalau makhluk di depan dalam jarak dekat."
47,Bunga terbang,"Boleh terbang di langit untuk jarak tertentu, semasa jatuh tidak akan kehilangan HP."
48,Penerbangan angsa,"Boleh terbang di langit untuk jarak tertentu, semasa jatuh tidak akan kehilangan HP."
49,Tarian Daun,Menggunakan daun yang melayang di sekitar.
50,Roda Matahari,Gunakan untuk mendapat persai pelindung yang dapat menyerap 20 poin kecederaan
51,Sinar Dewa,Boleh digunakan untuk meningkatkan kecederaan terhadap pemain sebanyak 5%
52,Bunga api magik,"Selepas menyimpan tenaga yang mencukupi,akan diaktifkan semasa lompat dan mendarat. Bunga api akan dinyalakan di sekitar tunggangan dan muzik akan dimainkan."
53,Bunga api mewah,"Selepas menyimpan tenaga yang mencukupi,akan diaktifkan semasa lompat dan mendarat. Bunga api yang mewah akan dinyalakan di sekitar tunggangan dan muzik akan dimainkan."
54,Menuju dan menyerang,Menuju dan menyerang ke depan
55,Serangan kuat,"Menuju dan menyerang ke depan, dapat memundurkan makhluk di depan dalam jarak pendek"
56,Tergantung,"Apabila menggunakan gunung, watak akan berlegar dari tanah dan kesan bunyi yang berputar kipas akan dimainkan secara automatik pada masa yang sama."
57,Meluncur Rendah,"Boleh terbang di ketinggian rendah untuk jarak tertentu, tekan dan tahan butang lompat semasa proses mendarat supaya tidak kehilangan HP."
58,Meluncur Tinggi,"Boleh terbang di ketinggian rendah untuk jarak yang lebih panjang, tekan dan tahan butang lompat semasa proses mendarat supaya tidak kehilangan HP."
59,Refleksi cahaya air dan bulu,Selepas gunakan dapat memanggil bayangan 3 ekor angsa kecil untuk berenang mengelilingi tunggangan.
60,Tasik angsa,Boleh menyelam dalam air.
61,Penerbangan pagi,"Boleh terbang di langit untuk jarak tertentu, semasa jatuh tidak akan kehilangan HP."
