ID,描述
ID,Desc
1000,Погода
1001,"Область, край"
1002,Место нахождения
1003,ориентация
1004,Посмотреть
1005,Значение
1006,Координатный компонент
1007,Угловая единица измерения
1008,Фиксированный базовый логарифм
1009,Целочисленное преобразование
1010,Строка символов
1011,Тип повреждения
1012,Да нет
1013,тумблер
1014,Булево значение
1015,Максимум. и мин.
1016,Оператор сравнения
1017,Математический оператор
1018,игрок
1019,Набор Игрока
1020,Атрибуты игрока
1021,Состояние движения
1022,Настройка игрока
1023,команда
1024,Атрибуты команды
1025,Тип блока
1026,Настройка блока
1027,Вещь
1028,Тип элемента
1029,Тип снаряда
1030,Бросить предмет
1031,Существо
1032,Тип существа
1033,Набор Существ
1034,Состояние Движения Существа
1035,Атрибут Существа
1036,Настройка Существа
1037,Статус
1038,Спусковой крючок
1039,Триггерный набор
1040,таймер
1041,Emoji
1042,Частная переменная
1043,тригонометрический
1044,метательный
1045,Тип спецэффекта
1046,Звуковой эффект
1047,направление
1048,объект
1049,тон
1050,скрипт
1051,Клавиша
1052,Панель быстрого доступа
1053,Случайное значение
1054,Панель брони
1055,Тип брони
1056,цвет
1057,Дисплей Info
1058,Дисплей Информация Тип
1059,Продукт
1060,Внешний Вид
1061,Любая группа
1062,Расположение группы
1063,Региональная группа
1064,Численный группа
1065,Строка группы
1066,Логическое Group
1067,Тип блока Group
1068,Тип элемента Group
1069,Существо Тип группы
1070,Таймер группы
1071,Специальные эффекты Тип группы
1072,Сортировать
1073,Видео ссылка
1074,Интерфейс
1075,Составная часть
1076,Шаблон изображения
1077,Режим движения
1078,Единица времени
1079,Статус страницы
1080,Музыка
1081,Резюме приставки
1082,Окно отображения
1083,Глобальный объект
1084,Таблица лидеров
1085,Стол
1086,Режим воспроизведения
1101,Укажите страницу
1137,Группа местности
