ID,内容
ID,Content
1000000,자지마! 일어나!
1000001,"드디어 일어났어, 똥! 무서워서 죽을 지경이었다!"
1000002,잘 진행되고 있었지만 Myra Star에 도착하기 전에 많은 양의 Void Power가 갑자기 스타 체인에 응축되었습니다!
1000003,순식간에 모두가 흩어졌다. 현재 우리만 미라에 거의 도달하지 못한 것 같습니다. 나는 다른 사람들에게 무슨 일이 일어났는지 모른다...
1000004,"안녕하십니까, 먼저 상태를 확인하는 것이 좋습니다."
1000011,"이것 좀 보세요, 이 작품은 건강 포인트와 체력 가치를 보여줍니다."
1000012,빨간색은 현재 건강 수준을 나타냅니다. 너무 낮으면 매우 위험할 것입니다. 항상 주목해주세요!
1000013,노란색은 남은 체력입니다.
1000014,너무 낮으면 매우 피곤하고 효율이 떨어집니다. 위험에 직면하면 압도당할 수 있으므로 항상 주의하십시오!
1000021,"맨 아래에는 ""바로 가기 막대""라는 영역이 있습니다. 이러한 그리드를 클릭하면 보유 중인 항목 사이를 빠르게 전환할 수 있습니다."
1000022,현재 상태가 좋지 않습니다. 복구할 수 있는 것을 먹자!
1000023,그리드를 클릭하고 손에 쥐십시오.
1000031,"맨 아래 부분은 ""바로 가기 막대""라고 불리는 영역입니다. 해당 ""숫자 키""를 눌러 손에 있는 항목을 빠르게 전환할 수 있습니다."
1000032,현재 상태가 좋지 않습니다. 복구할 수 있는 것을 먹자!
1000033,"이 그리드로 전환할 해당 ""번호 키""를 찾아 손에 쥐십시오."
1000041,"보세요! 당신은 음식을 가지고 있습니다! 이제 ""사용 버튼""을 길게 눌러 먹습니다."
1000051,"봐! 음식은 내가 가져왔어, 부헤헤. 이제 ""오른쪽 마우스 버튼""을 길게 눌러 먹습니다."
1000061,이제 훨씬 나아졌습니다. 신체 상태를 확인합시다.
1000062,저를 따라와 두 걸음 앞으로 나아가세요. 조이스틱을 클릭하여 앞으로 밀면 앞으로 나아갈 수 있습니다.
1000063,앞으로 나아가는 데 문제가 없습니다. 이제 조금 뒤로 돌아가겠습니다. 조이스틱을 클릭하여 뒤로 밀면 뒤로 돌아갑니다.
1000064,"좋아, 이제 왼쪽으로 가자. 로커를 왼쪽으로 밀어보세요."
1000065,"맞아요, 드디어 오른쪽으로. 로커를 오른쪽으로 밀어주세요."
1000071,이제 훨씬 나아졌습니다. 신체 상태를 확인합시다.
1000072,"저를 따라 앞으로 가세요. 앞으로 가려면 키보드의 ""W"" 키를 누르세요."
1000073,"앞으로 나아가는 데 문제가 없습니다. 이제 조금 뒤로 돌아가겠습니다. 키보드의 ""S"" 키를 눌러 돌아갑니다."
1000074,"자, 이제 왼쪽으로 갑시다. 키보드의 ""A"" 키를 눌러보세요."
1000075,"맞아요, 드디어 오른쪽으로요. 키보드의 ""D"" 키를 클릭합니다."
1000081,"몸에 큰 문제가 없는 것 같은데, 다음에 점프를 해보자."
1000082,"점프하려면 이 ""점프"" 버튼을 누르십시오."
1000083,"점프도 정상인 것 같습니다. 다음은 생각합니다... 스텔스를 시도하십시오. ""스텔스"" 버튼을 누르면 스텔스 상태로 들어갈 수 있습니다."
1000091,"몸에 큰 문제가 없는 것 같은데, 다음에 점프를 해보자."
1000092,"""공간"" 버튼을 눌러 점프합니다."
1000093,"점프도 정상인 것 같습니다. 다음은 생각합니다... 스텔스를 시도하십시오. ""시프트"" 버튼을 길게 눌러 스텔스 상태로 들어갑니다."
1000101,"좋아요, 점프와 스텔스는 매우 정상입니다. 스텔스를 유지할 때 우리는 블록 가장자리에서 떨어지지 않을 것입니다."
1000102,마지막으로 확인할 항목이 하나 남았습니다. 고개를 돌려 내 위치를 살펴보십시오.
1000103,내 지침에 주의를 기울이고 화면을 내 방향으로 문지르면 준비가 되면 시작합니다.
1000104,첫 번째는 왼쪽입니다. 여기 있습니다. 화면을 왼쪽으로 문지릅니다.
1000105,그런 다음 오른쪽. 화면을 오른쪽으로 스와이프합니다.
1000106,"이제 상단을 살펴보겠습니다. 화면을 스와이프하여 내가 어디에 있는지 알아보세요, 헤헤."
1000107,그런 다음 다음이 있습니다. 나를 찾을 수 있습니까?
1000108,마지막으로 뒷면이 있습니다. 이번에는 언더 로크가 조금 더 깁니다.
